Trial Number, Response, Correct/Incorrect(1/0), RT, Condition, Difficulty, Colour Order (Single Grids Only)
63	left	1	0.690	B1,b1	Con - Easy 1 & Hard 1	
64	left	1	0.591	B2,b2	Con - Easy 2 & Hard 2	
65	left	1	0.554	B1,B1	Exp - Easy 1 & Easy 1	
66	left	1	0.554	b1,b1	Exp - Hard 1 & Hard 1	
67	left	1	0.620	B2,b2	Con - Easy 2 & Hard 2	
68	left	0	2.608	o2,b2	Exp - Hard 2 & Hard 2	
69	left	1	0.637	B1,B1	Exp - Easy 1 & Easy 1	
70	left	1	0.688	b1,B1	Con - Hard 1 & Easy 1	
71	left	1	0.773	b2,B2	Con - Hard 2 & Easy 2	
72	left	0	0.773	B2,B2	Exp - Easy 2 & Easy 2	
73	left	1	0.870	b2,B2	Con - Hard 2 & Easy 2	
74	left	0	0.537	B2,B2	Exp - Easy 2 & Easy 2	
75	right	1	0.620	O2,B2	Exp - Easy 2 & Easy 2	
76	left	0	0.521	B2,B2	Exp - Easy 2 & Easy 2	
77	left	1	0.554	b2,b2	Exp - Hard 2 & Hard 2	
78	right	1	1.072	o1,b1	Exp - Hard 1 & Hard 1	
79	left	1	0.592	b2,b2	Exp - Hard 2 & Hard 2	
80	right	1	0.555	o1,B1	Con - Hard 1 & Easy 1	
81	right	1	0.688	B1,o1	Con - Easy 1 & Hard 1	
82	right	1	0.886	o1,B1	Con - Hard 1 & Easy 1	
83	left	1	1.038	b2,B2	Con - Hard 2 & Easy 2	
84	left	0	7.323	o2,B2	Con - Hard 2 & Easy 2	
85	left	0	1.685	o2,b2	Exp - Hard 2 & Hard 2	
86	left	1	1.221	b1,b1	Exp - Hard 1 & Hard 1	
87	right	1	0.588	O2,B2	Exp - Easy 2 & Easy 2	
88	left	1	2.354	b1,B1	Con - Hard 1 & Easy 1	
89	left	1	3.873	B2,b2	Con - Easy 2 & Hard 2	
90	right	1	0.638	B2,o2	Con - Easy 2 & Hard 2	
91	left	0	0.637	B2,o2	Con - Easy 2 & Hard 2	
92	left	1	0.488	b1,b1	Exp - Hard 1 & Hard 1	
93	left	1	0.404	b1,b1	Exp - Hard 1 & Hard 1	
94	left	1	0.524	b2,B2	Con - Hard 2 & Easy 2	
95	left	1	0.420	B1,B1	Exp - Easy 1 & Easy 1	
96	right	1	1.305	o1,b1	Exp - Hard 1 & Hard 1	
97	left	0	0.690	B2,o2	Con - Easy 2 & Hard 2	
98	right	1	2.940	o1,b1	Exp - Hard 1 & Hard 1	
99	right	1	3.336	B2,o2	Con - Easy 2 & Hard 2	
100	left	0	0.923	o2,B2	Con - Hard 2 & Easy 2	
101	left	0	1.122	B2,o2	Con - Easy 2 & Hard 2	
102	left	0	1.986	o1,B1	Con - Hard 1 & Easy 1	
103	left	0	0.790	B2,B2	Exp - Easy 2 & Easy 2	
104	right	1	0.521	o1,b1	Exp - Hard 1 & Hard 1	
105	right	1	1.054	o1,B1	Con - Hard 1 & Easy 1	
106	left	1	1.120	B1,b1	Con - Easy 1 & Hard 1	
107	left	1	1.009	B2,b2	Con - Easy 2 & Hard 2	
108	right	1	1.121	o1,B1	Con - Hard 1 & Easy 1	
109	left	1	0.774	b1,b1	Exp - Hard 1 & Hard 1	
110	right	1	0.638	O2,B2	Exp - Easy 2 & Easy 2	
111	right	1	2.288	o1,b1	Exp - Hard 1 & Hard 1	
112	left	1	0.721	b1,b1	Exp - Hard 1 & Hard 1	
113	left	0	0.670	B2,B2	Exp - Easy 2 & Easy 2	
114	right	1	0.688	o1,B1	Con - Hard 1 & Easy 1	
115	left	1	1.205	B1,B1	Exp - Easy 1 & Easy 1	
116	left	1	3.758	b2,b2	Exp - Hard 2 & Hard 2	
117	left	1	0.556	b1,b1	Exp - Hard 1 & Hard 1	
118	left	0	2.805	o2,B2	Con - Hard 2 & Easy 2	
119	left	1	2.405	B1,b1	Con - Easy 1 & Hard 1	
120	left	1	1.521	b2,B2	Con - Hard 2 & Easy 2	
121	right	1	0.557	O2,B2	Exp - Easy 2 & Easy 2	
122	left	1	0.870	b2,B2	Con - Hard 2 & Easy 2	
123	left	1	0.539	B1,B1	Exp - Easy 1 & Easy 1	
124	left	1	0.842	b2,b2	Exp - Hard 2 & Hard 2	
125	left	1	0.887	b2,b2	Exp - Hard 2 & Hard 2	
126	left	1	0.406	B1,B1	Exp - Easy 1 & Easy 1	
127	left	1	0.591	B2,b2	Con - Easy 2 & Hard 2	
128	right	1	0.674	O2,B2	Exp - Easy 2 & Easy 2	
129	left	1	0.554	b2,B2	Con - Hard 2 & Easy 2	
130	right	1	1.389	B1,o1	Con - Easy 1 & Hard 1	
131	right	1	1.388	o1,B1	Con - Hard 1 & Easy 1	
132	left	1	2.671	B1,b1	Con - Easy 1 & Hard 1	
133	left	1	0.671	b2,b2	Exp - Hard 2 & Hard 2	
134	right	1	0.555	O1,B1	Exp - Easy 1 & Easy 1	
135	right	1	0.520	O2,B2	Exp - Easy 2 & Easy 2	
136	left	1	0.554	b2,B2	Con - Hard 2 & Easy 2	
137	right	1	1.675	o1,B1	Con - Hard 1 & Easy 1	
138	left	1	0.437	B1,b1	Con - Easy 1 & Hard 1	
139	left	1	0.721	b2,b2	Exp - Hard 2 & Hard 2	
140	left	0	4.177	o1,b1	Exp - Hard 1 & Hard 1	
141	left	1	0.524	b1,b1	Exp - Hard 1 & Hard 1	
142	left	0	0.721	B2,o2	Con - Easy 2 & Hard 2	
143	left	0	1.056	o2,B2	Con - Hard 2 & Easy 2	
144	left	1	0.693	B2,b2	Con - Easy 2 & Hard 2	
145	right	1	0.554	O1,B1	Exp - Easy 1 & Easy 1	
146	left	1	0.672	B2,b2	Con - Easy 2 & Hard 2	
147	left	1	0.524	b1,B1	Con - Hard 1 & Easy 1	
148	right	1	0.655	O2,B2	Exp - Easy 2 & Easy 2	
149	left	1	0.638	B2,b2	Con - Easy 2 & Hard 2	
150	left	1	0.421	b1,b1	Exp - Hard 1 & Hard 1	
151	left	1	0.655	b2,B2	Con - Hard 2 & Easy 2	
152	left	1	0.592	b1,b1	Exp - Hard 1 & Hard 1	
153	left	1	0.423	B1,b1	Con - Easy 1 & Hard 1	
154	right	1	1.888	o1,B1	Con - Hard 1 & Easy 1	
155	left	1	0.942	B2,b2	Con - Easy 2 & Hard 2	
156	left	1	0.454	B1,B1	Exp - Easy 1 & Easy 1	
157	left	0	0.442	o1,B1	Con - Hard 1 & Easy 1	
158	left	0	1.422	B2,o2	Con - Easy 2 & Hard 2	
159	left	0	0.820	B1,o1	Con - Easy 1 & Hard 1	
160	right	1	1.988	O2,B2	Exp - Easy 2 & Easy 2	
161	left	0	0.536	B2,B2	Exp - Easy 2 & Easy 2	
162	left	1	0.471	B1,B1	Exp - Easy 1 & Easy 1	
163	left	0	0.653	o2,B2	Con - Hard 2 & Easy 2	
164	left	0	0.438	B2,B2	Exp - Easy 2 & Easy 2	
165	right	1	1.092	O2,B2	Exp - Easy 2 & Easy 2	
166	left	0	1.304	o2,b2	Exp - Hard 2 & Hard 2	
167	left	0	4.539	B1,o1	Con - Easy 1 & Hard 1	
168	left	1	0.640	b1,B1	Con - Hard 1 & Easy 1	
169	left	0	0.757	o1,B1	Con - Hard 1 & Easy 1	
170	right	1	6.989	O1,B1	Exp - Easy 1 & Easy 1	
171	left	1	1.690	B1,b1	Con - Easy 1 & Hard 1	
172	right	1	2.092	B1,o1	Con - Easy 1 & Hard 1	
173	right	1	0.639	B1,o1	Con - Easy 1 & Hard 1	
174	left	0	0.571	B2,B2	Exp - Easy 2 & Easy 2	
175	left	1	0.422	B2,b2	Con - Easy 2 & Hard 2	
176	right	1	3.588	o1,b1	Exp - Hard 1 & Hard 1	
177	left	1	0.654	b1,B1	Con - Hard 1 & Easy 1	
178	right	1	0.520	O1,B1	Exp - Easy 1 & Easy 1	
179	left	0	0.688	B1,o1	Con - Easy 1 & Hard 1	
180	left	1	0.789	B2,b2	Con - Easy 2 & Hard 2	
181	left	0	0.638	B2,o2	Con - Easy 2 & Hard 2	
182	left	0	0.620	B1,o1	Con - Easy 1 & Hard 1	
183	left	1	0.604	b1,b1	Exp - Hard 1 & Hard 1	
184	left	1	0.607	b2,b2	Exp - Hard 2 & Hard 2	
185	left	1	0.471	b2,B2	Con - Hard 2 & Easy 2	
186	left	0	0.691	o2,b2	Exp - Hard 2 & Hard 2	
187	left	1	0.554	b1,B1	Con - Hard 1 & Easy 1	
188	left	0	0.539	o2,B2	Con - Hard 2 & Easy 2	
189	left	0	0.604	o2,B2	Con - Hard 2 & Easy 2	
190	left	1	0.510	b2,B2	Con - Hard 2 & Easy 2	
191	left	0	0.555	o2,B2	Con - Hard 2 & Easy 2	
192	left	1	0.555	b1,b1	Exp - Hard 1 & Hard 1	
193	left	1	0.640	b1,B1	Con - Hard 1 & Easy 1	
194	left	1	0.555	B1,B1	Exp - Easy 1 & Easy 1	
195	right	1	0.722	O2,B2	Exp - Easy 2 & Easy 2	
196	right	1	3.151	B1,o1	Con - Easy 1 & Hard 1	
197	left	0	0.620	o2,B2	Con - Hard 2 & Easy 2	
198	left	0	0.654	o2,B2	Con - Hard 2 & Easy 2	
199	right	1	0.588	O1,B1	Exp - Easy 1 & Easy 1	
200	left	0	2.155	o1,B1	Con - Hard 1 & Easy 1	
201	left	0	1.106	B1,o1	Con - Easy 1 & Hard 1	
202	right	1	2.904	o1,b1	Exp - Hard 1 & Hard 1	
203	right	1	0.525	O1,B1	Exp - Easy 1 & Easy 1	
204	left	1	0.511	B1,B1	Exp - Easy 1 & Easy 1	
205	left	0	1.305	B2,o2	Con - Easy 2 & Hard 2	
206	left	0	0.503	B2,B2	Exp - Easy 2 & Easy 2	
207	left	1	0.487	B1,b1	Con - Easy 1 & Hard 1	
208	left	1	0.405	B1,B1	Exp - Easy 1 & Easy 1	
1	right	1	3.550	b,o	Exp - Hard 2	2	
2	right	1	0.889	B,o	Con - Easy 2	2	
3	left	1	0.590	O,b	Con - Easy 1	2	
4	left	1	0.437	O,b	Con - Easy 2	2	
5	right	1	0.604	b,o	Exp - Hard 1	2	
6	right	1	0.521	B,o	Con - Easy 1	2	
7	left	1	0.505	O,b	Con - Easy 1	2	
8	right	1	1.221	b,o	Exp - Hard 1	2	
9	left	1	0.621	o,b	Exp - Hard 1	2	
10	left	1	0.423	o,b	Exp - Hard 1	2	
11	left	1	0.688	O,b	Con - Easy 1	2	
12	right	1	0.688	B,o	Con - Easy 2	2	
13	right	0	0.655	o,b	Exp - Hard 1	2	
14	right	1	0.903	b,o	Exp - Hard 1	2	
15	left	1	3.238	o,b	Exp - Hard 2	2	
16	right	1	0.787	b,o	Exp - Hard 2	2	
17	right	0	0.521	o,b	Exp - Hard 1	2	
18	right	1	1.038	B,o	Con - Easy 1	2	
19	right	1	0.453	B,o	Con - Easy 2	2	
20	left	1	0.803	o,b	Exp - Hard 2	2	
