Trial Number, Response, Correct/Incorrect(1/0), RT, Condition, Difficulty, Colour Order (Single Grids Only)
141	right	1	0.947	O2,b2	Con - Easy 2 & Hard 2	
142	right	0	0.888	O2,o2	Exp - Easy 2 & Hard 2	
143	right	1	1.822	O1,b1	Con - Easy 1 & Hard 1	
144	right	1	1.874	b2,o2	Exp - Hard 2 & Hard 2	
145	left	1	0.672	O2,O2	Exp - Easy 2 & Easy 2	
146	left	1	0.573	O1,O1	Exp - Easy 1 & Easy 1	
147	left	1	0.615	O2,O2	Exp - Easy 2 & Easy 2	
148	right	0	0.860	o2,o2	Exp - Hard 2 & Hard 2	
149	right	1	0.823	B1,O1	Exp - Easy 1 & Easy 1	
150	left	1	0.945	O2,O2	Exp - Easy 2 & Easy 2	
151	left	1	1.361	O2,o2	Exp - Easy 2 & Hard 2	
152	right	1	1.009	b2,O2	Con - Hard 2 & Easy 2	
153	right	1	0.789	b2,o2	Exp - Hard 2 & Hard 2	
154	left	1	0.623	O1,O1	Exp - Easy 1 & Easy 1	
155	left	1	2.738	o1,O1	Con - Hard 1 & Easy 1	
156	right	1	0.742	b1,O1	Con - Hard 1 & Easy 1	
157	right	1	0.573	b2,o2	Exp - Hard 2 & Hard 2	
158	right	1	1.043	b2,O2	Con - Hard 2 & Easy 2	
159	left	1	0.822	o1,O1	Con - Hard 1 & Easy 1	
160	left	1	0.908	O2,O2	Exp - Easy 2 & Easy 2	
161	left	1	0.540	O1,O1	Exp - Easy 1 & Easy 1	
162	right	1	0.642	B2,O2	Exp - Easy 2 & Easy 2	
163	right	0	1.557	o2,o2	Exp - Hard 2 & Hard 2	
164	right	0	0.707	o2,o2	Exp - Hard 2 & Hard 2	
165	right	0	2.072	o1,o1	Exp - Hard 1 & Hard 1	
166	left	1	0.668	O1,O1	Exp - Easy 1 & Easy 1	
167	left	1	0.795	o1,O1	Con - Hard 1 & Easy 1	
168	right	1	1.575	O2,b2	Con - Easy 2 & Hard 2	
169	right	1	0.989	B2,O2	Exp - Easy 2 & Easy 2	
170	right	1	0.673	b1,o1	Exp - Hard 1 & Hard 1	
171	right	1	0.778	B1,O1	Exp - Easy 1 & Easy 1	
172	left	0	1.207	O1,b1	Con - Easy 1 & Hard 1	
173	right	1	0.641	B1,O1	Exp - Easy 1 & Easy 1	
174	right	1	1.339	O1,b1	Con - Easy 1 & Hard 1	
175	right	1	1.157	b2,O2	Con - Hard 2 & Easy 2	
176	right	0	4.390	o1,o1	Exp - Hard 1 & Hard 1	
177	right	1	0.609	B2,O2	Exp - Easy 2 & Easy 2	
178	right	1	0.873	b1,o1	Exp - Hard 1 & Hard 1	
179	left	1	0.706	O2,O2	Exp - Easy 2 & Easy 2	
180	right	1	0.574	b2,o2	Exp - Hard 2 & Hard 2	
181	right	1	0.706	b2,O2	Con - Hard 2 & Easy 2	
182	right	1	0.891	O1,b1	Con - Easy 1 & Hard 1	
183	left	1	0.944	o1,O1	Con - Hard 1 & Easy 1	
184	left	1	0.867	O1,o1	Con - Easy 1 & Hard 1	
185	left	1	1.141	O1,o1	Con - Easy 1 & Hard 1	
186	right	1	0.738	O2,b2	Con - Easy 2 & Hard 2	
187	right	1	0.756	b1,O1	Con - Hard 1 & Easy 1	
188	right	1	0.860	O2,b2	Con - Easy 2 & Hard 2	
189	right	1	0.624	O2,b2	Con - Easy 2 & Hard 2	
190	right	1	0.823	O1,b1	Con - Easy 1 & Hard 1	
191	right	1	0.756	b1,o1	Exp - Hard 1 & Hard 1	
192	left	1	2.040	o1,o1	Exp - Hard 1 & Hard 1	
193	right	1	3.379	b1,O1	Con - Hard 1 & Easy 1	
194	left	1	0.721	O2,O2	Exp - Easy 2 & Easy 2	
195	right	0	1.007	o2,O2	Con - Hard 2 & Easy 2	
196	right	1	0.861	b1,O1	Con - Hard 1 & Easy 1	
197	right	1	0.574	O1,b1	Con - Easy 1 & Hard 1	
198	left	1	1.422	o2,O2	Con - Hard 2 & Easy 2	
199	left	1	0.529	O2,O2	Exp - Easy 2 & Easy 2	
200	left	1	1.196	O2,o2	Exp - Easy 2 & Hard 2	
201	left	1	0.640	o2,O2	Con - Hard 2 & Easy 2	
202	right	1	0.657	b2,o2	Exp - Hard 2 & Hard 2	
203	right	0	0.890	o2,o2	Exp - Hard 2 & Hard 2	
204	right	0	1.906	o1,o1	Exp - Hard 1 & Hard 1	
205	left	1	0.705	O1,o1	Con - Easy 1 & Hard 1	
206	right	1	0.611	B2,O2	Exp - Easy 2 & Easy 2	
207	left	1	1.089	O2,O2	Exp - Easy 2 & Easy 2	
208	left	1	1.790	O2,o2	Exp - Easy 2 & Hard 2	
