Trial Number, Response, Correct/Incorrect(1/0), RT, Condition, Difficulty, Colour Order (Single Grids Only)
63	left	1	2.704	b2,b2	Exp - Hard 2 & Hard 2	
64	left	1	2.844	b2,b2	Exp - Hard 2 & Hard 2	
65	left	1	0.686	B1,B1	Exp - Easy 1 & Easy 1	
66	left	1	2.143	B1,B1	Exp - Easy 1 & Easy 1	
67	right	1	0.807	O1,B1	Exp - Easy 1 & Easy 1	
68	right	1	0.840	O2,B2	Exp - Easy 2 & Easy 2	
69	right	0	5.383	b1,B1	Con - Hard 1 & Easy 1	
70	right	1	0.673	o1,B1	Con - Hard 1 & Easy 1	
71	right	0	6.049	b1,B1	Con - Hard 1 & Easy 1	
72	right	0	1.471	B2,b2	Con - Easy 2 & Hard 2	
73	right	1	1.605	O2,B2	Exp - Easy 2 & Easy 2	
74	right	1	1.283	O1,B1	Exp - Easy 1 & Easy 1	
75	right	1	0.674	O1,B1	Exp - Easy 1 & Easy 1	
76	right	1	0.683	O2,B2	Exp - Easy 2 & Easy 2	
77	left	1	5.521	b1,b1	Exp - Hard 1 & Hard 1	
78	left	1	0.651	B1,B1	Exp - Easy 1 & Easy 1	
79	right	1	5.331	B2,o2	Con - Easy 2 & Hard 2	
80	right	1	1.110	O2,B2	Exp - Easy 2 & Easy 2	
81	right	1	4.978	o1,B1	Con - Hard 1 & Easy 1	
82	left	1	1.677	B2,b2	Con - Easy 2 & Hard 2	
83	right	1	1.766	O1,B1	Exp - Easy 1 & Easy 1	
84	right	1	1.444	o1,b1	Exp - Hard 1 & Hard 1	
85	right	1	2.998	o2,b2	Exp - Hard 2 & Hard 2	
86	left	0	2.928	B2,o2	Con - Easy 2 & Hard 2	
87	left	1	3.109	b2,b2	Exp - Hard 2 & Hard 2	
88	right	1	1.038	O2,B2	Exp - Easy 2 & Easy 2	
89	left	1	1.055	B1,b1	Con - Easy 1 & Hard 1	
90	right	1	2.110	o1,B1	Con - Hard 1 & Easy 1	
91	right	1	1.066	B1,o1	Con - Easy 1 & Hard 1	
92	right	1	3.649	o1,B1	Con - Hard 1 & Easy 1	
93	right	0	5.723	b2,b2	Exp - Hard 2 & Hard 2	
94	left	0	1.165	o1,B1	Con - Hard 1 & Easy 1	
95	left	1	1.133	B1,b1	Con - Easy 1 & Hard 1	
96	left	1	0.953	B1,b1	Con - Easy 1 & Hard 1	
97	left	1	0.952	b1,b1	Exp - Hard 1 & Hard 1	
98	right	1	0.653	O1,B1	Exp - Easy 1 & Easy 1	
99	left	0	1.482	o2,B2	Con - Hard 2 & Easy 2	
100	left	1	0.717	B1,B1	Exp - Easy 1 & Easy 1	
101	right	1	1.634	o1,b1	Exp - Hard 1 & Hard 1	
102	right	1	1.221	o2,b2	Exp - Hard 2 & Hard 2	
103	right	1	1.508	o2,B2	Con - Hard 2 & Easy 2	
104	left	1	1.160	b1,B1	Con - Hard 1 & Easy 1	
105	left	1	1.037	B1,b1	Con - Easy 1 & Hard 1	
106	left	1	1.059	b2,B2	Con - Hard 2 & Easy 2	
107	right	1	0.733	O1,B1	Exp - Easy 1 & Easy 1	
108	left	1	1.116	B2,b2	Con - Easy 2 & Hard 2	
109	right	1	0.802	O1,B1	Exp - Easy 1 & Easy 1	
110	left	0	1.309	B2,o2	Con - Easy 2 & Hard 2	
111	left	1	0.848	B1,B1	Exp - Easy 1 & Easy 1	
112	left	1	0.890	B1,b1	Con - Easy 1 & Hard 1	
113	right	1	2.006	o1,B1	Con - Hard 1 & Easy 1	
114	left	0	3.003	o2,b2	Exp - Hard 2 & Hard 2	
115	left	1	1.087	b1,B1	Con - Hard 1 & Easy 1	
116	left	1	1.308	B2,b2	Con - Easy 2 & Hard 2	
117	right	1	1.091	o2,b2	Exp - Hard 2 & Hard 2	
118	left	1	1.765	b1,b1	Exp - Hard 1 & Hard 1	
119	right	1	1.219	o1,b1	Exp - Hard 1 & Hard 1	
120	left	1	1.170	B2,b2	Con - Easy 2 & Hard 2	
121	left	1	2.750	B2,b2	Con - Easy 2 & Hard 2	
122	left	1	1.307	b2,B2	Con - Hard 2 & Easy 2	
123	left	1	0.940	b2,b2	Exp - Hard 2 & Hard 2	
