Trial Number, Response, Correct/Incorrect(1/0), RT, Condition, Difficulty, Colour Order (Single Grids Only)
136	right	1	1.218	b1,o1	Exp - Hard 1 & Hard 1	
137	right	1	0.835	B1,O1	Exp - Easy 1 & Easy 1	
138	right	1	1.021	B1,O1	Exp - Easy 1 & Easy 1	
139	left	1	1.427	O2,o2	Exp - Easy 2 & Hard 2	
140	right	1	5.591	b1,O1	Con - Hard 1 & Easy 1	
141	right	1	0.978	B2,O2	Exp - Easy 2 & Easy 2	
142	right	1	4.379	O2,b2	Con - Easy 2 & Hard 2	
143	right	0	4.360	O2,o2	Exp - Easy 2 & Hard 2	
144	right	1	0.795	B2,O2	Exp - Easy 2 & Easy 2	
145	left	1	0.852	O1,o1	Con - Easy 1 & Hard 1	
146	right	1	1.426	O1,b1	Con - Easy 1 & Hard 1	
147	right	0	2.685	O2,o2	Exp - Easy 2 & Hard 2	
148	left	1	0.760	O1,O1	Exp - Easy 1 & Easy 1	
149	left	1	0.640	O1,O1	Exp - Easy 1 & Easy 1	
150	left	1	0.735	O2,O2	Exp - Easy 2 & Easy 2	
151	right	1	1.181	b2,O2	Con - Hard 2 & Easy 2	
152	left	1	1.945	o1,O1	Con - Hard 1 & Easy 1	
153	left	1	1.164	o2,o2	Exp - Hard 2 & Hard 2	
154	left	1	0.713	o1,O1	Con - Hard 1 & Easy 1	
155	right	1	1.084	b1,o1	Exp - Hard 1 & Hard 1	
156	right	0	1.077	O1,o1	Con - Easy 1 & Hard 1	
157	left	1	0.838	O1,O1	Exp - Easy 1 & Easy 1	
158	left	1	3.531	O2,o2	Exp - Easy 2 & Hard 2	
159	right	1	0.979	b2,o2	Exp - Hard 2 & Hard 2	
160	left	1	1.930	O2,o2	Exp - Easy 2 & Hard 2	
161	left	1	0.711	o1,O1	Con - Hard 1 & Easy 1	
162	right	1	0.915	B1,O1	Exp - Easy 1 & Easy 1	
163	left	1	1.613	o1,o1	Exp - Hard 1 & Hard 1	
164	right	1	1.302	O2,b2	Con - Easy 2 & Hard 2	
165	right	1	0.749	B1,O1	Exp - Easy 1 & Easy 1	
166	left	1	1.096	O2,o2	Exp - Easy 2 & Hard 2	
167	right	1	1.342	O1,b1	Con - Easy 1 & Hard 1	
168	right	1	1.528	b1,O1	Con - Hard 1 & Easy 1	
169	left	1	1.486	o1,o1	Exp - Hard 1 & Hard 1	
170	right	1	1.083	B1,O1	Exp - Easy 1 & Easy 1	
171	right	1	1.702	b2,O2	Con - Hard 2 & Easy 2	
172	left	1	0.963	o1,O1	Con - Hard 1 & Easy 1	
173	left	1	1.084	o1,O1	Con - Hard 1 & Easy 1	
174	right	0	2.792	o2,O2	Con - Hard 2 & Easy 2	
175	right	0	0.840	o2,o2	Exp - Hard 2 & Hard 2	
176	right	1	0.647	O1,b1	Con - Easy 1 & Hard 1	
177	right	1	1.153	b1,o1	Exp - Hard 1 & Hard 1	
178	left	1	1.031	O2,O2	Exp - Easy 2 & Easy 2	
179	right	1	2.672	O1,b1	Con - Easy 1 & Hard 1	
180	right	0	3.115	o2,o2	Exp - Hard 2 & Hard 2	
181	right	1	0.920	B1,O1	Exp - Easy 1 & Easy 1	
182	right	1	2.146	b2,o2	Exp - Hard 2 & Hard 2	
183	left	1	0.841	o2,O2	Con - Hard 2 & Easy 2	
184	right	1	1.057	O1,b1	Con - Easy 1 & Hard 1	
185	right	1	2.714	O1,b1	Con - Easy 1 & Hard 1	
186	right	0	1.328	O1,o1	Con - Easy 1 & Hard 1	
187	left	1	2.735	o1,O1	Con - Hard 1 & Easy 1	
188	left	1	0.892	O2,O2	Exp - Easy 2 & Easy 2	
189	right	1	1.203	b1,O1	Con - Hard 1 & Easy 1	
190	right	1	0.988	O2,b2	Con - Easy 2 & Hard 2	
191	right	1	0.723	b1,o1	Exp - Hard 1 & Hard 1	
192	left	1	1.499	O2,o2	Exp - Easy 2 & Hard 2	
193	left	1	1.457	o2,o2	Exp - Hard 2 & Hard 2	
194	right	0	1.140	o2,o2	Exp - Hard 2 & Hard 2	
195	right	1	1.486	b1,O1	Con - Hard 1 & Easy 1	
196	right	1	1.570	O2,b2	Con - Easy 2 & Hard 2	
197	right	1	2.133	b1,O1	Con - Hard 1 & Easy 1	
198	right	1	1.256	O1,b1	Con - Easy 1 & Hard 1	
199	left	1	1.914	o2,O2	Con - Hard 2 & Easy 2	
200	right	1	1.341	O1,b1	Con - Easy 1 & Hard 1	
201	right	1	1.474	b2,o2	Exp - Hard 2 & Hard 2	
202	right	1	2.914	O2,b2	Con - Easy 2 & Hard 2	
203	right	0	1.204	o1,o1	Exp - Hard 1 & Hard 1	
204	right	1	1.030	B2,O2	Exp - Easy 2 & Easy 2	
205	right	1	0.851	B2,O2	Exp - Easy 2 & Easy 2	
206	left	1	1.060	o1,o1	Exp - Hard 1 & Hard 1	
207	right	1	3.571	b2,O2	Con - Hard 2 & Easy 2	
208	right	0	1.186	o1,o1	Exp - Hard 1 & Hard 1	
