Trial Number, Response, Correct/Incorrect(1/0), RT, Condition, Difficulty, Colour Order (Single Grids Only)
138	left	0	2.179	o2,b2	Exp - Hard 2 & Hard 2	
139	right	1	1.673	O1,B1	Exp - Easy 1 & Easy 1	
140	right	0	1.798	b2,b2	Exp - Hard 2 & Hard 2	
141	right	1	1.653	o1,b1	Exp - Hard 1 & Hard 1	
142	left	1	1.284	b2,b2	Exp - Hard 2 & Hard 2	
143	right	1	2.121	O2,B2	Exp - Easy 2 & Easy 2	
144	left	0	1.666	o1,b1	Exp - Hard 1 & Hard 1	
145	left	0	1.261	B2,B2	Exp - Easy 2 & Easy 2	
146	left	0	1.254	o2,b2	Exp - Hard 2 & Hard 2	
147	left	0	1.402	B2,o2	Con - Easy 2 & Hard 2	
148	left	1	1.049	b2,B2	Con - Hard 2 & Easy 2	
149	left	1	0.821	B1,B1	Exp - Easy 1 & Easy 1	
150	left	0	1.250	o2,B2	Con - Hard 2 & Easy 2	
151	left	0	1.005	o2,b2	Exp - Hard 2 & Hard 2	
152	left	0	1.952	o2,B2	Con - Hard 2 & Easy 2	
153	right	1	2.091	O1,B1	Exp - Easy 1 & Easy 1	
154	right	1	1.896	B1,o1	Con - Easy 1 & Hard 1	
155	right	0	1.913	b1,b1	Exp - Hard 1 & Hard 1	
156	left	0	1.483	B1,o1	Con - Easy 1 & Hard 1	
157	right	1	2.142	B1,o1	Con - Easy 1 & Hard 1	
158	right	0	4.009	b1,b1	Exp - Hard 1 & Hard 1	
159	left	1	2.337	B1,B1	Exp - Easy 1 & Easy 1	
160	left	1	2.662	b2,b2	Exp - Hard 2 & Hard 2	
161	left	1	2.591	b1,B1	Con - Hard 1 & Easy 1	
162	left	1	2.445	B2,b2	Con - Easy 2 & Hard 2	
163	left	0	3.937	B1,o1	Con - Easy 1 & Hard 1	
164	left	0	3.996	o1,b1	Exp - Hard 1 & Hard 1	
165	right	1	3.043	O2,B2	Exp - Easy 2 & Easy 2	
166	left	0	2.831	o1,B1	Con - Hard 1 & Easy 1	
167	right	1	3.551	B1,o1	Con - Easy 1 & Hard 1	
168	left	0	3.457	B2,o2	Con - Easy 2 & Hard 2	
169	right	1	3.507	O1,B1	Exp - Easy 1 & Easy 1	
170	left	0	3.441	B2,B2	Exp - Easy 2 & Easy 2	
171	right	0	3.728	B2,b2	Con - Easy 2 & Hard 2	
172	left	1	1.627	B1,b1	Con - Easy 1 & Hard 1	
173	left	1	1.269	B1,b1	Con - Easy 1 & Hard 1	
174	right	1	3.539	O1,B1	Exp - Easy 1 & Easy 1	
175	left	0	5.684	B2,B2	Exp - Easy 2 & Easy 2	
176	left	1	7.184	O1,B1	Exp - Easy 1 & Easy 1	
177	left	1	6.033	B1,B1	Exp - Easy 1 & Easy 1	
178	left	1	5.194	B1,b1	Con - Easy 1 & Hard 1	
179	right	0	2.837	B2,B2	Exp - Easy 2 & Easy 2	
180	right	1	5.965	B1,o1	Con - Easy 1 & Hard 1	
181	right	1	2.267	o1,b1	Exp - Hard 1 & Hard 1	
182	left	0	3.569	o1,B1	Con - Hard 1 & Easy 1	
183	right	1	3.650	B2,o2	Con - Easy 2 & Hard 2	
184	right	0	5.374	b2,B2	Con - Hard 2 & Easy 2	
185	right	1	2.973	o1,b1	Exp - Hard 1 & Hard 1	
186	left	0	1.656	B2,o2	Con - Easy 2 & Hard 2	
187	right	1	2.773	O1,B1	Exp - Easy 1 & Easy 1	
188	right	1	2.226	o2,b2	Exp - Hard 2 & Hard 2	
189	left	0	1.375	B2,B2	Exp - Easy 2 & Easy 2	
190	left	1	4.897	b1,b1	Exp - Hard 1 & Hard 1	
191	left	0	4.383	o1,B1	Con - Hard 1 & Easy 1	
192	left	0	2.198	B2,B2	Exp - Easy 2 & Easy 2	
193	left	1	5.895	B2,b2	Con - Easy 2 & Hard 2	
194	right	1	3.833	B2,o2	Con - Easy 2 & Hard 2	
195	left	0	2.884	o1,B1	Con - Hard 1 & Easy 1	
196	right	1	4.276	O2,B2	Exp - Easy 2 & Easy 2	
197	left	1	3.578	b1,B1	Con - Hard 1 & Easy 1	
198	left	1	1.535	B1,b1	Con - Easy 1 & Hard 1	
199	left	1	1.566	b2,B2	Con - Hard 2 & Easy 2	
200	left	0	2.883	o1,b1	Exp - Hard 1 & Hard 1	
201	left	1	1.589	B1,B1	Exp - Easy 1 & Easy 1	
202	left	0	1.362	o2,B2	Con - Hard 2 & Easy 2	
203	left	0	1.428	B2,o2	Con - Easy 2 & Hard 2	
204	right	0	1.812	b2,b2	Exp - Hard 2 & Hard 2	
205	right	0	2.589	b2,B2	Con - Hard 2 & Easy 2	
206	left	0	2.547	B2,B2	Exp - Easy 2 & Easy 2	
207	left	1	3.003	b2,b2	Exp - Hard 2 & Hard 2	
208	right	0	3.386	b2,B2	Con - Hard 2 & Easy 2	
