Trial Number, Response, Correct/Incorrect(1/0), RT, Condition, Difficulty, Colour Order (Single Grids Only)
139	right	1	1.774	O2,b2	Con - Easy 2 & Hard 2	
140	right	1	1.044	b1,o1	Exp - Hard 1 & Hard 1	
141	right	1	1.143	O1,b1	Con - Easy 1 & Hard 1	
142	right	0	1.273	O2,o2	Exp - Easy 2 & Hard 2	
143	left	1	1.703	o2,O2	Con - Hard 2 & Easy 2	
144	right	0	1.525	o2,o2	Exp - Hard 2 & Hard 2	
145	right	1	3.797	O2,b2	Con - Easy 2 & Hard 2	
146	left	1	0.863	O2,O2	Exp - Easy 2 & Easy 2	
147	left	0	0.673	b1,O1	Con - Hard 1 & Easy 1	
148	left	0	0.842	b1,O1	Con - Hard 1 & Easy 1	
149	right	0	0.984	o2,o2	Exp - Hard 2 & Hard 2	
150	left	1	0.802	O2,O2	Exp - Easy 2 & Easy 2	
151	right	0	1.165	o1,o1	Exp - Hard 1 & Hard 1	
152	left	1	1.269	O1,o1	Con - Easy 1 & Hard 1	
153	right	0	1.577	o1,o1	Exp - Hard 1 & Hard 1	
154	left	0	1.312	b2,O2	Con - Hard 2 & Easy 2	
155	right	1	1.002	O2,b2	Con - Easy 2 & Hard 2	
156	right	0	1.153	o2,o2	Exp - Hard 2 & Hard 2	
157	right	0	0.815	o1,O1	Con - Hard 1 & Easy 1	
158	right	1	0.831	b1,o1	Exp - Hard 1 & Hard 1	
159	right	1	1.080	b2,O2	Con - Hard 2 & Easy 2	
160	right	0	1.587	o2,O2	Con - Hard 2 & Easy 2	
161	left	1	0.591	o1,O1	Con - Hard 1 & Easy 1	
162	right	1	2.332	B2,O2	Exp - Easy 2 & Easy 2	
163	left	1	2.341	O2,o2	Exp - Easy 2 & Hard 2	
164	right	1	1.384	b2,O2	Con - Hard 2 & Easy 2	
165	left	1	1.450	O2,O2	Exp - Easy 2 & Easy 2	
166	left	1	1.170	o1,o1	Exp - Hard 1 & Hard 1	
167	right	0	1.163	o1,o1	Exp - Hard 1 & Hard 1	
168	right	1	0.904	O1,b1	Con - Easy 1 & Hard 1	
169	left	1	1.017	o2,O2	Con - Hard 2 & Easy 2	
170	right	0	0.903	o2,o2	Exp - Hard 2 & Hard 2	
171	left	1	1.064	O2,O2	Exp - Easy 2 & Easy 2	
172	left	1	1.954	o2,O2	Con - Hard 2 & Easy 2	
173	left	1	0.643	O1,O1	Exp - Easy 1 & Easy 1	
174	left	1	0.635	O1,O1	Exp - Easy 1 & Easy 1	
175	left	1	0.630	o1,O1	Con - Hard 1 & Easy 1	
176	right	1	1.808	O2,b2	Con - Easy 2 & Hard 2	
177	right	0	0.752	O1,o1	Con - Easy 1 & Hard 1	
178	right	1	1.475	O2,b2	Con - Easy 2 & Hard 2	
179	right	1	0.942	O2,b2	Con - Easy 2 & Hard 2	
180	right	1	1.546	O2,b2	Con - Easy 2 & Hard 2	
181	right	1	0.746	B2,O2	Exp - Easy 2 & Easy 2	
182	left	1	1.331	o2,O2	Con - Hard 2 & Easy 2	
183	left	0	0.648	b1,O1	Con - Hard 1 & Easy 1	
184	left	0	0.644	b1,O1	Con - Hard 1 & Easy 1	
185	left	0	0.616	b1,O1	Con - Hard 1 & Easy 1	
186	right	1	1.126	B1,O1	Exp - Easy 1 & Easy 1	
187	left	1	1.751	o2,O2	Con - Hard 2 & Easy 2	
188	right	0	2.679	o2,O2	Con - Hard 2 & Easy 2	
189	right	1	0.877	b1,o1	Exp - Hard 1 & Hard 1	
190	right	1	0.868	b2,o2	Exp - Hard 2 & Hard 2	
191	right	1	1.696	b1,o1	Exp - Hard 1 & Hard 1	
192	right	0	2.061	o1,o1	Exp - Hard 1 & Hard 1	
193	right	0	1.587	O2,O2	Exp - Easy 2 & Easy 2	
194	left	1	1.756	O1,o1	Con - Easy 1 & Hard 1	
195	right	0	1.174	O1,o1	Con - Easy 1 & Hard 1	
196	right	1	1.004	b1,o1	Exp - Hard 1 & Hard 1	
197	right	0	1.340	o2,O2	Con - Hard 2 & Easy 2	
198	right	0	0.851	o1,o1	Exp - Hard 1 & Hard 1	
199	right	1	1.030	B2,O2	Exp - Easy 2 & Easy 2	
200	left	1	1.220	O1,o1	Con - Easy 1 & Hard 1	
201	right	1	1.829	b2,o2	Exp - Hard 2 & Hard 2	
202	right	0	1.545	o1,O1	Con - Hard 1 & Easy 1	
203	left	1	2.266	o1,O1	Con - Hard 1 & Easy 1	
204	right	1	1.570	O1,b1	Con - Easy 1 & Hard 1	
205	right	1	2.678	O1,b1	Con - Easy 1 & Hard 1	
206	right	0	1.507	O2,o2	Exp - Easy 2 & Hard 2	
207	right	1	2.011	O2,b2	Con - Easy 2 & Hard 2	
208	right	1	1.067	O1,b1	Con - Easy 1 & Hard 1	
