Trial Number, Response, Correct/Incorrect(1/0), RT, Condition, Difficulty, Colour Order (Single Grids Only)
63	left	1	1.176	b2,B2	Con - Hard 2 & Easy 2	
64	left	1	0.803	b1,b1	Exp - Hard 1 & Hard 1	
65	left	1	1.009	b1,B1	Con - Hard 1 & Easy 1	
66	right	1	0.830	O2,B2	Exp - Easy 2 & Easy 2	
67	left	0	3.032	B1,o1	Con - Easy 1 & Hard 1	
68	right	1	2.036	o1,B1	Con - Hard 1 & Easy 1	
69	right	1	0.924	O1,B1	Exp - Easy 1 & Easy 1	
70	right	1	0.682	O1,B1	Exp - Easy 1 & Easy 1	
71	right	0	2.064	b2,b2	Exp - Hard 2 & Hard 2	
72	left	0	0.808	O1,B1	Exp - Easy 1 & Easy 1	
73	left	1	1.753	B1,b1	Con - Easy 1 & Hard 1	
74	right	1	1.421	o2,B2	Con - Hard 2 & Easy 2	
75	left	1	2.164	B2,b2	Con - Easy 2 & Hard 2	
76	left	1	4.853	b2,b2	Exp - Hard 2 & Hard 2	
77	right	1	1.641	o2,b2	Exp - Hard 2 & Hard 2	
78	right	0	1.797	b1,B1	Con - Hard 1 & Easy 1	
79	right	0	1.174	b1,b1	Exp - Hard 1 & Hard 1	
80	left	1	3.628	B1,b1	Con - Easy 1 & Hard 1	
81	left	1	0.914	B1,B1	Exp - Easy 1 & Easy 1	
82	right	1	0.784	B1,o1	Con - Easy 1 & Hard 1	
83	left	1	1.245	B1,b1	Con - Easy 1 & Hard 1	
84	left	1	2.048	b2,B2	Con - Hard 2 & Easy 2	
85	right	1	0.758	O1,B1	Exp - Easy 1 & Easy 1	
86	right	1	1.823	o1,B1	Con - Hard 1 & Easy 1	
87	right	1	1.819	B2,o2	Con - Easy 2 & Hard 2	
88	left	1	0.926	b2,B2	Con - Hard 2 & Easy 2	
89	right	0	0.774	b2,B2	Con - Hard 2 & Easy 2	
90	right	0	1.272	B2,b2	Con - Easy 2 & Hard 2	
91	right	1	1.126	o1,b1	Exp - Hard 1 & Hard 1	
92	right	1	3.103	o1,B1	Con - Hard 1 & Easy 1	
93	left	1	1.745	B2,B2	Exp - Easy 2 & Easy 2	
94	right	0	1.449	B1,b1	Con - Easy 1 & Hard 1	
95	right	0	1.475	B1,B1	Exp - Easy 1 & Easy 1	
96	right	1	1.132	B2,o2	Con - Easy 2 & Hard 2	
97	right	1	1.459	B2,o2	Con - Easy 2 & Hard 2	
98	left	1	2.549	B2,b2	Con - Easy 2 & Hard 2	
99	left	1	0.919	b1,b1	Exp - Hard 1 & Hard 1	
100	left	1	1.585	B2,b2	Con - Easy 2 & Hard 2	
101	left	1	0.915	b1,b1	Exp - Hard 1 & Hard 1	
102	left	1	1.041	B2,b2	Con - Easy 2 & Hard 2	
103	left	1	0.881	b1,b1	Exp - Hard 1 & Hard 1	
104	left	0	0.677	o2,b2	Exp - Hard 2 & Hard 2	
105	right	1	0.809	O1,B1	Exp - Easy 1 & Easy 1	
106	left	0	0.836	o2,b2	Exp - Hard 2 & Hard 2	
107	right	0	1.522	B2,b2	Con - Easy 2 & Hard 2	
108	left	0	1.519	o1,b1	Exp - Hard 1 & Hard 1	
109	left	1	0.724	B1,B1	Exp - Easy 1 & Easy 1	
110	left	0	0.976	B2,o2	Con - Easy 2 & Hard 2	
111	right	0	2.665	b2,b2	Exp - Hard 2 & Hard 2	
112	right	0	1.506	B2,b2	Con - Easy 2 & Hard 2	
113	right	1	0.787	o1,b1	Exp - Hard 1 & Hard 1	
114	right	0	1.309	b1,B1	Con - Hard 1 & Easy 1	
115	right	1	0.610	o1,B1	Con - Hard 1 & Easy 1	
116	left	1	4.052	B1,b1	Con - Easy 1 & Hard 1	
117	right	1	0.398	B2,o2	Con - Easy 2 & Hard 2	
118	right	0	1.377	b2,b2	Exp - Hard 2 & Hard 2	
119	right	1	1.248	o2,b2	Exp - Hard 2 & Hard 2	
120	right	1	0.927	O2,B2	Exp - Easy 2 & Easy 2	
121	right	1	0.964	B1,o1	Con - Easy 1 & Hard 1	
122	right	1	0.785	o2,b2	Exp - Hard 2 & Hard 2	
123	right	1	0.800	o2,b2	Exp - Hard 2 & Hard 2	
124	left	1	0.975	B1,b1	Con - Easy 1 & Hard 1	
125	left	1	0.830	b1,B1	Con - Hard 1 & Easy 1	
126	right	1	0.733	O2,B2	Exp - Easy 2 & Easy 2	
127	left	1	0.701	B1,B1	Exp - Easy 1 & Easy 1	
128	right	1	1.922	B2,o2	Con - Easy 2 & Hard 2	
129	right	1	2.126	o1,B1	Con - Hard 1 & Easy 1	
130	left	0	1.090	o2,b2	Exp - Hard 2 & Hard 2	
131	left	1	0.731	b1,B1	Con - Hard 1 & Easy 1	
132	left	1	0.919	B1,b1	Con - Easy 1 & Hard 1	
133	right	1	1.112	o2,b2	Exp - Hard 2 & Hard 2	
134	right	1	1.438	o2,b2	Exp - Hard 2 & Hard 2	
135	right	1	1.192	o1,B1	Con - Hard 1 & Easy 1	
136	left	1	0.958	b1,B1	Con - Hard 1 & Easy 1	
137	right	0	1.399	b2,b2	Exp - Hard 2 & Hard 2	
138	right	1	1.056	O2,B2	Exp - Easy 2 & Easy 2	
139	left	1	0.828	B2,B2	Exp - Easy 2 & Easy 2	
140	left	1	0.801	b2,B2	Con - Hard 2 & Easy 2	
141	right	1	1.576	B1,o1	Con - Easy 1 & Hard 1	
142	left	1	1.113	B1,b1	Con - Easy 1 & Hard 1	
143	right	1	1.089	B1,o1	Con - Easy 1 & Hard 1	
144	left	1	0.797	b2,B2	Con - Hard 2 & Easy 2	
145	left	0	0.703	o2,B2	Con - Hard 2 & Easy 2	
146	left	1	0.609	B2,B2	Exp - Easy 2 & Easy 2	
147	left	0	0.735	o1,B1	Con - Hard 1 & Easy 1	
148	right	1	0.887	o1,B1	Con - Hard 1 & Easy 1	
149	right	1	1.697	B1,o1	Con - Easy 1 & Hard 1	
150	left	1	0.898	B2,B2	Exp - Easy 2 & Easy 2	
151	left	1	0.892	B2,B2	Exp - Easy 2 & Easy 2	
152	right	1	0.756	o1,b1	Exp - Hard 1 & Hard 1	
153	left	1	0.968	b2,B2	Con - Hard 2 & Easy 2	
154	right	1	1.534	o1,b1	Exp - Hard 1 & Hard 1	
155	left	1	0.718	b1,B1	Con - Hard 1 & Easy 1	
156	left	1	0.818	b1,b1	Exp - Hard 1 & Hard 1	
157	right	1	1.226	B1,o1	Con - Easy 1 & Hard 1	
158	right	1	1.498	B2,o2	Con - Easy 2 & Hard 2	
159	right	1	0.878	O2,B2	Exp - Easy 2 & Easy 2	
160	right	1	0.816	B1,o1	Con - Easy 1 & Hard 1	
161	right	1	1.001	o1,b1	Exp - Hard 1 & Hard 1	
162	left	0	1.699	o2,B2	Con - Hard 2 & Easy 2	
163	right	1	2.549	B2,o2	Con - Easy 2 & Hard 2	
164	left	1	1.148	B2,B2	Exp - Easy 2 & Easy 2	
165	right	1	0.903	o1,B1	Con - Hard 1 & Easy 1	
166	left	1	0.836	b2,B2	Con - Hard 2 & Easy 2	
167	right	1	0.759	B1,o1	Con - Easy 1 & Hard 1	
168	left	1	1.261	b2,b2	Exp - Hard 2 & Hard 2	
169	left	1	1.045	B2,b2	Con - Easy 2 & Hard 2	
170	left	1	0.817	B2,b2	Con - Easy 2 & Hard 2	
171	right	1	1.089	O2,B2	Exp - Easy 2 & Easy 2	
172	right	1	0.698	O1,B1	Exp - Easy 1 & Easy 1	
173	right	1	0.924	B2,o2	Con - Easy 2 & Hard 2	
174	left	1	1.070	b2,b2	Exp - Hard 2 & Hard 2	
175	left	1	0.725	b1,B1	Con - Hard 1 & Easy 1	
176	right	1	0.663	B1,o1	Con - Easy 1 & Hard 1	
177	left	1	0.694	b2,B2	Con - Hard 2 & Easy 2	
178	left	1	0.693	b2,B2	Con - Hard 2 & Easy 2	
179	left	0	0.935	o2,B2	Con - Hard 2 & Easy 2	
180	left	1	0.551	b1,b1	Exp - Hard 1 & Hard 1	
181	left	1	0.661	B1,B1	Exp - Easy 1 & Easy 1	
182	left	0	0.620	o2,B2	Con - Hard 2 & Easy 2	
183	left	0	0.464	O2,B2	Exp - Easy 2 & Easy 2	
184	right	1	0.781	o1,B1	Con - Hard 1 & Easy 1	
185	left	1	0.770	b2,b2	Exp - Hard 2 & Hard 2	
186	right	1	0.807	O2,B2	Exp - Easy 2 & Easy 2	
187	right	1	2.693	o2,b2	Exp - Hard 2 & Hard 2	
188	right	1	0.725	o1,B1	Con - Hard 1 & Easy 1	
189	left	1	0.709	B1,B1	Exp - Easy 1 & Easy 1	
190	left	1	0.844	b1,b1	Exp - Hard 1 & Hard 1	
191	left	0	0.686	o2,b2	Exp - Hard 2 & Hard 2	
192	left	1	0.785	B1,b1	Con - Easy 1 & Hard 1	
193	left	1	0.841	B2,B2	Exp - Easy 2 & Easy 2	
194	left	1	0.672	b2,b2	Exp - Hard 2 & Hard 2	
195	left	1	0.530	b2,B2	Con - Hard 2 & Easy 2	
196	left	1	0.652	B1,B1	Exp - Easy 1 & Easy 1	
197	right	1	1.535	o2,B2	Con - Hard 2 & Easy 2	
