Trial Number, Response, Correct/Incorrect(1/0), RT, Condition, Difficulty, Colour Order (Single Grids Only)
139	left	1	4.498	o1,o1	Exp - Hard 1 & Hard 1	
140	left	1	2.160	O2,O2	Exp - Easy 2 & Easy 2	
141	left	1	3.333	O1,o1	Con - Easy 1 & Hard 1	
142	right	1	1.293	B2,O2	Exp - Easy 2 & Easy 2	
143	left	1	2.476	o1,O1	Con - Hard 1 & Easy 1	
144	right	1	1.904	b1,O1	Con - Hard 1 & Easy 1	
145	right	0	3.367	o2,O2	Con - Hard 2 & Easy 2	
146	right	1	0.918	O1,b1	Con - Easy 1 & Hard 1	
147	right	1	1.106	b1,o1	Exp - Hard 1 & Hard 1	
148	left	1	0.934	O1,O1	Exp - Easy 1 & Easy 1	
149	right	1	1.565	b2,O2	Con - Hard 2 & Easy 2	
150	left	1	1.090	O2,o2	Exp - Easy 2 & Hard 2	
151	right	0	2.114	O2,o2	Exp - Easy 2 & Hard 2	
152	right	1	0.881	B2,O2	Exp - Easy 2 & Easy 2	
153	right	0	2.027	O1,o1	Con - Easy 1 & Hard 1	
154	right	0	1.564	o1,O1	Con - Hard 1 & Easy 1	
155	right	0	1.436	o1,O1	Con - Hard 1 & Easy 1	
156	right	1	2.449	b1,o1	Exp - Hard 1 & Hard 1	
157	right	1	1.615	O1,b1	Con - Easy 1 & Hard 1	
158	right	0	2.259	o2,o2	Exp - Hard 2 & Hard 2	
159	right	1	1.414	O1,b1	Con - Easy 1 & Hard 1	
160	right	1	1.291	B1,O1	Exp - Easy 1 & Easy 1	
161	left	1	3.796	o1,O1	Con - Hard 1 & Easy 1	
162	right	1	2.759	O1,b1	Con - Easy 1 & Hard 1	
163	left	1	1.559	O2,O2	Exp - Easy 2 & Easy 2	
164	left	1	1.703	O1,O1	Exp - Easy 1 & Easy 1	
165	right	1	0.794	B2,O2	Exp - Easy 2 & Easy 2	
166	right	0	1.901	O1,o1	Con - Easy 1 & Hard 1	
167	right	0	2.363	o2,o2	Exp - Hard 2 & Hard 2	
168	right	0	1.973	o2,O2	Con - Hard 2 & Easy 2	
169	right	1	1.690	O2,b2	Con - Easy 2 & Hard 2	
170	left	1	1.723	O2,O2	Exp - Easy 2 & Easy 2	
171	right	1	1.141	b1,O1	Con - Hard 1 & Easy 1	
172	right	0	2.319	o2,o2	Exp - Hard 2 & Hard 2	
173	right	1	1.521	O2,b2	Con - Easy 2 & Hard 2	
174	left	1	1.877	o2,O2	Con - Hard 2 & Easy 2	
175	left	1	1.316	o2,o2	Exp - Hard 2 & Hard 2	
176	right	1	3.079	O2,b2	Con - Easy 2 & Hard 2	
177	left	1	1.283	o2,O2	Con - Hard 2 & Easy 2	
178	right	1	1.709	b1,o1	Exp - Hard 1 & Hard 1	
179	right	1	0.787	B1,O1	Exp - Easy 1 & Easy 1	
180	right	1	0.859	O1,b1	Con - Easy 1 & Hard 1	
181	left	1	1.629	o1,o1	Exp - Hard 1 & Hard 1	
182	right	1	2.274	b1,O1	Con - Hard 1 & Easy 1	
183	right	1	1.997	b1,O1	Con - Hard 1 & Easy 1	
184	left	1	1.366	O1,O1	Exp - Easy 1 & Easy 1	
185	right	0	2.560	O1,o1	Con - Easy 1 & Hard 1	
186	left	1	4.080	O1,o1	Con - Easy 1 & Hard 1	
187	left	1	1.013	O1,O1	Exp - Easy 1 & Easy 1	
188	left	1	1.337	O1,O1	Exp - Easy 1 & Easy 1	
189	left	1	0.942	O1,O1	Exp - Easy 1 & Easy 1	
190	left	0	3.828	O2,b2	Con - Easy 2 & Hard 2	
191	right	0	1.861	o1,O1	Con - Hard 1 & Easy 1	
192	left	1	3.598	o2,o2	Exp - Hard 2 & Hard 2	
193	left	1	1.966	o2,O2	Con - Hard 2 & Easy 2	
194	left	1	1.717	O2,O2	Exp - Easy 2 & Easy 2	
195	left	1	4.106	O2,o2	Exp - Easy 2 & Hard 2	
196	left	1	2.052	o1,O1	Con - Hard 1 & Easy 1	
197	left	1	1.227	o1,O1	Con - Hard 1 & Easy 1	
198	right	0	1.564	o2,o2	Exp - Hard 2 & Hard 2	
199	right	1	4.227	O1,b1	Con - Easy 1 & Hard 1	
200	left	0	1.415	b1,o1	Exp - Hard 1 & Hard 1	
201	left	0	1.427	b2,o2	Exp - Hard 2 & Hard 2	
202	left	1	1.330	O2,O2	Exp - Easy 2 & Easy 2	
203	left	1	0.972	O2,o2	Exp - Easy 2 & Hard 2	
204	right	1	1.514	b1,O1	Con - Hard 1 & Easy 1	
205	right	1	1.587	B2,O2	Exp - Easy 2 & Easy 2	
206	left	1	1.127	o2,o2	Exp - Hard 2 & Hard 2	
207	right	1	2.486	b2,o2	Exp - Hard 2 & Hard 2	
208	right	1	1.805	B2,O2	Exp - Easy 2 & Easy 2	
