Trial Number, Response, Correct/Incorrect(1/0), RT, Condition, Difficulty, Colour Order (Single Grids Only)
63	left	1	2.090	b1,B1	Con - Hard 1 & Easy 1	
64	right	1	0.820	O2,B2	Exp - Easy 2 & Easy 2	
65	right	1	0.844	o1,b1	Exp - Hard 1 & Hard 1	
66	right	1	0.757	O1,B1	Exp - Easy 1 & Easy 1	
67	right	1	3.770	o2,b2	Exp - Hard 2 & Hard 2	
68	left	1	1.057	B2,B2	Exp - Easy 2 & Easy 2	
69	left	1	0.946	b1,B1	Con - Hard 1 & Easy 1	
70	left	0	1.277	o2,B2	Con - Hard 2 & Easy 2	
71	right	1	1.846	B2,o2	Con - Easy 2 & Hard 2	
72	left	1	3.111	b2,B2	Con - Hard 2 & Easy 2	
73	right	0	2.251	B2,b2	Con - Easy 2 & Hard 2	
74	right	1	3.285	o2,B2	Con - Hard 2 & Easy 2	
75	right	1	1.713	o1,b1	Exp - Hard 1 & Hard 1	
76	right	1	0.834	O2,B2	Exp - Easy 2 & Easy 2	
77	left	1	2.008	B2,b2	Con - Easy 2 & Hard 2	
78	right	1	1.370	o1,B1	Con - Hard 1 & Easy 1	
79	left	1	2.464	B1,B1	Exp - Easy 1 & Easy 1	
80	right	1	0.798	o2,B2	Con - Hard 2 & Easy 2	
81	right	1	0.895	o2,B2	Con - Hard 2 & Easy 2	
82	right	1	0.662	O2,B2	Exp - Easy 2 & Easy 2	
83	right	1	1.081	O2,B2	Exp - Easy 2 & Easy 2	
84	left	1	3.400	b1,b1	Exp - Hard 1 & Hard 1	
85	left	1	2.120	B2,b2	Con - Easy 2 & Hard 2	
86	left	0	2.662	o2,B2	Con - Hard 2 & Easy 2	
87	right	1	0.951	O1,B1	Exp - Easy 1 & Easy 1	
88	left	1	0.882	B2,B2	Exp - Easy 2 & Easy 2	
89	left	1	0.729	b1,B1	Con - Hard 1 & Easy 1	
90	right	1	0.780	O1,B1	Exp - Easy 1 & Easy 1	
91	right	1	0.839	O2,B2	Exp - Easy 2 & Easy 2	
92	left	0	1.259	o1,b1	Exp - Hard 1 & Hard 1	
93	right	1	0.917	O2,B2	Exp - Easy 2 & Easy 2	
94	left	1	0.773	B1,B1	Exp - Easy 1 & Easy 1	
95	left	1	1.461	b2,b2	Exp - Hard 2 & Hard 2	
96	right	1	3.079	B1,o1	Con - Easy 1 & Hard 1	
97	right	0	3.395	b2,b2	Exp - Hard 2 & Hard 2	
98	right	1	1.498	B1,o1	Con - Easy 1 & Hard 1	
99	left	1	0.772	B2,B2	Exp - Easy 2 & Easy 2	
100	right	1	1.393	o1,b1	Exp - Hard 1 & Hard 1	
101	right	1	1.980	o2,b2	Exp - Hard 2 & Hard 2	
102	right	1	1.931	o2,b2	Exp - Hard 2 & Hard 2	
103	left	1	0.873	B1,b1	Con - Easy 1 & Hard 1	
104	right	1	2.121	B2,o2	Con - Easy 2 & Hard 2	
105	right	0	2.065	B1,b1	Con - Easy 1 & Hard 1	
106	right	1	1.276	B1,o1	Con - Easy 1 & Hard 1	
107	left	1	4.745	b1,B1	Con - Hard 1 & Easy 1	
108	left	1	0.818	B1,B1	Exp - Easy 1 & Easy 1	
109	right	0	2.251	b2,B2	Con - Hard 2 & Easy 2	
