Trial Number, Response, Correct/Incorrect(1/0), RT, Condition, Difficulty, Colour Order (Single Grids Only)
63	left	1	1.023	O2,O2	Exp - Easy 2 & Easy 2	
64	left	1	0.844	O1,o1	Con - Easy 1 & Hard 1	
65	left	1	0.805	O2,O2	Exp - Easy 2 & Easy 2	
66	right	1	0.571	b2,o2	Exp - Hard 2 & Hard 2	
67	right	1	0.639	b1,O1	Con - Hard 1 & Easy 1	
68	right	0	0.740	o1,o1	Exp - Hard 1 & Hard 1	
69	left	1	0.623	O2,O2	Exp - Easy 2 & Easy 2	
70	left	1	3.090	O2,o2	Exp - Easy 2 & Hard 2	
71	right	0	0.618	o2,o2	Exp - Hard 2 & Hard 2	
72	right	1	1.256	b1,O1	Con - Hard 1 & Easy 1	
73	right	1	0.905	b1,O1	Con - Hard 1 & Easy 1	
74	left	1	0.557	O2,O2	Exp - Easy 2 & Easy 2	
75	right	1	0.556	b2,o2	Exp - Hard 2 & Hard 2	
76	left	1	0.755	O1,o1	Con - Easy 1 & Hard 1	
77	right	1	0.639	b2,O2	Con - Hard 2 & Easy 2	
78	left	1	1.193	O2,O2	Exp - Easy 2 & Easy 2	
79	left	1	2.088	O1,o1	Con - Easy 1 & Hard 1	
80	right	1	1.472	B2,O2	Exp - Easy 2 & Easy 2	
81	right	0	0.785	O2,o2	Exp - Easy 2 & Hard 2	
82	right	1	2.555	b2,o2	Exp - Hard 2 & Hard 2	
83	left	1	0.538	O2,O2	Exp - Easy 2 & Easy 2	
84	right	1	0.776	b2,o2	Exp - Hard 2 & Hard 2	
85	right	1	0.606	b1,o1	Exp - Hard 1 & Hard 1	
86	left	1	0.505	O1,O1	Exp - Easy 1 & Easy 1	
87	right	0	0.639	o2,o2	Exp - Hard 2 & Hard 2	
88	right	1	0.612	b2,O2	Con - Hard 2 & Easy 2	
89	right	1	0.526	b1,o1	Exp - Hard 1 & Hard 1	
90	left	1	1.623	o2,O2	Con - Hard 2 & Easy 2	
91	right	1	0.527	B1,O1	Exp - Easy 1 & Easy 1	
92	right	1	0.589	b1,O1	Con - Hard 1 & Easy 1	
93	right	1	0.525	b1,O1	Con - Hard 1 & Easy 1	
94	left	1	1.024	o1,O1	Con - Hard 1 & Easy 1	
95	right	1	0.557	b1,o1	Exp - Hard 1 & Hard 1	
96	right	1	0.655	O1,b1	Con - Easy 1 & Hard 1	
97	right	1	0.888	b2,o2	Exp - Hard 2 & Hard 2	
