Trial Number, Response, Correct/Incorrect(1/0), RT, Condition, Difficulty, Colour Order (Single Grids Only)
137	right	1	1.360	o1,B1	Con - Hard 1 & Easy 1	
138	left	1	0.722	b1,B1	Con - Hard 1 & Easy 1	
139	right	1	1.006	B1,o1	Con - Easy 1 & Hard 1	
140	left	1	0.943	b2,B2	Con - Hard 2 & Easy 2	
141	left	0	1.238	o2,B2	Con - Hard 2 & Easy 2	
142	right	1	0.656	o2,b2	Exp - Hard 2 & Hard 2	
143	left	1	0.528	B2,B2	Exp - Easy 2 & Easy 2	
144	left	1	0.638	b1,b1	Exp - Hard 1 & Hard 1	
145	right	1	0.694	O1,B1	Exp - Easy 1 & Easy 1	
146	left	1	0.527	B1,b1	Con - Easy 1 & Hard 1	
147	right	1	0.673	O1,B1	Exp - Easy 1 & Easy 1	
148	right	1	0.611	O1,B1	Exp - Easy 1 & Easy 1	
149	left	1	1.821	B1,b1	Con - Easy 1 & Hard 1	
150	right	1	0.777	B1,o1	Con - Easy 1 & Hard 1	
151	left	1	1.110	b1,B1	Con - Hard 1 & Easy 1	
152	left	1	0.838	b1,B1	Con - Hard 1 & Easy 1	
153	left	1	0.778	b2,B2	Con - Hard 2 & Easy 2	
154	left	1	0.820	b1,B1	Con - Hard 1 & Easy 1	
155	right	1	0.623	O1,B1	Exp - Easy 1 & Easy 1	
156	right	1	3.360	B2,o2	Con - Easy 2 & Hard 2	
157	left	1	1.217	b1,B1	Con - Hard 1 & Easy 1	
158	right	1	1.673	o1,B1	Con - Hard 1 & Easy 1	
159	right	1	4.671	B2,o2	Con - Easy 2 & Hard 2	
160	right	1	0.722	o2,b2	Exp - Hard 2 & Hard 2	
161	right	1	0.807	o2,B2	Con - Hard 2 & Easy 2	
162	left	1	0.655	b2,b2	Exp - Hard 2 & Hard 2	
163	left	1	0.405	B1,B1	Exp - Easy 1 & Easy 1	
164	right	1	0.807	B2,o2	Con - Easy 2 & Hard 2	
165	left	1	0.840	B2,b2	Con - Easy 2 & Hard 2	
166	left	1	0.640	b1,b1	Exp - Hard 1 & Hard 1	
167	left	1	0.407	B1,B1	Exp - Easy 1 & Easy 1	
168	left	1	0.421	B2,B2	Exp - Easy 2 & Easy 2	
169	left	1	0.574	B2,B2	Exp - Easy 2 & Easy 2	
170	right	1	1.006	o1,B1	Con - Hard 1 & Easy 1	
171	right	1	0.610	O1,B1	Exp - Easy 1 & Easy 1	
172	right	1	0.777	o2,b2	Exp - Hard 2 & Hard 2	
173	right	1	0.946	B1,o1	Con - Easy 1 & Hard 1	
174	left	0	1.338	B2,o2	Con - Easy 2 & Hard 2	
175	left	1	0.539	b1,b1	Exp - Hard 1 & Hard 1	
176	right	1	1.279	o1,b1	Exp - Hard 1 & Hard 1	
177	right	1	0.806	o2,B2	Con - Hard 2 & Easy 2	
178	right	1	1.073	o1,b1	Exp - Hard 1 & Hard 1	
179	right	1	6.778	B2,o2	Con - Easy 2 & Hard 2	
180	left	1	4.110	b1,b1	Exp - Hard 1 & Hard 1	
181	left	1	0.573	B1,B1	Exp - Easy 1 & Easy 1	
182	left	1	4.474	B2,b2	Con - Easy 2 & Hard 2	
183	right	1	0.805	B1,o1	Con - Easy 1 & Hard 1	
184	left	1	0.556	b2,B2	Con - Hard 2 & Easy 2	
185	left	1	0.922	B1,b1	Con - Easy 1 & Hard 1	
186	right	1	0.556	O2,B2	Exp - Easy 2 & Easy 2	
187	left	1	0.638	B2,b2	Con - Easy 2 & Hard 2	
188	left	1	0.672	b2,b2	Exp - Hard 2 & Hard 2	
189	left	0	0.804	B2,o2	Con - Easy 2 & Hard 2	
190	left	1	0.444	B2,B2	Exp - Easy 2 & Easy 2	
191	left	1	0.489	B2,B2	Exp - Easy 2 & Easy 2	
192	right	1	0.695	o1,B1	Con - Hard 1 & Easy 1	
193	left	1	0.943	B1,b1	Con - Easy 1 & Hard 1	
194	left	1	0.692	B2,b2	Con - Easy 2 & Hard 2	
195	right	1	0.739	O1,B1	Exp - Easy 1 & Easy 1	
196	left	1	0.622	b1,B1	Con - Hard 1 & Easy 1	
197	left	1	0.904	b2,B2	Con - Hard 2 & Easy 2	
198	right	1	1.057	o2,B2	Con - Hard 2 & Easy 2	
199	right	1	0.856	o1,b1	Exp - Hard 1 & Hard 1	
200	right	1	0.860	o1,B1	Con - Hard 1 & Easy 1	
201	left	0	1.028	o2,B2	Con - Hard 2 & Easy 2	
202	left	1	1.138	b2,b2	Exp - Hard 2 & Hard 2	
203	right	1	1.055	B2,o2	Con - Easy 2 & Hard 2	
204	left	1	0.755	B1,b1	Con - Easy 1 & Hard 1	
205	right	1	0.572	O2,B2	Exp - Easy 2 & Easy 2	
206	right	1	3.323	o1,B1	Con - Hard 1 & Easy 1	
207	right	1	0.838	o2,B2	Con - Hard 2 & Easy 2	
208	left	1	0.528	B2,B2	Exp - Easy 2 & Easy 2	
