Trial Number, Response, Correct/Incorrect(1/0), RT, Condition, Difficulty, Colour Order (Single Grids Only)
1	left	0	1.440	b,o	Exp - Hard 1	2	
2	right	1	1.170	B,o	Con - Easy 1	2	
3	right	1	1.056	B,o	Con - Easy 2	2	
4	left	1	0.840	o,b	Exp - Hard 2	2	
5	left	1	0.948	o,b	Exp - Hard 1	2	
6	left	0	1.145	b,o	Exp - Hard 1	2	
7	right	1	1.052	b,o	Exp - Hard 2	2	
8	right	1	1.008	B,o	Con - Easy 1	2	
9	right	1	1.049	b,o	Exp - Hard 1	2	
10	left	0	1.007	B,o	Con - Easy 1	2	
11	left	1	1.793	o,b	Exp - Hard 1	2	
12	left	0	1.364	b,o	Exp - Hard 2	2	
13	left	1	1.069	O,b	Con - Easy 1	2	
14	left	1	1.109	O,b	Con - Easy 2	2	
15	left	1	0.927	O,b	Con - Easy 1	2	
16	right	1	0.874	B,o	Con - Easy 1	2	
17	right	1	0.859	B,o	Con - Easy 2	2	
18	left	1	1.185	o,b	Exp - Hard 1	2	
19	right	1	0.881	B,o	Con - Easy 2	2	
20	left	1	1.260	o,b	Exp - Hard 1	2	
21	left	1	1.021	o,b	Exp - Hard 2	2	
22	left	1	1.187	o,b	Exp - Hard 1	2	
23	left	1	1.087	O,b	Con - Easy 1	2	
24	left	1	1.181	o,b	Exp - Hard 2	2	
25	left	1	1.645	o,b	Exp - Hard 2	2	
26	left	1	0.883	O,b	Con - Easy 2	2	
27	left	1	0.665	O,b	Con - Easy 2	2	
28	right	1	0.709	b,o	Exp - Hard 2	2	
29	right	1	0.662	B,o	Con - Easy 2	2	
30	left	1	0.673	O,b	Con - Easy 2	2	
31	left	1	1.005	o,b	Exp - Hard 2	2	
32	right	1	0.773	b,o	Exp - Hard 2	2	
33	left	0	1.413	b,o	Exp - Hard 1	2	
34	right	1	0.802	B,o	Con - Easy 1	2	
35	right	1	0.620	B,o	Con - Easy 2	2	
36	right	1	1.230	b,o	Exp - Hard 2	2	
37	left	1	0.782	O,b	Con - Easy 1	2	
