Trial Number, Response, Correct/Incorrect(1/0), RT, Condition, Difficulty, Colour Order (Single Grids Only)
139	left	0	0.089	b1,o1	Exp - Hard 1 & Hard 1	
140	right	0	0.121	o1,O1	Con - Hard 1 & Easy 1	
141	left	1	0.070	o2,o2	Exp - Hard 2 & Hard 2	
142	right	1	0.420	o1,o1	Exp - Hard 1 & Hard 1	
143	left	0	0.120	o1,O1	Con - Hard 1 & Easy 1	
144	left	1	0.187	O2,O2	Exp - Easy 2 & Easy 2	
145	right	1	0.204	o1,o1	Exp - Hard 1 & Hard 1	
146	right	0	0.036	O2,O2	Exp - Easy 2 & Easy 2	
147	left	0	0.137	b1,O1	Con - Hard 1 & Easy 1	
148	right	1	0.103	O1,O1	Exp - Easy 1 & Easy 1	
149	left	0	0.052	B1,O1	Exp - Easy 1 & Easy 1	
150	right	0	0.053	b1,O1	Con - Hard 1 & Easy 1	
151	left	0	0.136	B1,O1	Exp - Easy 1 & Easy 1	
152	left	0	0.120	b1,o1	Exp - Hard 1 & Hard 1	
153	right	0	0.019	O2,O2	Exp - Easy 2 & Easy 2	
154	left	0	0.070	o1,O1	Con - Hard 1 & Easy 1	
155	right	1	0.354	b1,o1	Exp - Hard 1 & Hard 1	
156	left	0	0.219	O2,b2	Con - Easy 2 & Hard 2	
157	right	0	0.084	o2,o2	Exp - Hard 2 & Hard 2	
158	left	0	0.070	O2,b2	Con - Easy 2 & Hard 2	
159	right	0	0.155	O1,o1	Con - Easy 1 & Hard 1	
160	left	0	0.120	b1,o1	Exp - Hard 1 & Hard 1	
161	right	0	0.187	O2,O2	Exp - Easy 2 & Easy 2	
162	left	0	0.106	b2,O2	Con - Hard 2 & Easy 2	
163	right	0	0.090	o1,O1	Con - Hard 1 & Easy 1	
164	left	0	0.054	O1,O1	Exp - Easy 1 & Easy 1	
165	right	0	0.105	O2,O2	Exp - Easy 2 & Easy 2	
166	left	0	0.120	o1,o1	Exp - Hard 1 & Hard 1	
167	right	0	0.106	B2,O2	Exp - Easy 2 & Easy 2	
168	left	0	0.222	b1,o1	Exp - Hard 1 & Hard 1	
169	right	0	0.188	o1,O1	Con - Hard 1 & Easy 1	
170	left	0	0.221	b1,o1	Exp - Hard 1 & Hard 1	
171	right	0	0.121	o2,O2	Con - Hard 2 & Easy 2	
172	left	0	0.120	O2,o2	Exp - Easy 2 & Hard 2	
173	right	1	0.072	b1,o1	Exp - Hard 1 & Hard 1	
174	left	0	0.118	O1,b1	Con - Easy 1 & Hard 1	
175	right	1	0.122	B1,O1	Exp - Easy 1 & Easy 1	
176	left	0	0.072	b1,O1	Con - Hard 1 & Easy 1	
177	right	0	0.154	B2,O2	Exp - Easy 2 & Easy 2	
178	left	0	0.154	b2,O2	Con - Hard 2 & Easy 2	
179	right	0	0.170	O2,o2	Exp - Easy 2 & Hard 2	
180	left	0	0.134	B1,O1	Exp - Easy 1 & Easy 1	
181	right	0	0.037	O1,b1	Con - Easy 1 & Hard 1	
182	left	0	0.187	b2,O2	Con - Hard 2 & Easy 2	
183	right	1	0.356	b1,o1	Exp - Hard 1 & Hard 1	
184	left	0	0.173	O2,o2	Exp - Easy 2 & Hard 2	
185	right	0	0.106	B2,O2	Exp - Easy 2 & Easy 2	
186	left	0	0.121	b1,O1	Con - Hard 1 & Easy 1	
187	right	0	0.014	b2,o2	Exp - Hard 2 & Hard 2	
188	left	1	0.304	b2,o2	Exp - Hard 2 & Hard 2	
189	right	0	0.020	O2,o2	Exp - Easy 2 & Hard 2	
190	left	1	0.190	o2,o2	Exp - Hard 2 & Hard 2	
191	right	0	0.121	O1,o1	Con - Easy 1 & Hard 1	
192	left	1	0.122	o2,o2	Exp - Hard 2 & Hard 2	
193	right	0	0.258	b2,O2	Con - Hard 2 & Easy 2	
194	left	0	0.153	b1,O1	Con - Hard 1 & Easy 1	
195	right	0	0.109	O1,o1	Con - Easy 1 & Hard 1	
196	right	0	0.173	O2,o2	Exp - Easy 2 & Hard 2	
197	left	1	0.207	O2,O2	Exp - Easy 2 & Easy 2	
198	right	1	0.137	B1,O1	Exp - Easy 1 & Easy 1	
199	left	0	0.138	b2,O2	Con - Hard 2 & Easy 2	
200	right	0	0.037	O2,b2	Con - Easy 2 & Hard 2	
201	left	0	0.138	O1,o1	Con - Easy 1 & Hard 1	
202	right	0	0.154	o2,O2	Con - Hard 2 & Easy 2	
203	left	1	0.070	b2,o2	Exp - Hard 2 & Hard 2	
204	right	0	0.321	O2,b2	Con - Easy 2 & Hard 2	
205	left	0	0.238	b1,O1	Con - Hard 1 & Easy 1	
206	right	0	0.122	b1,O1	Con - Hard 1 & Easy 1	
207	left	0	0.174	o2,O2	Con - Hard 2 & Easy 2	
208	right	0	0.123	B2,O2	Exp - Easy 2 & Easy 2	
