Trial Number, Response, Correct/Incorrect(1/0), RT, Condition, Difficulty, Colour Order (Single Grids Only)
63	right	1	0.203	B2,B2	Exp - Easy 2 & Easy 2	
64	left	0	0.202	b2,b2	Exp - Hard 2 & Hard 2	
65	right	1	0.236	O2,B2	Exp - Easy 2 & Easy 2	
66	left	0	0.153	B2,B2	Exp - Easy 2 & Easy 2	
67	right	0	0.221	O1,B1	Exp - Easy 1 & Easy 1	
68	left	0	0.204	o2,B2	Con - Hard 2 & Easy 2	
69	right	0	0.036	o2,b2	Exp - Hard 2 & Hard 2	
70	left	0	0.218	b2,b2	Exp - Hard 2 & Hard 2	
71	right	0	0.570	b1,B1	Con - Hard 1 & Easy 1	
72	right	0	0.857	b2,B2	Con - Hard 2 & Easy 2	
73	left	0	3.337	B1,b1	Con - Easy 1 & Hard 1	
74	right	0	0.039	B2,o2	Con - Easy 2 & Hard 2	
75	right	0	0.190	o2,b2	Exp - Hard 2 & Hard 2	
76	right	1	0.156	o1,b1	Exp - Hard 1 & Hard 1	
77	left	0	0.121	B1,o1	Con - Easy 1 & Hard 1	
78	right	0	0.274	B2,b2	Con - Easy 2 & Hard 2	
79	left	0	0.274	o1,B1	Con - Hard 1 & Easy 1	
80	right	0	0.038	B2,o2	Con - Easy 2 & Hard 2	
81	left	0	0.137	B1,b1	Con - Easy 1 & Hard 1	
82	right	0	0.054	B1,o1	Con - Easy 1 & Hard 1	
83	left	1	0.053	O1,B1	Exp - Easy 1 & Easy 1	
84	left	0	0.036	b1,B1	Con - Hard 1 & Easy 1	
85	right	0	0.036	B1,o1	Con - Easy 1 & Hard 1	
86	left	0	0.238	B1,b1	Con - Easy 1 & Hard 1	
87	right	0	0.419	B1,b1	Con - Easy 1 & Hard 1	
88	left	0	0.221	o2,B2	Con - Hard 2 & Easy 2	
89	right	0	0.089	o2,B2	Con - Hard 2 & Easy 2	
90	left	0	0.237	b1,B1	Con - Hard 1 & Easy 1	
91	right	0	0.219	B1,b1	Con - Easy 1 & Hard 1	
92	left	0	0.137	o1,B1	Con - Hard 1 & Easy 1	
93	right	0	0.220	B2,b2	Con - Easy 2 & Hard 2	
94	left	0	0.136	b2,B2	Con - Hard 2 & Easy 2	
95	right	0	0.119	o2,B2	Con - Hard 2 & Easy 2	
96	left	0	0.219	o1,b1	Exp - Hard 1 & Hard 1	
97	right	1	0.371	b2,b2	Exp - Hard 2 & Hard 2	
98	right	0	0.437	B1,B1	Exp - Easy 1 & Easy 1	
99	left	0	0.173	B2,B2	Exp - Easy 2 & Easy 2	
100	right	0	0.172	b2,B2	Con - Hard 2 & Easy 2	
101	left	0	0.154	B1,o1	Con - Easy 1 & Hard 1	
102	right	0	0.238	b2,B2	Con - Hard 2 & Easy 2	
103	left	0	0.119	B2,b2	Con - Easy 2 & Hard 2	
104	right	0	0.137	B1,B1	Exp - Easy 1 & Easy 1	
105	left	1	0.037	O1,B1	Exp - Easy 1 & Easy 1	
106	right	1	0.054	b2,b2	Exp - Hard 2 & Hard 2	
107	left	0	0.270	o2,B2	Con - Hard 2 & Easy 2	
108	right	1	0.136	B2,B2	Exp - Easy 2 & Easy 2	
109	left	0	0.187	O2,B2	Exp - Easy 2 & Easy 2	
110	right	0	0.154	B1,o1	Con - Easy 1 & Hard 1	
111	left	0	0.287	B2,o2	Con - Easy 2 & Hard 2	
112	right	0	0.153	B1,o1	Con - Easy 1 & Hard 1	
113	left	0	0.235	b1,B1	Con - Hard 1 & Easy 1	
114	right	0	0.120	B2,o2	Con - Easy 2 & Hard 2	
115	left	0	0.055	O2,B2	Exp - Easy 2 & Easy 2	
116	right	0	0.070	B1,B1	Exp - Easy 1 & Easy 1	
117	left	0	0.172	B1,b1	Con - Easy 1 & Hard 1	
118	right	1	0.172	O2,B2	Exp - Easy 2 & Easy 2	
119	left	0	0.121	o1,B1	Con - Hard 1 & Easy 1	
120	right	0	0.136	B1,B1	Exp - Easy 1 & Easy 1	
121	left	0	0.036	o2,B2	Con - Hard 2 & Easy 2	
122	left	0	0.239	B1,o1	Con - Easy 1 & Hard 1	
123	right	0	0.241	B1,b1	Con - Easy 1 & Hard 1	
124	left	1	0.221	o2,b2	Exp - Hard 2 & Hard 2	
125	right	0	0.140	b1,b1	Exp - Hard 1 & Hard 1	
126	right	0	0.187	b1,b1	Exp - Hard 1 & Hard 1	
127	left	0	0.321	b2,B2	Con - Hard 2 & Easy 2	
128	right	0	0.304	b1,b1	Exp - Hard 1 & Hard 1	
129	left	1	0.855	b1,b1	Exp - Hard 1 & Hard 1	
130	right	0	0.073	B1,B1	Exp - Easy 1 & Easy 1	
131	left	0	0.222	o1,B1	Con - Hard 1 & Easy 1	
132	right	0	0.208	B1,b1	Con - Easy 1 & Hard 1	
133	left	1	0.403	O1,B1	Exp - Easy 1 & Easy 1	
134	right	0	0.426	B1,b1	Con - Easy 1 & Hard 1	
135	left	0	0.370	B1,o1	Con - Easy 1 & Hard 1	
136	right	1	0.190	o1,b1	Exp - Hard 1 & Hard 1	
137	left	0	0.236	B2,b2	Con - Easy 2 & Hard 2	
138	right	1	0.090	b2,b2	Exp - Hard 2 & Hard 2	
139	left	0	0.137	b2,b2	Exp - Hard 2 & Hard 2	
140	right	0	0.204	B1,b1	Con - Easy 1 & Hard 1	
141	left	0	0.287	O2,B2	Exp - Easy 2 & Easy 2	
142	right	1	0.223	B2,B2	Exp - Easy 2 & Easy 2	
143	right	1	0.289	o1,b1	Exp - Hard 1 & Hard 1	
144	left	0	0.071	B2,o2	Con - Easy 2 & Hard 2	
145	right	0	0.288	O1,B1	Exp - Easy 1 & Easy 1	
146	left	1	0.170	b1,b1	Exp - Hard 1 & Hard 1	
147	right	1	0.239	o1,b1	Exp - Hard 1 & Hard 1	
148	left	0	0.105	o1,B1	Con - Hard 1 & Easy 1	
149	right	0	0.156	B1,o1	Con - Easy 1 & Hard 1	
150	left	1	0.220	b1,b1	Exp - Hard 1 & Hard 1	
151	right	0	0.288	b1,B1	Con - Hard 1 & Easy 1	
152	left	0	0.192	B1,o1	Con - Easy 1 & Hard 1	
153	right	0	0.120	o2,B2	Con - Hard 2 & Easy 2	
154	right	0	0.405	o2,b2	Exp - Hard 2 & Hard 2	
155	left	0	0.417	B2,o2	Con - Easy 2 & Hard 2	
156	right	0	0.053	B1,B1	Exp - Easy 1 & Easy 1	
157	left	0	0.037	b2,B2	Con - Hard 2 & Easy 2	
158	right	0	0.254	B1,B1	Exp - Easy 1 & Easy 1	
159	left	0	0.170	B1,o1	Con - Easy 1 & Hard 1	
160	right	0	0.153	B2,b2	Con - Easy 2 & Hard 2	
161	left	1	0.053	O1,B1	Exp - Easy 1 & Easy 1	
162	right	1	0.121	B2,B2	Exp - Easy 2 & Easy 2	
163	left	0	0.150	B2,b2	Con - Easy 2 & Hard 2	
164	right	0	0.052	o2,b2	Exp - Hard 2 & Hard 2	
165	left	1	0.106	b1,b1	Exp - Hard 1 & Hard 1	
166	right	0	0.013	B2,o2	Con - Easy 2 & Hard 2	
167	right	0	0.188	o2,b2	Exp - Hard 2 & Hard 2	
168	left	0	0.070	B2,b2	Con - Easy 2 & Hard 2	
169	right	0	0.121	b2,B2	Con - Hard 2 & Easy 2	
170	left	1	0.054	O1,B1	Exp - Easy 1 & Easy 1	
171	right	0	0.153	b1,B1	Con - Hard 1 & Easy 1	
172	left	1	0.237	b1,b1	Exp - Hard 1 & Hard 1	
173	right	0	0.036	B2,b2	Con - Easy 2 & Hard 2	
174	left	0	0.175	B2,B2	Exp - Easy 2 & Easy 2	
175	right	0	0.036	o1,B1	Con - Hard 1 & Easy 1	
176	left	0	0.358	o1,B1	Con - Hard 1 & Easy 1	
177	right	0	0.086	o2,b2	Exp - Hard 2 & Hard 2	
178	right	0	0.053	o1,B1	Con - Hard 1 & Easy 1	
179	left	1	0.121	b1,b1	Exp - Hard 1 & Hard 1	
180	right	0	0.188	B1,B1	Exp - Easy 1 & Easy 1	
181	left	1	0.069	O1,B1	Exp - Easy 1 & Easy 1	
182	right	0	0.120	O1,B1	Exp - Easy 1 & Easy 1	
183	right	0	0.069	b1,b1	Exp - Hard 1 & Hard 1	
184	right	0	0.242	B2,b2	Con - Easy 2 & Hard 2	
185	left	0	0.204	B1,o1	Con - Easy 1 & Hard 1	
186	right	0	0.037	B2,o2	Con - Easy 2 & Hard 2	
187	left	1	0.013	b1,b1	Exp - Hard 1 & Hard 1	
188	right	0	0.284	b2,B2	Con - Hard 2 & Easy 2	
189	left	1	0.119	o2,b2	Exp - Hard 2 & Hard 2	
190	right	0	0.253	b2,B2	Con - Hard 2 & Easy 2	
191	left	0	0.154	B2,o2	Con - Easy 2 & Hard 2	
192	right	0	0.137	o2,b2	Exp - Hard 2 & Hard 2	
193	left	1	0.038	O1,B1	Exp - Easy 1 & Easy 1	
194	right	1	0.235	B2,B2	Exp - Easy 2 & Easy 2	
195	left	0	0.185	B2,b2	Con - Easy 2 & Hard 2	
196	right	0	0.013	o2,B2	Con - Hard 2 & Easy 2	
197	left	0	0.185	b2,b2	Exp - Hard 2 & Hard 2	
198	right	0	0.106	o1,B1	Con - Hard 1 & Easy 1	
199	left	0	0.070	B2,o2	Con - Easy 2 & Hard 2	
200	right	1	0.136	b2,b2	Exp - Hard 2 & Hard 2	
201	left	0	0.168	b2,b2	Exp - Hard 2 & Hard 2	
202	right	1	0.121	B2,B2	Exp - Easy 2 & Easy 2	
203	left	1	0.053	O1,B1	Exp - Easy 1 & Easy 1	
204	right	1	0.235	b2,b2	Exp - Hard 2 & Hard 2	
205	left	1	0.087	o2,b2	Exp - Hard 2 & Hard 2	
206	right	0	0.035	b1,B1	Con - Hard 1 & Easy 1	
