Trial Number, Response, Correct/Incorrect(1/0), RT, Condition, Difficulty, Colour Order (Single Grids Only)
63	right	0	4.258	o1,O1	Con - Easy 1 & Hard 1	
64	right	1	4.539	O1,b1	Con - Hard 1 & Easy 1	
65	right	1	1.086	O1,b1	Con - Hard 1 & Easy 1	
66	left	1	1.578	O1,o1	Con - Hard 1 & Easy 1	
67	right	1	9.179	b1,o1	Exp - Hard 1 & Hard 1	
68	left	0	1.578	b1,O1	Con - Easy 1 & Hard 1	
69	right	1	0.786	b1,O1	Con - Easy 1 & Hard 1	
70	left	1	2.209	O1,o1	Con - Hard 1 & Easy 1	
71	left	1	3.014	O1,o1	Con - Hard 1 & Easy 1	
72	right	1	0.821	O1,b1	Con - Hard 1 & Easy 1	
73	right	1	3.414	O1,b1	Con - Hard 1 & Easy 1	
74	right	1	0.975	b1,o1	Exp - Hard 1 & Hard 1	
75	right	1	4.277	b1,O1	Con - Easy 1 & Hard 1	
76	left	1	0.784	O1,O1	Exp - Easy 1 & Easy 1	
77	right	0	0.840	o1,o1	Exp - Hard 1 & Hard 1	
78	right	0	2.798	o1,o1	Exp - Hard 1 & Hard 1	
79	left	1	1.137	o1,O1	Con - Easy 1 & Hard 1	
80	left	0	0.787	b1,O1	Con - Easy 1 & Hard 1	
81	right	1	0.737	B1,O1	Exp - Easy 1 & Easy 1	
82	right	1	4.356	o1,b1	Con - Easy 1 & Hard 1	
83	right	1	0.747	B1,O1	Exp - Easy 1 & Easy 1	
84	left	1	1.011	o1,o1	Exp - Hard 1 & Hard 1	
85	left	0	1.197	O1,b1	Con - Hard 1 & Easy 1	
86	left	0	1.853	b1,O1	Con - Easy 1 & Hard 1	
87	right	1	2.007	o1,b1	Con - Easy 1 & Hard 1	
88	left	1	1.040	O1,O1	Exp - Easy 1 & Easy 1	
89	right	1	1.128	b1,O1	Con - Easy 1 & Hard 1	
90	right	0	2.911	o1,O1	Con - Easy 1 & Hard 1	
91	right	1	1.802	B1,O1	Exp - Easy 1 & Easy 1	
92	left	1	0.707	O1,O1	Exp - Easy 1 & Easy 1	
93	left	0	1.782	O1,b1	Con - Hard 1 & Easy 1	
94	left	1	1.177	O1,o1	Con - Hard 1 & Easy 1	
95	right	1	3.684	O1,b1	Con - Hard 1 & Easy 1	
96	right	1	0.846	B1,O1	Exp - Easy 1 & Easy 1	
97	right	0	3.255	o1,o1	Exp - Hard 1 & Hard 1	
98	left	1	1.647	o1,o1	Exp - Hard 1 & Hard 1	
99	left	1	1.009	O1,O1	Exp - Easy 1 & Easy 1	
100	right	1	1.125	b1,o1	Exp - Hard 1 & Hard 1	
101	left	1	0.976	O1,o1	Con - Hard 1 & Easy 1	
102	right	0	3.081	o1,O1	Con - Easy 1 & Hard 1	
103	right	1	0.779	B1,O1	Exp - Easy 1 & Easy 1	
104	right	0	0.983	O1,o1	Con - Hard 1 & Easy 1	
105	right	1	3.350	O1,b1	Con - Hard 1 & Easy 1	
106	left	0	1.426	b1,O1	Con - Easy 1 & Hard 1	
107	right	1	4.599	O1,b1	Con - Hard 1 & Easy 1	
108	right	0	2.503	O1,o1	Con - Hard 1 & Easy 1	
109	right	1	1.912	O1,b1	Con - Hard 1 & Easy 1	
110	right	1	0.853	B1,O1	Exp - Easy 1 & Easy 1	
111	right	1	3.251	b1,o1	Exp - Hard 1 & Hard 1	
112	right	1	0.858	O1,b1	Con - Hard 1 & Easy 1	
113	left	1	5.755	o1,O1	Con - Easy 1 & Hard 1	
114	right	0	4.213	o1,o1	Exp - Hard 1 & Hard 1	
115	right	0	2.506	O1,o1	Con - Hard 1 & Easy 1	
116	right	1	1.471	B1,O1	Exp - Easy 1 & Easy 1	
117	left	1	1.078	O1,O1	Exp - Easy 1 & Easy 1	
118	right	1	2.463	O1,b1	Con - Hard 1 & Easy 1	
119	left	1	0.729	O1,o1	Con - Hard 1 & Easy 1	
120	right	0	2.498	O1,o1	Con - Hard 1 & Easy 1	
121	left	1	0.629	O1,O1	Exp - Easy 1 & Easy 1	
122	left	1	0.590	O1,O1	Exp - Easy 1 & Easy 1	
123	right	1	0.770	B1,O1	Exp - Easy 1 & Easy 1	
124	right	1	0.855	b1,O1	Con - Easy 1 & Hard 1	
125	left	0	1.698	O1,b1	Con - Hard 1 & Easy 1	
126	right	1	0.797	O1,b1	Con - Hard 1 & Easy 1	
127	right	1	1.329	O1,b1	Con - Hard 1 & Easy 1	
128	right	1	1.009	O1,b1	Con - Hard 1 & Easy 1	
129	left	1	1.589	o1,o1	Exp - Hard 1 & Hard 1	
130	left	1	0.682	O1,O1	Exp - Easy 1 & Easy 1	
131	right	1	1.547	b1,o1	Exp - Hard 1 & Hard 1	
132	right	1	2.972	o1,b1	Con - Easy 1 & Hard 1	
133	left	0	1.330	b1,O1	Con - Easy 1 & Hard 1	
134	right	0	0.783	o1,o1	Exp - Hard 1 & Hard 1	
135	left	1	0.683	O1,O1	Exp - Easy 1 & Easy 1	
136	right	1	0.642	B1,O1	Exp - Easy 1 & Easy 1	
137	left	1	0.653	O1,O1	Exp - Easy 1 & Easy 1	
138	right	0	0.753	o1,o1	Exp - Hard 1 & Hard 1	
139	right	1	0.730	B1,O1	Exp - Easy 1 & Easy 1	
140	right	0	3.398	o1,o1	Exp - Hard 1 & Hard 1	
141	right	0	0.827	O1,o1	Con - Hard 1 & Easy 1	
142	right	0	1.002	O1,o1	Con - Hard 1 & Easy 1	
143	left	1	1.088	O1,O1	Exp - Easy 1 & Easy 1	
144	right	1	3.475	o1,b1	Con - Easy 1 & Hard 1	
145	left	1	1.151	o1,O1	Con - Easy 1 & Hard 1	
146	left	1	1.403	O1,o1	Con - Hard 1 & Easy 1	
147	right	0	1.732	o1,O1	Con - Easy 1 & Hard 1	
148	right	0	0.788	o1,o1	Exp - Hard 1 & Hard 1	
149	right	1	0.695	B1,O1	Exp - Easy 1 & Easy 1	
150	left	1	0.625	O1,O1	Exp - Easy 1 & Easy 1	
151	right	0	1.008	O1,o1	Con - Hard 1 & Easy 1	
152	right	1	1.054	b1,O1	Con - Easy 1 & Hard 1	
153	right	0	1.165	o1,o1	Exp - Hard 1 & Hard 1	
154	right	1	0.672	B1,O1	Exp - Easy 1 & Easy 1	
155	right	1	0.704	b1,O1	Con - Easy 1 & Hard 1	
156	right	1	3.068	O1,b1	Con - Hard 1 & Easy 1	
157	right	0	2.135	O1,o1	Con - Hard 1 & Easy 1	
158	right	1	2.746	o1,b1	Con - Easy 1 & Hard 1	
159	left	1	0.736	O1,O1	Exp - Easy 1 & Easy 1	
160	left	1	0.637	O1,O1	Exp - Easy 1 & Easy 1	
161	right	1	1.170	o1,b1	Con - Easy 1 & Hard 1	
162	left	1	0.777	O1,o1	Con - Hard 1 & Easy 1	
163	left	0	1.118	O1,b1	Con - Hard 1 & Easy 1	
164	left	1	0.528	O1,O1	Exp - Easy 1 & Easy 1	
165	left	1	1.927	o1,o1	Exp - Hard 1 & Hard 1	
166	right	1	3.718	b1,o1	Exp - Hard 1 & Hard 1	
167	left	0	1.759	O1,b1	Con - Hard 1 & Easy 1	
168	right	1	0.760	B1,O1	Exp - Easy 1 & Easy 1	
169	right	0	1.295	o1,o1	Exp - Hard 1 & Hard 1	
170	left	1	0.525	O1,O1	Exp - Easy 1 & Easy 1	
171	left	1	0.501	O1,O1	Exp - Easy 1 & Easy 1	
172	right	1	1.087	b1,o1	Exp - Hard 1 & Hard 1	
173	right	1	1.257	o1,b1	Con - Easy 1 & Hard 1	
174	left	1	0.480	O1,o1	Con - Hard 1 & Easy 1	
175	left	1	0.731	O1,o1	Con - Hard 1 & Easy 1	
176	right	0	1.765	o1,O1	Con - Easy 1 & Hard 1	
177	right	0	1.632	o1,O1	Con - Easy 1 & Hard 1	
178	right	0	2.783	o1,O1	Con - Easy 1 & Hard 1	
179	left	1	2.380	o1,o1	Exp - Hard 1 & Hard 1	
180	right	1	2.570	b1,O1	Con - Easy 1 & Hard 1	
181	right	0	0.749	o1,O1	Con - Easy 1 & Hard 1	
182	right	1	0.796	o1,b1	Con - Easy 1 & Hard 1	
183	right	1	3.301	b1,o1	Exp - Hard 1 & Hard 1	
184	right	0	6.206	o1,O1	Con - Easy 1 & Hard 1	
185	right	0	0.724	o1,o1	Exp - Hard 1 & Hard 1	
186	left	0	0.460	O1,b1	Con - Hard 1 & Easy 1	
187	right	1	0.727	B1,O1	Exp - Easy 1 & Easy 1	
188	right	1	1.987	b1,O1	Con - Easy 1 & Hard 1	
189	left	1	0.895	O1,O1	Exp - Easy 1 & Easy 1	
190	right	1	6.167	o1,b1	Con - Easy 1 & Hard 1	
191	right	1	0.773	B1,O1	Exp - Easy 1 & Easy 1	
192	left	1	1.368	O1,O1	Exp - Easy 1 & Easy 1	
193	right	0	3.628	o1,o1	Exp - Hard 1 & Hard 1	
194	right	1	1.079	B1,O1	Exp - Easy 1 & Easy 1	
195	right	1	0.949	O1,b1	Con - Hard 1 & Easy 1	
196	left	1	3.528	o1,O1	Con - Easy 1 & Hard 1	
197	left	1	2.363	O1,o1	Con - Hard 1 & Easy 1	
198	right	1	0.596	B1,O1	Exp - Easy 1 & Easy 1	
199	right	0	0.721	O1,o1	Con - Hard 1 & Easy 1	
200	right	1	0.804	B1,O1	Exp - Easy 1 & Easy 1	
201	right	0	4.026	o1,O1	Con - Easy 1 & Hard 1	
1	right	0	2.620	b,o	Exp - Hard 1	1	
2	right	1	0.962	o,b	Exp - Hard 1	1	
3	left	1	0.520	b,o	Exp - Hard 1	1	
4	left	0	1.174	o,b	Exp - Hard 1	1	
5	left	1	0.724	b,o	Exp - Hard 1	1	
6	right	1	1.625	o,b	Exp - Hard 1	1	
7	right	1	1.735	o,b	Exp - Hard 1	1	
8	right	0	2.000	b,o	Exp - Hard 1	1	
9	right	1	1.983	O,b	Con - Easy 1	1	
10	right	0	3.516	b,o	Exp - Hard 1	1	
11	left	1	0.831	B,o	Con - Easy 1	1	
12	left	1	0.364	B,o	Con - Easy 1	1	
13	left	1	0.358	b,o	Exp - Hard 1	1	
14	right	1	0.615	O,b	Con - Easy 1	1	
15	right	0	1.474	b,o	Exp - Hard 1	1	
16	left	0	0.521	O,b	Con - Easy 1	1	
17	right	0	1.556	b,o	Exp - Hard 1	1	
18	left	1	0.508	B,o	Con - Easy 1	1	
19	right	1	0.630	O,b	Con - Easy 1	1	
20	left	1	0.469	B,o	Con - Easy 1	1	
21	left	1	0.437	B,o	Con - Easy 1	1	
22	right	1	0.547	O,b	Con - Easy 1	1	
23	left	1	0.353	B,o	Con - Easy 1	1	
24	left	1	0.353	B,o	Con - Easy 1	1	
25	right	1	0.500	O,b	Con - Easy 1	1	
26	right	1	0.683	o,b	Exp - Hard 1	1	
27	right	1	0.410	O,b	Con - Easy 1	1	
