Trial Number, Response, Correct/Incorrect(1/0), RT, Condition, Difficulty, Colour Order (Single Grids Only)
141	left	1	0.648	B1,B1	Exp - Easy 1 & Easy 1	
142	right	0	0.976	b1,b1	Exp - Hard 1 & Hard 1	
143	right	0	1.194	B1,b1	Con - Easy 1 & Hard 1	
144	left	1	0.720	B1,B1	Exp - Easy 1 & Easy 1	
145	right	0	1.554	b1,B1	Con - Hard 1 & Easy 1	
146	left	1	0.608	B1,B1	Exp - Easy 1 & Easy 1	
147	right	1	0.802	B1,o1	Con - Easy 1 & Hard 1	
148	right	0	2.912	b1,b1	Exp - Hard 1 & Hard 1	
149	right	1	1.367	o1,b1	Exp - Hard 1 & Hard 1	
150	left	0	0.712	B1,o1	Con - Easy 1 & Hard 1	
151	right	1	0.863	o1,b1	Exp - Hard 1 & Hard 1	
152	right	1	0.926	B1,o1	Con - Easy 1 & Hard 1	
153	right	0	0.784	b1,b1	Exp - Hard 1 & Hard 1	
154	left	1	0.950	b1,B1	Con - Hard 1 & Easy 1	
155	left	0	0.422	o1,B1	Con - Hard 1 & Easy 1	
156	right	0	0.782	b1,b1	Exp - Hard 1 & Hard 1	
157	right	1	3.468	o1,B1	Con - Hard 1 & Easy 1	
158	right	1	0.813	O1,B1	Exp - Easy 1 & Easy 1	
159	right	1	0.926	B1,o1	Con - Easy 1 & Hard 1	
160	right	1	0.617	o1,B1	Con - Hard 1 & Easy 1	
161	right	1	1.018	B1,o1	Con - Easy 1 & Hard 1	
162	left	1	0.938	B1,B1	Exp - Easy 1 & Easy 1	
163	right	1	1.351	o1,B1	Con - Hard 1 & Easy 1	
164	right	0	0.877	B1,b1	Con - Easy 1 & Hard 1	
165	right	1	0.637	O1,B1	Exp - Easy 1 & Easy 1	
166	right	1	0.617	b1,o1	Con - Easy 1 & Hard 1	
167	right	1	0.861	B1,o1	Con - Easy 1 & Hard 1	
168	right	0	0.675	B1,b1	Con - Easy 1 & Hard 1	
169	left	0	1.831	o1,b1	Exp - Hard 1 & Hard 1	
170	right	0	0.838	b1,b1	Exp - Hard 1 & Hard 1	
171	left	1	5.773	b1,B1	Con - Hard 1 & Easy 1	
172	right	1	0.486	o1,B1	Con - Hard 1 & Easy 1	
173	right	0	4.903	b1,b1	Exp - Hard 1 & Hard 1	
174	left	0	1.577	o1,B1	Con - Hard 1 & Easy 1	
175	left	1	0.947	B1,B1	Exp - Easy 1 & Easy 1	
176	left	1	5.248	b1,b1	Exp - Hard 1 & Hard 1	
177	left	1	0.902	B1,b1	Con - Easy 1 & Hard 1	
178	right	0	1.316	b1,b1	Exp - Hard 1 & Hard 1	
179	right	1	0.578	O1,B1	Exp - Easy 1 & Easy 1	
180	left	1	0.730	B1,b1	Con - Easy 1 & Hard 1	
181	right	1	3.348	o1,B1	Con - Hard 1 & Easy 1	
182	right	0	0.811	b1,b1	Exp - Hard 1 & Hard 1	
183	right	1	0.757	o1,B1	Con - Hard 1 & Easy 1	
184	right	0	0.610	b1,b1	Exp - Hard 1 & Hard 1	
185	right	0	0.913	B1,b1	Con - Easy 1 & Hard 1	
186	left	1	0.654	B1,B1	Exp - Easy 1 & Easy 1	
187	left	1	0.643	B1,B1	Exp - Easy 1 & Easy 1	
188	left	0	0.689	b1,o1	Con - Easy 1 & Hard 1	
189	left	0	0.464	b1,o1	Con - Easy 1 & Hard 1	
190	left	0	0.864	b1,o1	Con - Easy 1 & Hard 1	
191	right	1	0.863	o1,b1	Exp - Hard 1 & Hard 1	
192	right	1	0.957	o1,B1	Con - Hard 1 & Easy 1	
193	right	0	0.752	b1,b1	Exp - Hard 1 & Hard 1	
194	right	1	0.699	O1,B1	Exp - Easy 1 & Easy 1	
195	right	0	0.712	b1,B1	Con - Hard 1 & Easy 1	
196	right	1	1.479	B1,o1	Con - Easy 1 & Hard 1	
197	right	0	5.000	B1,b1	Con - Easy 1 & Hard 1	
198	left	1	1.059	B1,b1	Con - Easy 1 & Hard 1	
199	right	0	0.546	b1,b1	Exp - Hard 1 & Hard 1	
200	right	1	0.701	o1,B1	Con - Hard 1 & Easy 1	
201	right	0	1.002	B1,b1	Con - Easy 1 & Hard 1	
