Trial Number, Response, Correct/Incorrect(1/0), RT, Condition, Difficulty, Colour Order (Single Grids Only)
1	right	1	0.745	O,b	Con - Easy 1	1	
3	left	1	1.326	B1,B1	Exp - Easy 1 & Easy 1	
4	right	1	0.765	O1,B1	Exp - Easy 1 & Easy 1	
5	left	1	2.552	B1,b1	Con - Easy 1 & Hard 1	
6	left	1	0.892	B1,B1	Exp - Easy 1 & Easy 1	
7	right	0	2.322	b1,b1	Exp - Hard 1 & Hard 1	
8	right	1	1.496	o1,B1	Con - Hard 1 & Easy 1	
9	right	0	1.499	b1,b1	Exp - Hard 1 & Hard 1	
10	right	1	1.950	o1,b1	Exp - Hard 1 & Hard 1	
11	left	1	1.251	B1,b1	Con - Easy 1 & Hard 1	
12	right	1	1.503	B1,o1	Con - Easy 1 & Hard 1	
13	right	1	1.872	o1,b1	Exp - Hard 1 & Hard 1	
14	right	1	0.834	O1,B1	Exp - Easy 1 & Easy 1	
15	left	1	0.974	B1,B1	Exp - Easy 1 & Easy 1	
16	right	1	1.343	B1,o1	Con - Easy 1 & Hard 1	
17	right	0	2.601	b1,B1	Con - Hard 1 & Easy 1	
18	right	1	1.695	o1,b1	Exp - Hard 1 & Hard 1	
19	right	1	0.810	O1,B1	Exp - Easy 1 & Easy 1	
20	left	1	1.633	B1,b1	Con - Easy 1 & Hard 1	
21	right	1	1.229	B1,o1	Con - Easy 1 & Hard 1	
22	right	1	2.082	o1,B1	Con - Hard 1 & Easy 1	
23	right	1	0.789	O1,B1	Exp - Easy 1 & Easy 1	
24	left	1	2.996	b1,b1	Exp - Hard 1 & Hard 1	
25	right	1	0.780	O1,B1	Exp - Easy 1 & Easy 1	
26	right	1	1.552	o1,b1	Exp - Hard 1 & Hard 1	
27	right	1	1.608	o1,b1	Exp - Hard 1 & Hard 1	
28	right	1	1.268	o1,b1	Exp - Hard 1 & Hard 1	
29	right	0	1.972	b1,b1	Exp - Hard 1 & Hard 1	
30	left	1	1.807	b1,B1	Con - Hard 1 & Easy 1	
31	left	1	1.031	B1,B1	Exp - Easy 1 & Easy 1	
32	left	1	2.518	b1,b1	Exp - Hard 1 & Hard 1	
33	left	1	1.856	b1,B1	Con - Hard 1 & Easy 1	
34	right	1	1.016	o1,b1	Exp - Hard 1 & Hard 1	
35	right	1	2.169	o1,B1	Con - Hard 1 & Easy 1	
36	right	1	2.150	B1,o1	Con - Easy 1 & Hard 1	
37	right	1	1.696	o1,b1	Exp - Hard 1 & Hard 1	
38	left	1	0.862	B1,B1	Exp - Easy 1 & Easy 1	
39	right	0	2.373	b1,b1	Exp - Hard 1 & Hard 1	
40	right	1	1.201	O1,B1	Exp - Easy 1 & Easy 1	
41	right	1	2.016	o1,b1	Exp - Hard 1 & Hard 1	
42	right	0	2.488	b1,b1	Exp - Hard 1 & Hard 1	
43	right	1	2.373	o1,B1	Con - Hard 1 & Easy 1	
44	right	1	1.783	O1,B1	Exp - Easy 1 & Easy 1	
45	right	1	1.472	B1,o1	Con - Easy 1 & Hard 1	
46	left	1	2.075	B1,b1	Con - Easy 1 & Hard 1	
47	left	1	1.632	b1,b1	Exp - Hard 1 & Hard 1	
48	right	1	1.578	o1,b1	Exp - Hard 1 & Hard 1	
49	right	1	1.301	O1,B1	Exp - Easy 1 & Easy 1	
50	right	0	4.857	b1,B1	Con - Hard 1 & Easy 1	
51	right	1	1.118	o1,b1	Exp - Hard 1 & Hard 1	
52	right	1	0.747	O1,B1	Exp - Easy 1 & Easy 1	
53	right	1	0.898	O1,B1	Exp - Easy 1 & Easy 1	
54	right	1	0.745	O1,B1	Exp - Easy 1 & Easy 1	
55	right	1	1.331	o1,B1	Con - Hard 1 & Easy 1	
56	right	1	1.454	B1,o1	Con - Easy 1 & Hard 1	
57	right	0	2.253	b1,b1	Exp - Hard 1 & Hard 1	
58	right	1	1.241	B1,o1	Con - Easy 1 & Hard 1	
59	right	1	1.359	o1,B1	Con - Hard 1 & Easy 1	
60	right	0	2.135	b1,B1	Con - Hard 1 & Easy 1	
61	right	0	4.335	b1,B1	Con - Hard 1 & Easy 1	
62	right	1	1.140	o1,b1	Exp - Hard 1 & Hard 1	
63	left	1	2.851	b1,b1	Exp - Hard 1 & Hard 1	
64	left	1	1.061	B1,B1	Exp - Easy 1 & Easy 1	
65	right	0	1.920	b1,B1	Con - Hard 1 & Easy 1	
66	right	0	1.898	b1,B1	Con - Hard 1 & Easy 1	
67	left	1	0.961	B1,B1	Exp - Easy 1 & Easy 1	
68	right	1	1.095	B1,o1	Con - Easy 1 & Hard 1	
69	right	0	2.405	b1,B1	Con - Hard 1 & Easy 1	
70	right	1	1.002	O1,B1	Exp - Easy 1 & Easy 1	
71	right	1	1.286	B1,o1	Con - Easy 1 & Hard 1	
72	right	1	1.441	o1,B1	Con - Hard 1 & Easy 1	
73	right	0	1.374	b1,b1	Exp - Hard 1 & Hard 1	
74	right	1	1.185	B1,o1	Con - Easy 1 & Hard 1	
75	left	1	1.566	b1,B1	Con - Hard 1 & Easy 1	
76	right	1	1.440	o1,b1	Exp - Hard 1 & Hard 1	
77	right	1	1.373	o1,B1	Con - Hard 1 & Easy 1	
78	right	1	1.018	o1,b1	Exp - Hard 1 & Hard 1	
79	right	1	0.740	O1,B1	Exp - Easy 1 & Easy 1	
80	right	0	1.424	B1,b1	Con - Easy 1 & Hard 1	
81	right	1	1.491	o1,b1	Exp - Hard 1 & Hard 1	
82	right	1	0.826	O1,B1	Exp - Easy 1 & Easy 1	
83	right	0	1.584	b1,B1	Con - Hard 1 & Easy 1	
84	left	1	1.008	B1,B1	Exp - Easy 1 & Easy 1	
85	right	1	1.178	o1,b1	Exp - Hard 1 & Hard 1	
86	right	1	1.343	B1,o1	Con - Easy 1 & Hard 1	
87	right	0	3.101	b1,b1	Exp - Hard 1 & Hard 1	
88	right	1	0.812	O1,B1	Exp - Easy 1 & Easy 1	
89	right	1	1.686	o1,B1	Con - Hard 1 & Easy 1	
90	right	1	1.834	o1,B1	Con - Hard 1 & Easy 1	
91	left	1	1.792	B1,b1	Con - Easy 1 & Hard 1	
92	right	0	1.931	b1,B1	Con - Hard 1 & Easy 1	
93	left	1	2.112	b1,B1	Con - Hard 1 & Easy 1	
94	right	1	0.741	O1,B1	Exp - Easy 1 & Easy 1	
95	left	1	2.209	B1,b1	Con - Easy 1 & Hard 1	
96	right	1	1.676	o1,b1	Exp - Hard 1 & Hard 1	
97	right	1	1.374	o1,b1	Exp - Hard 1 & Hard 1	
98	right	1	0.968	o1,B1	Con - Hard 1 & Easy 1	
99	right	1	0.935	B1,o1	Con - Easy 1 & Hard 1	
100	right	1	2.617	o1,B1	Con - Hard 1 & Easy 1	
101	left	1	0.894	B1,B1	Exp - Easy 1 & Easy 1	
102	right	1	1.707	B1,o1	Con - Easy 1 & Hard 1	
103	right	1	1.024	O1,B1	Exp - Easy 1 & Easy 1	
104	right	1	2.429	o1,b1	Exp - Hard 1 & Hard 1	
105	left	1	0.811	B1,B1	Exp - Easy 1 & Easy 1	
106	left	1	1.400	B1,b1	Con - Easy 1 & Hard 1	
107	left	1	1.047	B1,B1	Exp - Easy 1 & Easy 1	
108	right	1	2.019	o1,B1	Con - Hard 1 & Easy 1	
109	left	1	1.423	B1,b1	Con - Easy 1 & Hard 1	
110	right	1	0.955	O1,B1	Exp - Easy 1 & Easy 1	
111	left	1	1.157	B1,B1	Exp - Easy 1 & Easy 1	
112	right	1	0.951	B1,o1	Con - Easy 1 & Hard 1	
113	right	0	1.335	b1,B1	Con - Hard 1 & Easy 1	
114	left	1	1.876	B1,b1	Con - Easy 1 & Hard 1	
115	right	0	1.405	B1,b1	Con - Easy 1 & Hard 1	
116	left	1	0.950	B1,B1	Exp - Easy 1 & Easy 1	
117	right	1	1.682	o1,B1	Con - Hard 1 & Easy 1	
118	left	1	1.564	b1,B1	Con - Hard 1 & Easy 1	
119	right	1	2.020	o1,B1	Con - Hard 1 & Easy 1	
120	right	1	0.725	O1,B1	Exp - Easy 1 & Easy 1	
121	right	1	1.443	o1,B1	Con - Hard 1 & Easy 1	
122	right	1	0.776	O1,B1	Exp - Easy 1 & Easy 1	
123	right	1	1.280	o1,b1	Exp - Hard 1 & Hard 1	
124	right	0	1.201	b1,b1	Exp - Hard 1 & Hard 1	
125	right	1	1.184	o1,b1	Exp - Hard 1 & Hard 1	
126	right	1	1.566	B1,o1	Con - Easy 1 & Hard 1	
127	right	1	0.658	O1,B1	Exp - Easy 1 & Easy 1	
128	right	1	1.169	B1,o1	Con - Easy 1 & Hard 1	
129	left	1	1.466	b1,B1	Con - Hard 1 & Easy 1	
130	right	1	0.717	O1,B1	Exp - Easy 1 & Easy 1	
131	right	0	2.700	B1,B1	Exp - Easy 1 & Easy 1	
132	left	1	0.883	b1,B1	Con - Hard 1 & Easy 1	
133	left	1	0.747	B1,B1	Exp - Easy 1 & Easy 1	
134	left	1	0.714	B1,B1	Exp - Easy 1 & Easy 1	
135	right	1	0.764	B1,o1	Con - Easy 1 & Hard 1	
136	right	0	0.901	B1,b1	Con - Easy 1 & Hard 1	
137	left	1	0.630	B1,B1	Exp - Easy 1 & Easy 1	
138	right	1	0.577	O1,B1	Exp - Easy 1 & Easy 1	
139	right	0	0.950	b1,B1	Con - Hard 1 & Easy 1	
140	right	1	0.866	o1,B1	Con - Hard 1 & Easy 1	
141	right	0	1.126	B1,b1	Con - Easy 1 & Hard 1	
142	right	1	0.822	B1,o1	Con - Easy 1 & Hard 1	
143	right	0	1.028	b1,b1	Exp - Hard 1 & Hard 1	
144	right	1	1.167	B1,o1	Con - Easy 1 & Hard 1	
145	right	0	0.998	b1,b1	Exp - Hard 1 & Hard 1	
146	right	0	0.815	B1,B1	Exp - Easy 1 & Easy 1	
147	right	1	0.673	B1,o1	Con - Easy 1 & Hard 1	
148	left	1	0.838	B1,B1	Exp - Easy 1 & Easy 1	
149	right	0	1.112	B1,b1	Con - Easy 1 & Hard 1	
150	right	0	1.439	b1,B1	Con - Hard 1 & Easy 1	
151	right	0	1.106	b1,B1	Con - Hard 1 & Easy 1	
152	right	0	1.148	B1,b1	Con - Easy 1 & Hard 1	
153	right	1	0.829	o1,b1	Exp - Hard 1 & Hard 1	
154	right	0	0.886	b1,B1	Con - Hard 1 & Easy 1	
155	right	1	0.764	o1,B1	Con - Hard 1 & Easy 1	
156	left	1	0.836	B1,B1	Exp - Easy 1 & Easy 1	
157	right	0	2.911	B1,b1	Con - Easy 1 & Hard 1	
158	left	1	0.873	B1,B1	Exp - Easy 1 & Easy 1	
159	right	0	1.184	b1,b1	Exp - Hard 1 & Hard 1	
160	left	1	1.251	B1,B1	Exp - Easy 1 & Easy 1	
161	right	0	1.102	b1,b1	Exp - Hard 1 & Hard 1	
162	left	0	1.978	B1,o1	Con - Easy 1 & Hard 1	
163	left	1	2.262	b1,B1	Con - Hard 1 & Easy 1	
164	right	1	1.033	B1,o1	Con - Easy 1 & Hard 1	
165	right	0	1.622	B1,b1	Con - Easy 1 & Hard 1	
166	right	0	1.432	b1,b1	Exp - Hard 1 & Hard 1	
167	left	1	1.547	B1,b1	Con - Easy 1 & Hard 1	
168	right	1	1.969	O1,B1	Exp - Easy 1 & Easy 1	
169	right	0	1.387	b1,b1	Exp - Hard 1 & Hard 1	
170	left	1	1.382	B1,b1	Con - Easy 1 & Hard 1	
171	right	1	1.162	o1,b1	Exp - Hard 1 & Hard 1	
172	right	1	0.891	O1,B1	Exp - Easy 1 & Easy 1	
173	right	0	1.452	b1,b1	Exp - Hard 1 & Hard 1	
174	right	0	1.152	b1,B1	Con - Hard 1 & Easy 1	
175	right	0	1.333	B1,b1	Con - Easy 1 & Hard 1	
176	right	1	0.973	o1,B1	Con - Hard 1 & Easy 1	
177	right	1	1.441	o1,B1	Con - Hard 1 & Easy 1	
178	left	1	0.858	B1,B1	Exp - Easy 1 & Easy 1	
179	right	1	0.884	o1,b1	Exp - Hard 1 & Hard 1	
180	left	1	0.879	B1,B1	Exp - Easy 1 & Easy 1	
181	right	0	1.159	b1,B1	Con - Hard 1 & Easy 1	
182	right	1	0.803	o1,b1	Exp - Hard 1 & Hard 1	
183	right	0	1.377	B1,b1	Con - Easy 1 & Hard 1	
184	left	1	0.788	B1,B1	Exp - Easy 1 & Easy 1	
185	left	1	1.294	B1,b1	Con - Easy 1 & Hard 1	
186	right	1	0.783	B1,o1	Con - Easy 1 & Hard 1	
187	right	0	1.240	B1,b1	Con - Easy 1 & Hard 1	
188	right	0	1.174	b1,b1	Exp - Hard 1 & Hard 1	
189	right	1	1.172	B1,o1	Con - Easy 1 & Hard 1	
190	right	1	1.588	o1,B1	Con - Hard 1 & Easy 1	
191	right	1	1.413	o1,B1	Con - Hard 1 & Easy 1	
192	right	1	0.959	o1,B1	Con - Hard 1 & Easy 1	
193	right	1	0.876	o1,B1	Con - Hard 1 & Easy 1	
194	left	1	1.986	B1,b1	Con - Easy 1 & Hard 1	
195	right	1	0.907	o1,B1	Con - Hard 1 & Easy 1	
196	right	0	4.184	b1,b1	Exp - Hard 1 & Hard 1	
197	right	0	1.617	b1,B1	Con - Hard 1 & Easy 1	
198	right	0	2.178	b1,b1	Exp - Hard 1 & Hard 1	
199	right	0	1.193	b1,b1	Exp - Hard 1 & Hard 1	
200	left	1	2.108	B1,b1	Con - Easy 1 & Hard 1	
1	left	1	2.555	o,b	Exp - Hard 1	2	
2	left	1	0.662	O,b	Con - Easy 1	2	
3	right	1	0.576	b,o	Exp - Hard 1	2	
4	left	1	1.015	o,b	Exp - Hard 1	2	
5	left	1	0.586	O,b	Con - Easy 1	2	
6	right	1	0.894	b,o	Exp - Hard 1	2	
7	right	1	0.991	b,o	Exp - Hard 1	2	
8	left	1	0.660	O,b	Con - Easy 1	2	
9	right	1	0.592	B,o	Con - Easy 1	2	
10	right	0	1.615	o,b	Exp - Hard 1	2	
11	right	1	1.043	b,o	Exp - Hard 1	2	
12	left	1	0.582	O,b	Con - Easy 1	2	
13	right	1	0.524	B,o	Con - Easy 1	2	
14	left	1	0.611	O,b	Con - Easy 1	2	
15	left	1	1.205	O,b	Con - Easy 1	2	
16	right	1	1.205	b,o	Exp - Hard 1	2	
17	right	1	3.139	B,o	Con - Easy 1	2	
18	right	1	0.701	B,o	Con - Easy 1	2	
19	left	1	0.684	O,b	Con - Easy 1	2	
20	right	0	1.666	o,b	Exp - Hard 1	2	
21	left	1	0.729	O,b	Con - Easy 1	2	
22	left	0	0.831	B,o	Con - Easy 1	2	
23	right	1	0.622	B,o	Con - Easy 1	2	
24	right	1	0.584	B,o	Con - Easy 1	2	
25	right	1	2.375	b,o	Exp - Hard 1	2	
26	right	0	0.936	o,b	Exp - Hard 1	2	
27	left	1	1.300	o,b	Exp - Hard 1	2	
28	right	1	1.158	b,o	Exp - Hard 1	2	
29	right	0	3.336	o,b	Exp - Hard 1	2	
30	right	1	2.629	b,o	Exp - Hard 1	2	
31	right	1	0.974	B,o	Con - Easy 1	2	
32	left	1	1.175	o,b	Exp - Hard 1	2	
33	right	0	1.158	o,b	Exp - Hard 1	2	
34	right	1	2.203	b,o	Exp - Hard 1	2	
35	left	1	1.203	o,b	Exp - Hard 1	2	
36	left	1	0.635	O,b	Con - Easy 1	2	
37	right	1	1.047	b,o	Exp - Hard 1	2	
38	left	0	0.686	B,o	Con - Easy 1	2	
39	right	1	0.634	B,o	Con - Easy 1	2	
40	left	1	0.562	O,b	Con - Easy 1	2	
1	left	1	1.791	o1,O1	Con - Hard 1 & Easy 1	
2	left	0	1.190	O1,b1	Con - Easy 1 & Hard 1	
3	left	1	1.056	o1,o1	Exp - Hard 1 & Hard 1	
4	left	0	0.997	O1,b1	Con - Easy 1 & Hard 1	
5	left	1	0.765	O1,O1	Exp - Easy 1 & Easy 1	
6	left	0	0.920	O1,b1	Con - Easy 1 & Hard 1	
7	left	1	1.032	o1,O1	Con - Hard 1 & Easy 1	
8	right	1	0.736	B1,O1	Exp - Easy 1 & Easy 1	
9	left	1	1.006	O1,o1	Con - Easy 1 & Hard 1	
10	right	1	1.042	B1,O1	Exp - Easy 1 & Easy 1	
11	right	0	1.749	o1,o1	Exp - Hard 1 & Hard 1	
12	left	0	1.668	b1,o1	Exp - Hard 1 & Hard 1	
13	left	0	1.381	O1,b1	Con - Easy 1 & Hard 1	
14	left	1	1.059	O1,O1	Exp - Easy 1 & Easy 1	
15	left	1	1.349	o1,o1	Exp - Hard 1 & Hard 1	
16	left	1	1.109	o1,O1	Con - Hard 1 & Easy 1	
17	left	1	0.885	O1,O1	Exp - Easy 1 & Easy 1	
18	left	1	2.297	o1,o1	Exp - Hard 1 & Hard 1	
19	left	1	0.886	o1,o1	Exp - Hard 1 & Hard 1	
20	left	0	1.314	O1,b1	Con - Easy 1 & Hard 1	
21	left	1	1.089	o1,O1	Con - Hard 1 & Easy 1	
22	left	0	1.315	b1,O1	Con - Hard 1 & Easy 1	
23	left	1	1.272	o1,O1	Con - Hard 1 & Easy 1	
24	right	1	1.226	B1,O1	Exp - Easy 1 & Easy 1	
25	left	1	0.811	O1,O1	Exp - Easy 1 & Easy 1	
26	left	1	4.284	O1,o1	Con - Easy 1 & Hard 1	
27	right	1	0.658	B1,O1	Exp - Easy 1 & Easy 1	
28	right	1	0.869	B1,O1	Exp - Easy 1 & Easy 1	
29	left	1	1.364	O1,o1	Con - Easy 1 & Hard 1	
30	left	1	1.457	o1,o1	Exp - Hard 1 & Hard 1	
31	right	1	0.791	B1,O1	Exp - Easy 1 & Easy 1	
32	left	0	1.647	b1,O1	Con - Hard 1 & Easy 1	
33	right	1	0.843	B1,O1	Exp - Easy 1 & Easy 1	
34	left	0	2.718	O1,b1	Con - Easy 1 & Hard 1	
35	left	1	1.052	o1,O1	Con - Hard 1 & Easy 1	
36	right	1	0.709	B1,O1	Exp - Easy 1 & Easy 1	
37	left	1	1.726	o1,O1	Con - Hard 1 & Easy 1	
38	left	1	1.078	o1,O1	Con - Hard 1 & Easy 1	
39	left	1	1.301	o1,o1	Exp - Hard 1 & Hard 1	
40	left	1	1.558	O1,o1	Con - Easy 1 & Hard 1	
41	right	1	1.598	b1,O1	Con - Hard 1 & Easy 1	
42	right	1	3.208	O1,b1	Con - Easy 1 & Hard 1	
43	left	1	2.092	o1,o1	Exp - Hard 1 & Hard 1	
44	right	1	1.418	b1,O1	Con - Hard 1 & Easy 1	
45	right	1	0.916	B1,O1	Exp - Easy 1 & Easy 1	
46	left	1	0.728	O1,O1	Exp - Easy 1 & Easy 1	
47	left	0	2.497	b1,o1	Exp - Hard 1 & Hard 1	
48	right	1	2.000	b1,O1	Con - Hard 1 & Easy 1	
49	left	1	0.818	O1,O1	Exp - Easy 1 & Easy 1	
50	left	1	2.042	O1,o1	Con - Easy 1 & Hard 1	
51	left	1	0.798	O1,O1	Exp - Easy 1 & Easy 1	
52	left	1	1.386	O1,o1	Con - Easy 1 & Hard 1	
53	left	1	1.416	o1,O1	Con - Hard 1 & Easy 1	
54	right	1	1.580	b1,O1	Con - Hard 1 & Easy 1	
55	right	1	1.071	O1,b1	Con - Easy 1 & Hard 1	
56	right	1	0.727	B1,O1	Exp - Easy 1 & Easy 1	
57	right	1	1.330	b1,O1	Con - Hard 1 & Easy 1	
58	left	1	2.072	o1,o1	Exp - Hard 1 & Hard 1	
59	right	1	1.227	b1,O1	Con - Hard 1 & Easy 1	
60	left	1	1.479	O1,o1	Con - Easy 1 & Hard 1	
61	right	1	0.730	B1,O1	Exp - Easy 1 & Easy 1	
62	left	0	3.214	b1,o1	Exp - Hard 1 & Hard 1	
63	right	1	2.417	B1,O1	Exp - Easy 1 & Easy 1	
64	left	0	1.914	O1,b1	Con - Easy 1 & Hard 1	
65	left	0	0.818	B1,O1	Exp - Easy 1 & Easy 1	
66	right	0	2.309	O1,o1	Con - Easy 1 & Hard 1	
67	left	1	0.849	O1,o1	Con - Easy 1 & Hard 1	
68	right	1	0.609	B1,O1	Exp - Easy 1 & Easy 1	
69	right	1	1.206	b1,O1	Con - Hard 1 & Easy 1	
70	right	1	1.173	b1,O1	Con - Hard 1 & Easy 1	
71	left	1	0.988	O1,o1	Con - Easy 1 & Hard 1	
72	left	1	0.706	O1,O1	Exp - Easy 1 & Easy 1	
73	left	1	0.741	O1,O1	Exp - Easy 1 & Easy 1	
74	right	1	1.142	b1,O1	Con - Hard 1 & Easy 1	
75	right	1	1.453	b1,o1	Exp - Hard 1 & Hard 1	
76	right	1	0.769	B1,O1	Exp - Easy 1 & Easy 1	
77	left	1	1.159	O1,o1	Con - Easy 1 & Hard 1	
78	left	1	1.488	O1,o1	Con - Easy 1 & Hard 1	
79	right	1	0.856	b1,o1	Exp - Hard 1 & Hard 1	
80	right	1	1.500	O1,b1	Con - Easy 1 & Hard 1	
81	left	1	0.802	O1,O1	Exp - Easy 1 & Easy 1	
82	right	1	1.458	b1,o1	Exp - Hard 1 & Hard 1	
83	left	1	0.708	O1,O1	Exp - Easy 1 & Easy 1	
84	left	1	1.326	o1,o1	Exp - Hard 1 & Hard 1	
85	left	1	1.282	O1,o1	Con - Easy 1 & Hard 1	
86	right	1	2.020	O1,b1	Con - Easy 1 & Hard 1	
87	right	1	1.141	B1,O1	Exp - Easy 1 & Easy 1	
88	right	1	1.488	b1,o1	Exp - Hard 1 & Hard 1	
89	left	1	0.772	O1,O1	Exp - Easy 1 & Easy 1	
90	right	1	1.294	b1,O1	Con - Hard 1 & Easy 1	
91	right	0	1.549	o1,O1	Con - Hard 1 & Easy 1	
92	left	1	1.489	o1,O1	Con - Hard 1 & Easy 1	
93	left	1	1.125	o1,O1	Con - Hard 1 & Easy 1	
94	left	1	1.403	o1,o1	Exp - Hard 1 & Hard 1	
95	left	0	1.632	O1,b1	Con - Easy 1 & Hard 1	
96	left	1	1.111	o1,O1	Con - Hard 1 & Easy 1	
97	left	1	1.454	o1,o1	Exp - Hard 1 & Hard 1	
98	left	0	2.603	b1,o1	Exp - Hard 1 & Hard 1	
99	right	1	2.763	b1,o1	Exp - Hard 1 & Hard 1	
100	right	1	1.392	O1,b1	Con - Easy 1 & Hard 1	
101	right	1	1.573	B1,O1	Exp - Easy 1 & Easy 1	
102	right	1	1.946	b1,o1	Exp - Hard 1 & Hard 1	
103	left	1	1.312	o1,O1	Con - Hard 1 & Easy 1	
104	left	1	1.285	o1,O1	Con - Hard 1 & Easy 1	
105	right	1	1.641	b1,O1	Con - Hard 1 & Easy 1	
106	left	1	0.820	O1,O1	Exp - Easy 1 & Easy 1	
107	left	1	2.662	o1,o1	Exp - Hard 1 & Hard 1	
108	left	0	1.826	b1,o1	Exp - Hard 1 & Hard 1	
109	right	1	0.715	B1,O1	Exp - Easy 1 & Easy 1	
110	right	1	1.599	b1,O1	Con - Hard 1 & Easy 1	
111	right	1	2.077	O1,b1	Con - Easy 1 & Hard 1	
112	left	1	0.918	O1,O1	Exp - Easy 1 & Easy 1	
113	right	1	0.797	B1,O1	Exp - Easy 1 & Easy 1	
114	left	1	0.986	O1,O1	Exp - Easy 1 & Easy 1	
115	left	1	0.854	O1,O1	Exp - Easy 1 & Easy 1	
116	right	1	0.680	B1,O1	Exp - Easy 1 & Easy 1	
117	right	0	1.562	o1,O1	Con - Hard 1 & Easy 1	
118	right	0	1.302	o1,o1	Exp - Hard 1 & Hard 1	
119	right	1	1.076	b1,O1	Con - Hard 1 & Easy 1	
120	left	1	1.316	o1,o1	Exp - Hard 1 & Hard 1	
121	right	0	1.757	o1,o1	Exp - Hard 1 & Hard 1	
122	right	1	1.943	b1,o1	Exp - Hard 1 & Hard 1	
123	left	1	2.359	o1,o1	Exp - Hard 1 & Hard 1	
124	right	1	1.569	b1,O1	Con - Hard 1 & Easy 1	
125	right	1	1.877	b1,o1	Exp - Hard 1 & Hard 1	
126	left	1	1.789	O1,o1	Con - Easy 1 & Hard 1	
127	right	1	1.528	b1,O1	Con - Hard 1 & Easy 1	
128	right	1	1.399	b1,O1	Con - Hard 1 & Easy 1	
129	right	1	1.295	b1,O1	Con - Hard 1 & Easy 1	
130	left	1	0.818	O1,O1	Exp - Easy 1 & Easy 1	
131	right	0	1.558	o1,o1	Exp - Hard 1 & Hard 1	
132	right	0	1.500	o1,o1	Exp - Hard 1 & Hard 1	
133	left	1	1.368	o1,O1	Con - Hard 1 & Easy 1	
134	right	0	1.401	o1,O1	Con - Hard 1 & Easy 1	
135	right	1	0.813	O1,b1	Con - Easy 1 & Hard 1	
136	right	1	1.154	b1,O1	Con - Hard 1 & Easy 1	
137	left	1	2.066	o1,o1	Exp - Hard 1 & Hard 1	
138	right	1	1.890	b1,O1	Con - Hard 1 & Easy 1	
139	left	1	1.485	o1,O1	Con - Hard 1 & Easy 1	
140	left	0	1.989	O1,b1	Con - Easy 1 & Hard 1	
141	right	1	2.257	O1,b1	Con - Easy 1 & Hard 1	
142	left	1	0.844	O1,O1	Exp - Easy 1 & Easy 1	
143	left	1	2.118	O1,o1	Con - Easy 1 & Hard 1	
144	left	1	1.346	O1,o1	Con - Easy 1 & Hard 1	
145	left	1	1.272	o1,o1	Exp - Hard 1 & Hard 1	
146	left	1	0.773	O1,O1	Exp - Easy 1 & Easy 1	
147	right	0	1.231	o1,o1	Exp - Hard 1 & Hard 1	
148	right	1	1.149	O1,b1	Con - Easy 1 & Hard 1	
149	right	0	2.229	o1,O1	Con - Hard 1 & Easy 1	
150	right	0	1.197	O1,o1	Con - Easy 1 & Hard 1	
