Trial Number, Response, Correct/Incorrect(1/0), RT, Condition, Difficulty, Colour Order (Single Grids Only)
1	right	1	0.745	O,b	Con - Easy 1	1	
2	right	1	1.617	o,b	Exp - Hard 1	1	
3	right	1	1.278	o,b	Exp - Hard 1	1	
4	left	1	1.049	b,o	Exp - Hard 1	1	
5	left	1	0.606	B,o	Con - Easy 1	1	
6	left	1	0.882	b,o	Exp - Hard 1	1	
7	left	1	0.780	b,o	Exp - Hard 1	1	
8	left	1	0.752	b,o	Exp - Hard 1	1	
9	left	1	0.672	B,o	Con - Easy 1	1	
10	left	1	0.743	b,o	Exp - Hard 1	1	
11	right	1	0.662	O,b	Con - Easy 1	1	
12	left	1	0.609	B,o	Con - Easy 1	1	
13	left	1	0.669	b,o	Exp - Hard 1	1	
14	left	1	0.632	B,o	Con - Easy 1	1	
15	left	0	1.177	o,b	Exp - Hard 1	1	
16	right	1	0.692	O,b	Con - Easy 1	1	
17	right	1	1.475	o,b	Exp - Hard 1	1	
18	right	1	1.559	o,b	Exp - Hard 1	1	
19	left	1	0.623	B,o	Con - Easy 1	1	
20	right	1	0.617	O,b	Con - Easy 1	1	
21	left	1	0.844	b,o	Exp - Hard 1	1	
22	right	1	0.653	O,b	Con - Easy 1	1	
23	right	1	1.298	o,b	Exp - Hard 1	1	
24	right	1	0.739	O,b	Con - Easy 1	1	
25	left	1	1.341	b,o	Exp - Hard 1	1	
26	left	1	0.633	B,o	Con - Easy 1	1	
27	left	0	0.761	o,b	Exp - Hard 1	1	
28	right	1	0.598	O,b	Con - Easy 1	1	
29	right	1	0.524	O,b	Con - Easy 1	1	
30	right	0	1.479	b,o	Exp - Hard 1	1	
31	left	1	0.730	b,o	Exp - Hard 1	1	
32	right	1	0.598	O,b	Con - Easy 1	1	
33	right	1	1.194	o,b	Exp - Hard 1	1	
34	left	1	0.644	B,o	Con - Easy 1	1	
35	right	1	1.273	o,b	Exp - Hard 1	1	
36	left	1	0.627	B,o	Con - Easy 1	1	
37	left	0	1.056	o,b	Exp - Hard 1	1	
38	left	1	0.646	B,o	Con - Easy 1	1	
39	left	1	0.552	B,o	Con - Easy 1	1	
40	right	1	0.642	O,b	Con - Easy 1	1	
1	right	0	1.575	b1,b1	Exp - Hard 1 & Hard 1	
2	right	1	1.051	B1,o1	Con - Easy 1 & Hard 1	
