Trial Number, Response, Correct/Incorrect(1/0), RT, Condition, Difficulty, Colour Order (Single Grids Only)
145	right	1	0.694	B2,O2	Exp - Easy 2 & Easy 2	
146	left	0	0.526	B1,o1	Exp - Easy 1 & Hard 1	
147	left	0	0.718	B2,o2	Exp - Easy 2 & Hard 2	
148	left	0	0.521	B1,o1	Exp - Easy 1 & Hard 1	
149	left	0	1.088	o2,B2	Exp - Hard 2 & Easy 2	
150	right	1	0.704	B2,O2	Exp - Easy 2 & Easy 2	
151	left	0	0.692	B2,o2	Exp - Easy 2 & Hard 2	
152	left	0	0.574	B1,o1	Exp - Easy 1 & Hard 1	
153	left	0	0.691	B2,o2	Exp - Easy 2 & Hard 2	
154	left	0	0.443	b2,o2	Exp - Hard 2 & Hard 2	
155	right	1	0.845	B1,O1	Exp - Easy 1 & Easy 1	
156	left	0	0.776	B1,o1	Exp - Easy 1 & Hard 1	
157	left	0	0.609	o2,B2	Exp - Hard 2 & Easy 2	
158	left	0	0.886	B2,O2	Exp - Easy 2 & Easy 2	
159	right	1	3.924	B2,O2	Exp - Easy 2 & Easy 2	
160	left	0	0.654	B1,o1	Exp - Easy 1 & Hard 1	
161	left	0	0.609	B2,o2	Exp - Easy 2 & Hard 2	
162	left	0	0.573	b1,o1	Exp - Hard 1 & Hard 1	
163	left	0	0.756	o2,B2	Exp - Hard 2 & Easy 2	
164	left	0	0.519	b1,o1	Exp - Hard 1 & Hard 1	
165	left	0	0.502	b1,o1	Exp - Hard 1 & Hard 1	
166	left	0	0.491	B1,o1	Exp - Easy 1 & Hard 1	
167	right	1	1.003	B2,O2	Exp - Easy 2 & Easy 2	
168	left	0	0.638	b2,o2	Exp - Hard 2 & Hard 2	
169	left	0	1.072	B2,o2	Exp - Easy 2 & Hard 2	
170	left	0	0.621	o2,B2	Exp - Hard 2 & Easy 2	
171	left	0	0.637	b1,o1	Exp - Hard 1 & Hard 1	
172	left	0	0.510	b2,o2	Exp - Hard 2 & Hard 2	
173	left	0	0.840	o2,B2	Exp - Hard 2 & Easy 2	
174	left	0	0.556	b1,o1	Exp - Hard 1 & Hard 1	
175	left	0	0.488	B1,o1	Exp - Easy 1 & Hard 1	
176	right	1	0.707	B2,O2	Exp - Easy 2 & Easy 2	
177	left	0	0.451	B1,o1	Exp - Easy 1 & Hard 1	
178	left	0	0.444	b2,o2	Exp - Hard 2 & Hard 2	
179	right	1	1.473	B1,O1	Exp - Easy 1 & Easy 1	
180	left	0	0.622	B1,O1	Exp - Easy 1 & Easy 1	
181	left	0	0.555	B1,o1	Exp - Easy 1 & Hard 1	
182	left	0	0.373	B1,o1	Exp - Easy 1 & Hard 1	
183	left	0	0.452	B2,o2	Exp - Easy 2 & Hard 2	
184	left	0	0.821	B1,O1	Exp - Easy 1 & Easy 1	
185	left	0	0.373	o2,B2	Exp - Hard 2 & Easy 2	
186	right	1	0.594	B2,O2	Exp - Easy 2 & Easy 2	
187	right	1	0.788	B1,O1	Exp - Easy 1 & Easy 1	
188	left	0	0.555	b2,o2	Exp - Hard 2 & Hard 2	
189	left	0	0.652	b1,o1	Exp - Hard 1 & Hard 1	
190	left	0	0.472	B1,o1	Exp - Easy 1 & Hard 1	
191	right	1	0.757	B1,O1	Exp - Easy 1 & Easy 1	
192	left	0	0.824	o2,B2	Exp - Hard 2 & Easy 2	
193	right	1	0.557	B2,O2	Exp - Easy 2 & Easy 2	
194	left	0	0.506	b2,o2	Exp - Hard 2 & Hard 2	
195	left	0	0.423	b1,o1	Exp - Hard 1 & Hard 1	
196	left	0	0.541	B1,o1	Exp - Easy 1 & Hard 1	
197	left	0	0.886	o1,B1	Exp - Hard 1 & Easy 1	
198	left	0	0.786	B1,o1	Exp - Easy 1 & Hard 1	
199	left	0	0.691	o1,B1	Exp - Hard 1 & Easy 1	
200	right	1	3.754	b2,o2	Exp - Hard 2 & Hard 2	
