Trial Number, Response, Correct/Incorrect(1/0), RT, Condition, Difficulty, Colour Order (Single Grids Only)
62	left	0	1.037	o1,b1	Exp - Hard 1 & Hard 1	
63	left	0	0.871	o2,b2	Exp - Hard 2 & Hard 2	
64	left	0	0.890	O1,b1	Exp - Easy 1 & Hard 1	
65	left	0	0.679	b1,O1	Exp - Hard 1 & Easy 1	
66	right	1	0.991	O1,B1	Exp - Easy 1 & Easy 1	
67	left	0	1.456	O1,b1	Exp - Easy 1 & Hard 1	
68	right	1	0.942	o1,b1	Exp - Hard 1 & Hard 1	
69	left	0	1.072	O2,b2	Exp - Easy 2 & Hard 2	
70	left	0	1.289	o2,b2	Exp - Hard 2 & Hard 2	
71	left	0	0.941	b2,O2	Exp - Hard 2 & Easy 2	
72	left	0	0.672	o1,b1	Exp - Hard 1 & Hard 1	
73	left	0	0.776	b1,O1	Exp - Hard 1 & Easy 1	
74	left	0	1.073	o1,b1	Exp - Hard 1 & Hard 1	
75	right	1	1.239	o1,b1	Exp - Hard 1 & Hard 1	
76	right	1	1.925	o1,b1	Exp - Hard 1 & Hard 1	
77	left	0	0.806	b1,O1	Exp - Hard 1 & Easy 1	
78	left	0	0.677	b2,O2	Exp - Hard 2 & Easy 2	
79	left	0	0.929	O2,b2	Exp - Easy 2 & Hard 2	
80	right	1	0.826	o2,b2	Exp - Hard 2 & Hard 2	
81	left	0	1.343	O1,b1	Exp - Easy 1 & Hard 1	
82	left	0	0.937	O1,b1	Exp - Easy 1 & Hard 1	
83	left	0	0.904	b2,O2	Exp - Hard 2 & Easy 2	
84	left	0	3.088	b1,O1	Exp - Hard 1 & Easy 1	
85	right	1	1.271	o1,b1	Exp - Hard 1 & Hard 1	
86	left	0	0.756	O1,b1	Exp - Easy 1 & Hard 1	
87	left	0	0.806	o2,b2	Exp - Hard 2 & Hard 2	
88	left	0	0.656	b2,O2	Exp - Hard 2 & Easy 2	
89	right	1	2.173	O1,B1	Exp - Easy 1 & Easy 1	
90	left	0	2.825	O2,b2	Exp - Easy 2 & Hard 2	
91	left	0	2.541	b2,O2	Exp - Hard 2 & Easy 2	
92	right	1	15.374	O1,B1	Exp - Easy 1 & Easy 1	
93	left	0	0.654	b2,O2	Exp - Hard 2 & Easy 2	
94	left	0	0.905	o2,b2	Exp - Hard 2 & Hard 2	
95	left	0	0.905	b1,O1	Exp - Hard 1 & Easy 1	
96	right	1	1.093	O2,B2	Exp - Easy 2 & Easy 2	
97	left	0	1.540	O1,b1	Exp - Easy 1 & Hard 1	
98	left	0	1.677	O2,b2	Exp - Easy 2 & Hard 2	
99	left	0	0.854	b1,O1	Exp - Hard 1 & Easy 1	
100	right	1	1.003	O1,B1	Exp - Easy 1 & Easy 1	
101	right	1	0.706	O2,B2	Exp - Easy 2 & Easy 2	
102	left	0	0.855	b1,O1	Exp - Hard 1 & Easy 1	
103	left	0	0.720	b1,O1	Exp - Hard 1 & Easy 1	
104	left	0	1.358	O1,b1	Exp - Easy 1 & Hard 1	
105	left	0	0.708	o2,b2	Exp - Hard 2 & Hard 2	
106	right	1	0.740	O2,B2	Exp - Easy 2 & Easy 2	
107	left	0	0.707	O1,b1	Exp - Easy 1 & Hard 1	
108	left	0	1.095	b2,O2	Exp - Hard 2 & Easy 2	
109	right	1	0.656	O1,B1	Exp - Easy 1 & Easy 1	
110	left	0	0.678	b1,O1	Exp - Hard 1 & Easy 1	
111	left	0	0.929	O2,b2	Exp - Easy 2 & Hard 2	
112	right	1	0.759	O1,B1	Exp - Easy 1 & Easy 1	
113	right	1	0.675	O2,B2	Exp - Easy 2 & Easy 2	
114	left	0	1.086	O1,B1	Exp - Easy 1 & Easy 1	
115	left	0	1.279	b2,O2	Exp - Hard 2 & Easy 2	
116	right	1	0.575	O2,B2	Exp - Easy 2 & Easy 2	
117	right	1	0.658	O1,B1	Exp - Easy 1 & Easy 1	
118	left	0	0.842	b1,O1	Exp - Hard 1 & Easy 1	
119	right	1	4.038	o2,b2	Exp - Hard 2 & Hard 2	
120	left	0	0.740	O1,b1	Exp - Easy 1 & Hard 1	
121	right	1	0.594	O2,B2	Exp - Easy 2 & Easy 2	
122	left	0	1.306	O1,b1	Exp - Easy 1 & Hard 1	
123	right	1	0.872	O2,B2	Exp - Easy 2 & Easy 2	
124	right	1	0.658	O2,B2	Exp - Easy 2 & Easy 2	
125	right	1	0.928	o2,b2	Exp - Hard 2 & Hard 2	
126	left	0	1.474	b1,O1	Exp - Hard 1 & Easy 1	
127	right	1	0.572	O2,B2	Exp - Easy 2 & Easy 2	
128	right	1	1.208	o2,b2	Exp - Hard 2 & Hard 2	
129	right	1	0.624	o2,b2	Exp - Hard 2 & Hard 2	
130	right	1	0.678	O1,B1	Exp - Easy 1 & Easy 1	
131	right	1	0.526	o1,b1	Exp - Hard 1 & Hard 1	
132	left	0	1.074	o2,b2	Exp - Hard 2 & Hard 2	
133	left	0	0.873	O2,b2	Exp - Easy 2 & Hard 2	
134	right	1	1.476	O1,B1	Exp - Easy 1 & Easy 1	
135	right	1	3.404	O1,B1	Exp - Easy 1 & Easy 1	
136	right	1	0.604	O2,B2	Exp - Easy 2 & Easy 2	
137	right	1	0.826	o1,b1	Exp - Hard 1 & Hard 1	
138	right	1	0.722	O1,B1	Exp - Easy 1 & Easy 1	
139	left	0	0.623	b2,O2	Exp - Hard 2 & Easy 2	
140	left	0	1.012	b2,O2	Exp - Hard 2 & Easy 2	
141	right	1	0.862	O2,B2	Exp - Easy 2 & Easy 2	
142	left	0	0.802	O2,b2	Exp - Easy 2 & Hard 2	
143	left	0	1.021	b2,O2	Exp - Hard 2 & Easy 2	
144	right	1	0.656	o1,b1	Exp - Hard 1 & Hard 1	
145	right	1	0.764	o2,b2	Exp - Hard 2 & Hard 2	
146	left	0	1.023	O1,B1	Exp - Easy 1 & Easy 1	
147	right	1	1.490	O1,B1	Exp - Easy 1 & Easy 1	
148	left	0	1.039	b1,O1	Exp - Hard 1 & Easy 1	
149	right	1	2.306	O2,b2	Exp - Easy 2 & Hard 2	
150	right	1	0.638	o1,b1	Exp - Hard 1 & Hard 1	
151	right	1	0.688	O2,B2	Exp - Easy 2 & Easy 2	
152	left	0	0.779	b2,O2	Exp - Hard 2 & Easy 2	
153	left	0	1.927	O2,b2	Exp - Easy 2 & Hard 2	
154	left	0	0.789	b2,O2	Exp - Hard 2 & Easy 2	
155	left	0	0.720	b2,O2	Exp - Hard 2 & Easy 2	
156	left	0	1.156	b1,O1	Exp - Hard 1 & Easy 1	
157	left	0	0.985	O2,b2	Exp - Easy 2 & Hard 2	
158	left	0	2.240	o2,b2	Exp - Hard 2 & Hard 2	
