Trial Number, Response, Correct/Incorrect(1/0), RT, Condition, Difficulty, Colour Order (Single Grids Only)
1	right	1	0.644	o,b	Exp - Hard 1	1	
2	left	0	0.036	O,b	Con - Easy 1	1	
3	right	1	0.303	O,b	Con - Easy 1	1	
4	right	1	0.054	o,b	Exp - Hard 1	1	
5	left	0	0.257	o,b	Exp - Hard 2	1	
6	right	1	0.122	O,b	Con - Easy 2	1	
7	left	1	0.067	b,o	Exp - Hard 1	1	
8	right	1	0.170	o,b	Exp - Hard 1	1	
9	right	0	0.221	B,o	Con - Easy 2	1	
10	left	1	0.069	b,o	Exp - Hard 2	1	
11	left	0	0.171	o,b	Exp - Hard 2	1	
12	left	1	0.320	B,o	Con - Easy 1	1	
13	left	0	0.120	o,b	Exp - Hard 1	1	
14	left	1	0.186	B,o	Con - Easy 2	1	
15	left	0	0.153	O,b	Con - Easy 1	1	
16	left	1	0.187	b,o	Exp - Hard 1	1	
17	right	0	0.172	B,o	Con - Easy 1	1	
18	left	1	0.254	b,o	Exp - Hard 2	1	
19	left	0	0.053	o,b	Exp - Hard 2	1	
20	left	1	0.170	B,o	Con - Easy 1	1	
21	left	1	0.053	b,o	Exp - Hard 1	1	
22	right	0	0.186	B,o	Con - Easy 2	1	
23	left	1	0.136	b,o	Exp - Hard 2	1	
24	right	0	0.136	b,o	Exp - Hard 2	1	
25	left	1	0.153	b,o	Exp - Hard 1	1	
26	right	0	0.120	B,o	Con - Easy 1	1	
27	left	1	0.270	b,o	Exp - Hard 1	1	
28	left	0	0.170	O,b	Con - Easy 2	1	
29	right	1	0.070	o,b	Exp - Hard 2	1	
30	right	0	0.070	b,o	Exp - Hard 2	1	
31	right	1	0.053	O,b	Con - Easy 2	1	
32	left	1	0.202	B,o	Con - Easy 2	1	
33	left	1	0.036	B,o	Con - Easy 1	1	
34	right	1	0.136	O,b	Con - Easy 2	1	
35	left	0	0.918	o,b	Exp - Hard 1	1	
36	right	1	0.303	O,b	Con - Easy 2	1	
37	left	1	0.035	B,o	Con - Easy 2	1	
38	right	1	0.171	o,b	Exp - Hard 2	1	
39	left	0	0.120	O,b	Con - Easy 1	1	
40	left	0	1.271	O,b	Con - Easy 1	1	
1	left	0	0.030	B2,B2	Exp - Easy 2 & Easy 2	
2	right	0	0.152	b1,b1	Exp - Hard 1 & Hard 1	
3	left	0	0.272	b2,B2	Con - Hard 2 & Easy 2	
4	right	1	0.286	b2,b2	Exp - Hard 2 & Hard 2	
5	right	1	0.816	o1,b1	Exp - Hard 1 & Hard 1	
6	left	0	0.120	o1,b1	Exp - Hard 1 & Hard 1	
7	left	0	0.286	b2,B2	Con - Hard 2 & Easy 2	
8	right	0	0.304	B2,b2	Con - Easy 2 & Hard 2	
9	right	1	0.052	o1,b1	Exp - Hard 1 & Hard 1	
10	right	1	0.236	o1,b1	Exp - Hard 1 & Hard 1	
11	right	1	0.220	b2,b2	Exp - Hard 2 & Hard 2	
12	right	0	0.107	B2,b2	Con - Easy 2 & Hard 2	
13	right	0	0.335	b1,b1	Exp - Hard 1 & Hard 1	
14	right	0	0.188	B1,B1	Exp - Easy 1 & Easy 1	
15	right	1	0.304	o1,b1	Exp - Hard 1 & Hard 1	
16	right	0	0.205	o2,B2	Con - Hard 2 & Easy 2	
17	left	0	0.269	o1,B1	Con - Hard 1 & Easy 1	
18	right	0	0.170	o1,B1	Con - Hard 1 & Easy 1	
19	right	0	0.120	o2,B2	Con - Hard 2 & Easy 2	
20	right	0	0.020	o1,B1	Con - Hard 1 & Easy 1	
21	left	0	0.189	b2,B2	Con - Hard 2 & Easy 2	
22	right	0	0.167	b1,B1	Con - Hard 1 & Easy 1	
23	left	0	0.175	b1,B1	Con - Hard 1 & Easy 1	
24	right	0	0.169	B1,o1	Con - Easy 1 & Hard 1	
25	right	0	0.137	B2,b2	Con - Easy 2 & Hard 2	
26	right	0	0.013	B2,b2	Con - Easy 2 & Hard 2	
27	left	0	0.123	o1,B1	Con - Hard 1 & Easy 1	
28	left	0	0.252	O2,B2	Exp - Easy 2 & Easy 2	
29	right	0	0.204	B2,o2	Con - Easy 2 & Hard 2	
30	left	0	0.021	B1,o1	Con - Easy 1 & Hard 1	
31	right	1	0.268	O2,B2	Exp - Easy 2 & Easy 2	
32	left	0	0.154	B2,B2	Exp - Easy 2 & Easy 2	
33	left	1	0.585	o2,b2	Exp - Hard 2 & Hard 2	
34	right	0	0.071	b1,b1	Exp - Hard 1 & Hard 1	
35	left	1	0.237	b1,b1	Exp - Hard 1 & Hard 1	
36	left	1	0.204	O1,B1	Exp - Easy 1 & Easy 1	
37	left	0	0.188	o1,B1	Con - Hard 1 & Easy 1	
38	left	0	0.219	B2,o2	Con - Easy 2 & Hard 2	
39	left	0	0.286	B1,o1	Con - Easy 1 & Hard 1	
40	right	1	0.013	B2,B2	Exp - Easy 2 & Easy 2	
41	right	0	0.259	O1,B1	Exp - Easy 1 & Easy 1	
42	right	0	0.236	o1,B1	Con - Hard 1 & Easy 1	
43	right	0	0.258	b2,B2	Con - Hard 2 & Easy 2	
44	right	1	0.287	O2,B2	Exp - Easy 2 & Easy 2	
45	left	0	0.037	O2,B2	Exp - Easy 2 & Easy 2	
46	left	0	0.272	b1,B1	Con - Hard 1 & Easy 1	
47	left	0	0.037	B1,o1	Con - Easy 1 & Hard 1	
48	left	0	0.222	b2,b2	Exp - Hard 2 & Hard 2	
49	left	0	0.135	b2,B2	Con - Hard 2 & Easy 2	
50	left	0	0.036	B2,b2	Con - Easy 2 & Hard 2	
51	left	0	0.090	B2,B2	Exp - Easy 2 & Easy 2	
52	right	0	0.171	B2,o2	Con - Easy 2 & Hard 2	
