Trial Number, Response, Correct/Incorrect(1/0), RT, Condition, Difficulty, Colour Order (Single Grids Only)
136	right	1	0.915	O1,b1	Con - Easy 1 & Hard 1	
137	right	0	0.606	O2,O2	Exp - Easy 2 & Easy 2	
138	right	1	0.983	B2,O2	Exp - Easy 2 & Easy 2	
139	right	1	0.922	B2,O2	Exp - Easy 2 & Easy 2	
140	right	0	0.557	o1,O1	Con - Hard 1 & Easy 1	
141	left	0	1.815	b2,o2	Exp - Hard 2 & Hard 2	
142	left	1	0.971	O1,O1	Exp - Easy 1 & Easy 1	
143	right	0	1.174	o2,O2	Con - Hard 2 & Easy 2	
144	left	1	0.867	O1,O1	Exp - Easy 1 & Easy 1	
145	right	0	0.701	O1,o1	Con - Easy 1 & Hard 1	
146	right	1	0.755	b1,O1	Con - Hard 1 & Easy 1	
147	right	1	0.689	B2,O2	Exp - Easy 2 & Easy 2	
148	right	0	1.536	O2,o2	Exp - Easy 2 & Hard 2	
149	left	1	1.168	O1,o1	Con - Easy 1 & Hard 1	
150	right	0	0.832	o1,O1	Con - Hard 1 & Easy 1	
151	right	1	1.301	b2,O2	Con - Hard 2 & Easy 2	
152	right	1	2.709	B1,O1	Exp - Easy 1 & Easy 1	
153	right	1	1.833	b2,o2	Exp - Hard 2 & Hard 2	
154	right	0	0.985	O1,o1	Con - Easy 1 & Hard 1	
155	right	0	0.952	O2,o2	Exp - Easy 2 & Hard 2	
156	right	1	0.757	O1,b1	Con - Easy 1 & Hard 1	
157	right	1	1.253	b1,o1	Exp - Hard 1 & Hard 1	
158	right	1	1.034	B2,O2	Exp - Easy 2 & Easy 2	
159	right	0	0.864	O2,o2	Exp - Easy 2 & Hard 2	
160	right	0	1.329	o2,O2	Con - Hard 2 & Easy 2	
161	right	0	0.892	o1,o1	Exp - Hard 1 & Hard 1	
162	right	0	1.461	o1,o1	Exp - Hard 1 & Hard 1	
163	right	1	2.093	O1,b1	Con - Easy 1 & Hard 1	
164	right	1	3.006	B2,O2	Exp - Easy 2 & Easy 2	
165	right	0	1.106	o2,o2	Exp - Hard 2 & Hard 2	
166	right	0	1.349	o2,O2	Con - Hard 2 & Easy 2	
167	right	0	1.193	O2,o2	Exp - Easy 2 & Hard 2	
168	right	1	1.630	b1,o1	Exp - Hard 1 & Hard 1	
169	right	1	3.746	b1,o1	Exp - Hard 1 & Hard 1	
170	right	1	1.165	b1,O1	Con - Hard 1 & Easy 1	
171	right	1	0.640	b1,o1	Exp - Hard 1 & Hard 1	
172	left	1	0.662	O1,O1	Exp - Easy 1 & Easy 1	
173	right	1	0.637	b1,o1	Exp - Hard 1 & Hard 1	
174	right	1	0.711	b2,o2	Exp - Hard 2 & Hard 2	
175	left	1	0.612	O1,O1	Exp - Easy 1 & Easy 1	
176	left	1	1.787	O1,o1	Con - Easy 1 & Hard 1	
177	right	0	0.776	O1,o1	Con - Easy 1 & Hard 1	
178	right	1	1.238	b1,O1	Con - Hard 1 & Easy 1	
179	right	1	0.790	b2,O2	Con - Hard 2 & Easy 2	
180	right	1	0.783	B1,O1	Exp - Easy 1 & Easy 1	
181	right	0	0.791	o1,o1	Exp - Hard 1 & Hard 1	
182	right	0	0.423	o1,O1	Con - Hard 1 & Easy 1	
183	right	0	0.669	o1,o1	Exp - Hard 1 & Hard 1	
184	right	1	0.714	b2,o2	Exp - Hard 2 & Hard 2	
185	right	0	0.696	O1,o1	Con - Easy 1 & Hard 1	
186	right	1	1.002	b2,O2	Con - Hard 2 & Easy 2	
187	right	0	0.797	o2,O2	Con - Hard 2 & Easy 2	
188	right	1	0.613	b2,o2	Exp - Hard 2 & Hard 2	
189	right	0	0.724	o2,o2	Exp - Hard 2 & Hard 2	
190	right	1	1.319	B1,O1	Exp - Easy 1 & Easy 1	
191	left	1	1.747	o1,O1	Con - Hard 1 & Easy 1	
192	right	1	0.699	B1,O1	Exp - Easy 1 & Easy 1	
193	right	1	0.672	B2,O2	Exp - Easy 2 & Easy 2	
194	right	1	0.746	O2,b2	Con - Easy 2 & Hard 2	
195	right	0	0.810	o2,o2	Exp - Hard 2 & Hard 2	
196	right	0	0.933	o2,o2	Exp - Hard 2 & Hard 2	
197	right	1	0.882	B2,O2	Exp - Easy 2 & Easy 2	
198	right	0	0.760	o2,o2	Exp - Hard 2 & Hard 2	
199	right	0	0.730	o1,o1	Exp - Hard 1 & Hard 1	
200	right	0	0.833	o1,O1	Con - Hard 1 & Easy 1	
201	right	0	0.801	o2,o2	Exp - Hard 2 & Hard 2	
202	right	1	0.708	B2,O2	Exp - Easy 2 & Easy 2	
203	right	0	0.708	o1,O1	Con - Hard 1 & Easy 1	
204	right	0	0.757	O2,O2	Exp - Easy 2 & Easy 2	
205	right	1	0.772	b2,O2	Con - Hard 2 & Easy 2	
206	left	1	1.293	o2,O2	Con - Hard 2 & Easy 2	
207	right	1	1.314	O2,b2	Con - Easy 2 & Hard 2	
208	left	1	1.971	O1,o1	Con - Easy 1 & Hard 1	
