Trial Number, Response, Correct/Incorrect(1/0), RT, Condition, Difficulty, Colour Order (Single Grids Only)
63	right	1	0.834	O1,B1	Exp - Easy 1 & Easy 1	
64	right	1	1.186	O2,B2	Exp - Easy 2 & Easy 2	
65	left	0	1.297	o2,B2	Con - Hard 2 & Easy 2	
66	right	0	1.204	b1,b1	Exp - Hard 1 & Hard 1	
67	left	1	1.003	b2,b2	Exp - Hard 2 & Hard 2	
68	right	1	0.836	O1,B1	Exp - Easy 1 & Easy 1	
69	right	1	0.873	B1,o1	Con - Easy 1 & Hard 1	
70	right	0	0.867	b2,b2	Exp - Hard 2 & Hard 2	
71	right	0	0.747	B2,b2	Con - Easy 2 & Hard 2	
72	right	0	0.903	B2,b2	Con - Easy 2 & Hard 2	
73	right	0	0.900	b2,B2	Con - Hard 2 & Easy 2	
74	left	1	1.101	b1,b1	Exp - Hard 1 & Hard 1	
75	right	1	0.978	o1,B1	Con - Hard 1 & Easy 1	
76	left	1	2.015	b2,B2	Con - Hard 2 & Easy 2	
77	right	1	3.840	B2,o2	Con - Easy 2 & Hard 2	
78	right	0	1.996	b1,b1	Exp - Hard 1 & Hard 1	
79	left	1	2.345	b1,B1	Con - Hard 1 & Easy 1	
80	right	0	1.380	b2,b2	Exp - Hard 2 & Hard 2	
81	right	0	1.893	B1,b1	Con - Easy 1 & Hard 1	
82	right	0	1.260	b2,b2	Exp - Hard 2 & Hard 2	
83	right	0	0.880	B2,b2	Con - Easy 2 & Hard 2	
84	left	0	0.707	B2,B2	Exp - Easy 2 & Easy 2	
85	right	1	2.662	o2,b2	Exp - Hard 2 & Hard 2	
86	left	0	0.836	o1,B1	Con - Hard 1 & Easy 1	
87	right	1	1.117	o2,b2	Exp - Hard 2 & Hard 2	
88	left	1	0.960	b2,B2	Con - Hard 2 & Easy 2	
89	left	1	0.608	B1,B1	Exp - Easy 1 & Easy 1	
90	left	1	1.302	b1,b1	Exp - Hard 1 & Hard 1	
91	right	1	0.653	O1,B1	Exp - Easy 1 & Easy 1	
92	right	0	1.033	b1,B1	Con - Hard 1 & Easy 1	
93	left	1	0.821	b1,B1	Con - Hard 1 & Easy 1	
94	right	1	0.945	O2,B2	Exp - Easy 2 & Easy 2	
95	left	1	1.176	b1,B1	Con - Hard 1 & Easy 1	
96	left	1	0.852	b1,B1	Con - Hard 1 & Easy 1	
97	left	0	1.147	B2,B2	Exp - Easy 2 & Easy 2	
98	right	1	0.959	o2,b2	Exp - Hard 2 & Hard 2	
99	right	1	1.176	B2,o2	Con - Easy 2 & Hard 2	
100	right	1	1.057	O2,B2	Exp - Easy 2 & Easy 2	
101	left	1	1.002	b1,B1	Con - Hard 1 & Easy 1	
102	right	1	0.839	B1,o1	Con - Easy 1 & Hard 1	
103	right	1	1.633	o1,B1	Con - Hard 1 & Easy 1	
104	right	1	2.669	o1,B1	Con - Hard 1 & Easy 1	
105	right	0	1.086	B2,b2	Con - Easy 2 & Hard 2	
106	right	1	0.773	B1,o1	Con - Easy 1 & Hard 1	
107	left	0	0.912	B2,B2	Exp - Easy 2 & Easy 2	
108	right	1	0.925	B2,o2	Con - Easy 2 & Hard 2	
109	left	0	0.734	B2,B2	Exp - Easy 2 & Easy 2	
110	left	1	0.729	b1,b1	Exp - Hard 1 & Hard 1	
111	left	0	0.980	o2,B2	Con - Hard 2 & Easy 2	
112	left	1	4.564	b2,b2	Exp - Hard 2 & Hard 2	
113	right	1	1.348	o2,B2	Con - Hard 2 & Easy 2	
114	left	1	0.874	b1,B1	Con - Hard 1 & Easy 1	
115	left	1	0.922	B1,b1	Con - Easy 1 & Hard 1	
116	left	0	0.836	B2,B2	Exp - Easy 2 & Easy 2	
117	right	0	0.973	b2,b2	Exp - Hard 2 & Hard 2	
