Trial Number, Response, Correct/Incorrect(1/0), RT, Condition, Difficulty, Colour Order (Single Grids Only)
1	right	1	1.242	b,o	Exp - Hard 1	2	
2	right	1	1.190	B,o	Con - Easy 2	2	
3	left	1	0.592	O,b	Con - Easy 2	2	
4	right	1	0.761	b,o	Exp - Hard 2	2	
5	right	1	1.407	B,o	Con - Easy 1	2	
6	right	1	0.843	b,o	Exp - Hard 2	2	
7	right	1	0.640	b,o	Exp - Hard 2	2	
8	right	1	0.509	b,o	Exp - Hard 1	2	
9	right	0	0.523	o,b	Exp - Hard 1	2	
10	left	1	0.593	O,b	Con - Easy 1	2	
11	right	0	1.094	o,b	Exp - Hard 1	2	
12	left	1	0.572	O,b	Con - Easy 1	2	
13	left	1	0.593	O,b	Con - Easy 1	2	
14	right	0	1.007	o,b	Exp - Hard 2	2	
15	right	1	0.775	B,o	Con - Easy 1	2	
16	right	1	0.990	b,o	Exp - Hard 1	2	
17	left	1	0.639	O,b	Con - Easy 2	2	
18	left	1	0.739	O,b	Con - Easy 2	2	
19	right	1	0.808	b,o	Exp - Hard 2	2	
20	right	0	1.344	o,b	Exp - Hard 2	2	
21	right	1	0.754	b,o	Exp - Hard 2	2	
22	left	1	0.522	O,b	Con - Easy 2	2	
23	right	0	0.640	o,b	Exp - Hard 2	2	
24	right	1	0.622	b,o	Exp - Hard 1	2	
25	right	0	0.692	o,b	Exp - Hard 2	2	
26	left	0	0.539	B,o	Con - Easy 2	2	
27	left	1	1.690	O,b	Con - Easy 1	2	
28	right	1	0.488	B,o	Con - Easy 2	2	
29	right	1	0.457	B,o	Con - Easy 1	2	
30	right	1	0.437	B,o	Con - Easy 2	2	
31	right	0	1.287	o,b	Exp - Hard 1	2	
32	right	0	0.373	o,b	Exp - Hard 1	2	
33	right	1	0.555	B,o	Con - Easy 1	2	
34	right	0	0.906	o,b	Exp - Hard 1	2	
35	right	1	0.593	b,o	Exp - Hard 1	2	
36	right	1	0.807	B,o	Con - Easy 2	2	
37	right	1	0.639	B,o	Con - Easy 1	2	
38	right	0	1.606	o,b	Exp - Hard 2	2	
39	left	1	0.556	O,b	Con - Easy 2	2	
40	left	1	0.556	O,b	Con - Easy 1	2	
1	right	1	1.298	b1,O1	Exp - Hard 1 & Easy 1	
2	right	1	0.823	O2,B2	Exp - Easy 2 & Easy 2	
3	right	1	1.012	b2,O2	Exp - Hard 2 & Easy 2	
4	right	1	1.157	O2,b2	Exp - Easy 2 & Hard 2	
5	right	1	1.668	O2,b2	Exp - Easy 2 & Hard 2	
6	right	1	1.179	o1,b1	Exp - Hard 1 & Hard 1	
7	left	0	1.406	b1,O1	Exp - Hard 1 & Easy 1	
8	left	0	1.155	o2,b2	Exp - Hard 2 & Hard 2	
9	left	0	0.772	o2,b2	Exp - Hard 2 & Hard 2	
10	right	1	0.843	O2,B2	Exp - Easy 2 & Easy 2	
11	right	1	1.321	O2,B2	Exp - Easy 2 & Easy 2	
12	left	0	0.907	o1,b1	Exp - Hard 1 & Hard 1	
13	left	0	1.530	b2,O2	Exp - Hard 2 & Easy 2	
14	right	1	3.156	O1,B1	Exp - Easy 1 & Easy 1	
15	left	0	2.457	O2,B2	Exp - Easy 2 & Easy 2	
16	left	0	2.739	O2,b2	Exp - Easy 2 & Hard 2	
17	left	0	1.341	o2,b2	Exp - Hard 2 & Hard 2	
18	left	0	1.941	b2,O2	Exp - Hard 2 & Easy 2	
19	right	1	0.723	O2,B2	Exp - Easy 2 & Easy 2	
20	right	1	0.654	O1,B1	Exp - Easy 1 & Easy 1	
21	left	0	2.557	O2,b2	Exp - Easy 2 & Hard 2	
22	left	0	0.590	O1,b1	Exp - Easy 1 & Hard 1	
23	right	1	3.680	b2,O2	Exp - Hard 2 & Easy 2	
24	right	1	2.991	b2,O2	Exp - Hard 2 & Easy 2	
25	right	1	0.890	O2,b2	Exp - Easy 2 & Hard 2	
26	right	1	0.885	b1,O1	Exp - Hard 1 & Easy 1	
27	left	0	10.462	b1,O1	Exp - Hard 1 & Easy 1	
28	left	0	1.455	b1,O1	Exp - Hard 1 & Easy 1	
29	right	1	7.658	o1,b1	Exp - Hard 1 & Hard 1	
30	left	0	1.986	O1,b1	Exp - Easy 1 & Hard 1	
31	left	0	0.907	O1,b1	Exp - Easy 1 & Hard 1	
32	left	0	0.890	O1,b1	Exp - Easy 1 & Hard 1	
33	right	1	1.254	O1,B1	Exp - Easy 1 & Easy 1	
34	right	1	0.906	O2,B2	Exp - Easy 2 & Easy 2	
35	right	1	1.613	O2,b2	Exp - Easy 2 & Hard 2	
36	right	1	0.907	o2,b2	Exp - Hard 2 & Hard 2	
37	left	0	1.904	o1,b1	Exp - Hard 1 & Hard 1	
38	left	0	4.707	O2,b2	Exp - Easy 2 & Hard 2	
39	left	0	2.238	O1,B1	Exp - Easy 1 & Easy 1	
40	left	0	1.389	o1,b1	Exp - Hard 1 & Hard 1	
41	right	1	0.907	O1,B1	Exp - Easy 1 & Easy 1	
42	right	1	1.927	O2,B2	Exp - Easy 2 & Easy 2	
43	left	0	1.141	b1,O1	Exp - Hard 1 & Easy 1	
44	right	1	1.073	o1,b1	Exp - Hard 1 & Hard 1	
45	left	0	3.139	O2,b2	Exp - Easy 2 & Hard 2	
46	right	1	5.637	o2,b2	Exp - Hard 2 & Hard 2	
47	right	1	0.674	O2,B2	Exp - Easy 2 & Easy 2	
48	left	0	1.593	b2,O2	Exp - Hard 2 & Easy 2	
49	left	0	2.039	b2,O2	Exp - Hard 2 & Easy 2	
50	left	0	0.722	b2,O2	Exp - Hard 2 & Easy 2	
51	left	0	1.174	O2,b2	Exp - Easy 2 & Hard 2	
52	left	0	0.924	b2,O2	Exp - Hard 2 & Easy 2	
53	right	1	2.689	o2,b2	Exp - Hard 2 & Hard 2	
54	left	0	2.239	b1,O1	Exp - Hard 1 & Easy 1	
55	right	1	3.190	o2,b2	Exp - Hard 2 & Hard 2	
56	left	0	1.620	O1,B1	Exp - Easy 1 & Easy 1	
57	left	0	0.690	b1,O1	Exp - Hard 1 & Easy 1	
58	left	0	0.722	O1,b1	Exp - Easy 1 & Hard 1	
59	right	1	0.611	O2,B2	Exp - Easy 2 & Easy 2	
60	left	0	0.873	O1,b1	Exp - Easy 1 & Hard 1	
61	left	0	0.989	b1,O1	Exp - Hard 1 & Easy 1	
62	left	0	0.952	O1,b1	Exp - Easy 1 & Hard 1	
63	right	1	1.255	o2,b2	Exp - Hard 2 & Hard 2	
64	left	0	1.928	o2,b2	Exp - Hard 2 & Hard 2	
65	left	0	0.861	O1,b1	Exp - Easy 1 & Hard 1	
66	left	0	0.740	O2,b2	Exp - Easy 2 & Hard 2	
67	right	1	1.220	O2,B2	Exp - Easy 2 & Easy 2	
68	right	1	0.906	O2,B2	Exp - Easy 2 & Easy 2	
69	right	1	0.839	o1,b1	Exp - Hard 1 & Hard 1	
70	left	0	0.739	O2,B2	Exp - Easy 2 & Easy 2	
71	right	1	1.037	O1,B1	Exp - Easy 1 & Easy 1	
72	left	0	7.180	b1,O1	Exp - Hard 1 & Easy 1	
