Trial Number, Response, Correct/Incorrect(1/0), RT, Condition, Difficulty, Colour Order (Single Grids Only)
1	right	1	1.242	b,o	Exp - Hard 1	2	
73	right	1	1.157	o2,b2	Exp - Hard 2 & Hard 2	
74	left	0	1.946	O2,b2	Exp - Easy 2 & Hard 2	
75	left	0	1.723	o2,b2	Exp - Hard 2 & Hard 2	
76	right	1	1.444	O2,B2	Exp - Easy 2 & Easy 2	
77	left	0	1.940	b2,O2	Exp - Hard 2 & Easy 2	
78	right	1	1.541	o1,b1	Exp - Hard 1 & Hard 1	
79	right	1	0.672	o1,b1	Exp - Hard 1 & Hard 1	
80	right	1	0.821	o2,b2	Exp - Hard 2 & Hard 2	
81	right	1	1.157	O2,B2	Exp - Easy 2 & Easy 2	
82	left	0	3.289	o1,b1	Exp - Hard 1 & Hard 1	
83	right	1	7.556	O2,B2	Exp - Easy 2 & Easy 2	
84	left	0	5.305	b1,O1	Exp - Hard 1 & Easy 1	
85	left	0	0.946	O2,b2	Exp - Easy 2 & Hard 2	
86	right	1	2.538	O1,B1	Exp - Easy 1 & Easy 1	
87	left	0	1.974	b1,O1	Exp - Hard 1 & Easy 1	
88	left	0	1.808	o2,b2	Exp - Hard 2 & Hard 2	
89	left	0	0.510	O1,B1	Exp - Easy 1 & Easy 1	
90	left	0	0.606	O1,b1	Exp - Easy 1 & Hard 1	
91	left	0	0.869	o1,b1	Exp - Hard 1 & Hard 1	
92	left	0	0.857	b1,O1	Exp - Hard 1 & Easy 1	
93	right	1	1.870	O1,B1	Exp - Easy 1 & Easy 1	
94	right	1	2.174	O1,B1	Exp - Easy 1 & Easy 1	
95	left	0	0.929	O2,b2	Exp - Easy 2 & Hard 2	
96	left	0	0.858	b2,O2	Exp - Hard 2 & Easy 2	
97	left	0	0.859	O2,b2	Exp - Easy 2 & Hard 2	
98	right	1	0.840	o1,b1	Exp - Hard 1 & Hard 1	
99	left	0	1.321	O1,B1	Exp - Easy 1 & Easy 1	
100	left	0	0.640	O1,b1	Exp - Easy 1 & Hard 1	
101	left	0	0.574	b1,O1	Exp - Hard 1 & Easy 1	
102	left	0	1.074	o2,b2	Exp - Hard 2 & Hard 2	
103	left	0	2.638	O1,B1	Exp - Easy 1 & Easy 1	
104	right	1	0.925	O2,b2	Exp - Easy 2 & Hard 2	
105	right	1	1.197	O2,b2	Exp - Easy 2 & Hard 2	
106	left	0	1.205	b2,O2	Exp - Hard 2 & Easy 2	
107	right	1	0.906	o1,b1	Exp - Hard 1 & Hard 1	
108	left	0	1.226	O1,b1	Exp - Easy 1 & Hard 1	
109	right	1	2.720	O1,B1	Exp - Easy 1 & Easy 1	
110	right	1	0.872	O1,B1	Exp - Easy 1 & Easy 1	
111	right	1	0.709	O1,B1	Exp - Easy 1 & Easy 1	
112	left	0	1.589	O2,b2	Exp - Easy 2 & Hard 2	
113	right	1	1.323	o1,b1	Exp - Hard 1 & Hard 1	
114	right	1	2.195	o1,b1	Exp - Hard 1 & Hard 1	
115	right	1	0.621	o1,b1	Exp - Hard 1 & Hard 1	
116	left	0	0.807	O2,b2	Exp - Easy 2 & Hard 2	
117	right	1	1.217	o1,b1	Exp - Hard 1 & Hard 1	
118	right	1	1.607	O2,B2	Exp - Easy 2 & Easy 2	
119	left	0	3.196	b2,O2	Exp - Hard 2 & Easy 2	
120	right	1	2.805	O1,B1	Exp - Easy 1 & Easy 1	
121	left	0	1.120	O2,b2	Exp - Easy 2 & Hard 2	
122	left	0	1.027	b1,O1	Exp - Hard 1 & Easy 1	
123	left	0	0.656	b1,O1	Exp - Hard 1 & Easy 1	
124	right	1	0.708	o2,b2	Exp - Hard 2 & Hard 2	
125	left	0	3.407	b2,O2	Exp - Hard 2 & Easy 2	
126	left	0	0.622	b2,O2	Exp - Hard 2 & Easy 2	
127	right	1	2.208	b1,O1	Exp - Hard 1 & Easy 1	
128	left	0	0.869	O1,b1	Exp - Easy 1 & Hard 1	
129	left	0	0.807	b1,O1	Exp - Hard 1 & Easy 1	
130	left	0	1.819	b1,O1	Exp - Hard 1 & Easy 1	
131	right	1	1.008	o1,b1	Exp - Hard 1 & Hard 1	
132	right	1	2.120	O1,B1	Exp - Easy 1 & Easy 1	
133	left	0	1.140	o1,b1	Exp - Hard 1 & Hard 1	
134	left	0	0.688	b2,O2	Exp - Hard 2 & Easy 2	
135	right	1	0.597	O2,B2	Exp - Easy 2 & Easy 2	
136	right	1	1.123	O2,B2	Exp - Easy 2 & Easy 2	
137	right	1	0.473	O1,B1	Exp - Easy 1 & Easy 1	
138	left	0	1.026	O2,b2	Exp - Easy 2 & Hard 2	
139	right	1	0.763	O2,B2	Exp - Easy 2 & Easy 2	
140	left	0	0.789	o2,b2	Exp - Hard 2 & Hard 2	
141	left	0	1.070	b2,O2	Exp - Hard 2 & Easy 2	
142	right	1	3.610	o2,b2	Exp - Hard 2 & Hard 2	
143	left	0	0.886	O1,b1	Exp - Easy 1 & Hard 1	
144	left	0	0.802	O1,b1	Exp - Easy 1 & Hard 1	
145	right	1	0.907	O1,B1	Exp - Easy 1 & Easy 1	
146	left	0	1.177	b2,O2	Exp - Hard 2 & Easy 2	
147	right	1	1.156	b1,O1	Exp - Hard 1 & Easy 1	
148	right	1	1.539	o1,b1	Exp - Hard 1 & Hard 1	
149	right	1	3.120	o2,b2	Exp - Hard 2 & Hard 2	
150	right	1	0.528	o1,b1	Exp - Hard 1 & Hard 1	
151	right	1	2.423	O1,B1	Exp - Easy 1 & Easy 1	
152	right	1	0.704	O2,B2	Exp - Easy 2 & Easy 2	
153	right	1	0.489	O1,B1	Exp - Easy 1 & Easy 1	
154	right	1	2.557	O1,B1	Exp - Easy 1 & Easy 1	
155	left	0	1.158	o2,b2	Exp - Hard 2 & Hard 2	
156	left	0	0.989	O1,b1	Exp - Easy 1 & Hard 1	
157	left	0	0.761	O1,b1	Exp - Easy 1 & Hard 1	
158	right	1	1.196	O1,b1	Exp - Easy 1 & Hard 1	
159	left	0	1.807	b1,O1	Exp - Hard 1 & Easy 1	
160	left	0	1.656	b2,O2	Exp - Hard 2 & Easy 2	
161	left	0	0.890	b1,O1	Exp - Hard 1 & Easy 1	
162	left	0	0.905	O1,b1	Exp - Easy 1 & Hard 1	
163	right	1	0.853	O2,B2	Exp - Easy 2 & Easy 2	
164	left	0	0.787	o2,b2	Exp - Hard 2 & Hard 2	
165	right	1	0.763	o2,b2	Exp - Hard 2 & Hard 2	
166	right	1	1.870	O2,B2	Exp - Easy 2 & Easy 2	
167	left	0	1.406	o2,b2	Exp - Hard 2 & Hard 2	
168	right	1	0.823	O2,b2	Exp - Easy 2 & Hard 2	
169	left	0	1.756	O1,B1	Exp - Easy 1 & Easy 1	
170	right	1	1.054	o2,b2	Exp - Hard 2 & Hard 2	
171	left	0	1.041	O2,b2	Exp - Easy 2 & Hard 2	
172	left	0	2.557	o2,b2	Exp - Hard 2 & Hard 2	
173	left	0	0.777	O1,b1	Exp - Easy 1 & Hard 1	
174	right	1	3.961	b2,O2	Exp - Hard 2 & Easy 2	
175	left	0	0.656	O1,b1	Exp - Easy 1 & Hard 1	
176	left	0	0.619	b2,O2	Exp - Hard 2 & Easy 2	
177	left	0	1.991	o2,b2	Exp - Hard 2 & Hard 2	
178	left	0	1.423	b2,O2	Exp - Hard 2 & Easy 2	
179	left	0	0.756	O2,b2	Exp - Easy 2 & Hard 2	
180	right	1	1.486	b1,O1	Exp - Hard 1 & Easy 1	
181	left	0	1.040	O2,b2	Exp - Easy 2 & Hard 2	
182	right	1	1.340	o1,b1	Exp - Hard 1 & Hard 1	
183	right	1	0.907	o1,b1	Exp - Hard 1 & Hard 1	
184	right	1	0.887	O1,B1	Exp - Easy 1 & Easy 1	
185	right	1	0.807	O2,B2	Exp - Easy 2 & Easy 2	
186	left	0	1.361	O2,b2	Exp - Easy 2 & Hard 2	
187	right	1	0.735	o1,b1	Exp - Hard 1 & Hard 1	
188	left	0	1.279	O1,b1	Exp - Easy 1 & Hard 1	
189	left	0	0.776	b1,O1	Exp - Hard 1 & Easy 1	
190	left	0	0.620	O1,b1	Exp - Easy 1 & Hard 1	
191	right	1	0.955	O2,B2	Exp - Easy 2 & Easy 2	
192	left	0	1.575	b2,O2	Exp - Hard 2 & Easy 2	
193	right	1	2.585	O2,B2	Exp - Easy 2 & Easy 2	
194	left	0	1.022	b2,O2	Exp - Hard 2 & Easy 2	
195	left	0	0.688	b1,O1	Exp - Hard 1 & Easy 1	
196	left	0	0.619	b2,O2	Exp - Hard 2 & Easy 2	
197	right	1	0.740	o1,b1	Exp - Hard 1 & Hard 1	
198	left	0	1.221	O1,b1	Exp - Easy 1 & Hard 1	
199	right	1	1.007	O1,b1	Exp - Easy 1 & Hard 1	
200	left	0	1.558	O1,b1	Exp - Easy 1 & Hard 1	
1	left	1	1.137	B,o	Con - Easy 1	1	
2	left	1	0.406	b,o	Exp - Hard 2	1	
3	left	1	0.441	B,o	Con - Easy 1	1	
4	left	1	0.438	b,o	Exp - Hard 1	1	
5	left	1	0.426	b,o	Exp - Hard 1	1	
6	right	1	0.639	O,b	Con - Easy 1	1	
7	right	1	0.422	O,b	Con - Easy 2	1	
8	right	1	0.677	o,b	Exp - Hard 1	1	
9	right	0	0.606	B,o	Con - Easy 1	1	
10	left	1	0.426	B,o	Con - Easy 1	1	
11	right	1	0.570	O,b	Con - Easy 1	1	
12	right	1	0.456	o,b	Exp - Hard 2	1	
13	left	1	0.490	B,o	Con - Easy 1	1	
14	left	0	0.823	o,b	Exp - Hard 1	1	
15	left	1	0.437	b,o	Exp - Hard 1	1	
16	left	1	0.523	b,o	Exp - Hard 1	1	
17	right	1	1.857	O,b	Con - Easy 1	1	
18	left	1	0.540	B,o	Con - Easy 2	1	
19	left	0	0.622	o,b	Exp - Hard 2	1	
20	right	1	0.926	O,b	Con - Easy 1	1	
21	left	1	0.705	B,o	Con - Easy 2	1	
22	right	1	3.055	o,b	Exp - Hard 2	1	
23	left	1	0.436	B,o	Con - Easy 2	1	
24	left	1	0.440	b,o	Exp - Hard 2	1	
25	left	1	0.525	b,o	Exp - Hard 2	1	
26	left	0	1.038	o,b	Exp - Hard 1	1	
27	left	1	0.641	B,o	Con - Easy 2	1	
28	right	1	0.539	O,b	Con - Easy 2	1	
29	left	1	0.761	b,o	Exp - Hard 2	1	
30	left	1	0.572	b,o	Exp - Hard 2	1	
31	right	1	0.526	O,b	Con - Easy 2	1	
32	left	1	0.756	B,o	Con - Easy 2	1	
33	right	1	0.606	O,b	Con - Easy 1	1	
34	left	0	0.489	O,b	Con - Easy 2	1	
35	left	0	0.639	o,b	Exp - Hard 1	1	
36	left	0	0.622	o,b	Exp - Hard 1	1	
37	left	0	1.177	o,b	Exp - Hard 2	1	
38	left	1	0.640	b,o	Exp - Hard 1	1	
39	left	0	0.923	o,b	Exp - Hard 2	1	
40	right	1	0.623	O,b	Con - Easy 2	1	
1	left	0	1.875	b1,o1	Exp - Hard 1 & Hard 1	
2	left	0	1.507	b2,o2	Exp - Hard 2 & Hard 2	
3	left	0	2.158	b1,o1	Exp - Hard 1 & Hard 1	
4	left	0	0.567	b2,o2	Exp - Hard 2 & Hard 2	
5	left	0	0.846	b2,o2	Exp - Hard 2 & Hard 2	
6	left	0	0.900	o2,B2	Exp - Hard 2 & Easy 2	
7	left	0	0.938	o1,B1	Exp - Hard 1 & Easy 1	
8	left	0	0.702	B2,o2	Exp - Easy 2 & Hard 2	
9	left	0	0.677	o2,B2	Exp - Hard 2 & Easy 2	
10	left	0	0.721	b1,o1	Exp - Hard 1 & Hard 1	
11	left	0	1.096	B1,O1	Exp - Easy 1 & Easy 1	
12	right	1	1.261	B2,O2	Exp - Easy 2 & Easy 2	
13	left	0	0.669	o1,B1	Exp - Hard 1 & Easy 1	
14	left	0	3.505	B2,o2	Exp - Easy 2 & Hard 2	
15	left	0	2.013	b1,o1	Exp - Hard 1 & Hard 1	
16	left	0	1.452	b1,o1	Exp - Hard 1 & Hard 1	
17	left	0	1.007	b2,o2	Exp - Hard 2 & Hard 2	
18	left	0	2.288	B1,O1	Exp - Easy 1 & Easy 1	
19	left	0	1.093	B2,o2	Exp - Easy 2 & Hard 2	
20	left	0	2.319	b1,o1	Exp - Hard 1 & Hard 1	
21	left	0	0.874	B2,o2	Exp - Easy 2 & Hard 2	
22	left	0	5.670	b2,o2	Exp - Hard 2 & Hard 2	
23	left	0	3.256	b1,o1	Exp - Hard 1 & Hard 1	
24	left	0	0.839	o2,B2	Exp - Hard 2 & Easy 2	
25	left	0	0.525	o2,B2	Exp - Hard 2 & Easy 2	
26	right	1	2.557	B2,O2	Exp - Easy 2 & Easy 2	
27	left	0	1.255	o1,B1	Exp - Hard 1 & Easy 1	
28	right	1	1.862	b1,o1	Exp - Hard 1 & Hard 1	
29	left	0	1.028	B1,o1	Exp - Easy 1 & Hard 1	
30	right	1	0.919	B2,O2	Exp - Easy 2 & Easy 2	
31	right	1	0.991	B1,o1	Exp - Easy 1 & Hard 1	
32	right	1	1.806	o2,B2	Exp - Hard 2 & Easy 2	
33	right	1	0.755	B2,O2	Exp - Easy 2 & Easy 2	
34	right	1	1.110	B1,O1	Exp - Easy 1 & Easy 1	
35	right	1	2.671	B1,O1	Exp - Easy 1 & Easy 1	
36	left	0	1.652	b1,o1	Exp - Hard 1 & Hard 1	
37	left	0	1.535	o2,B2	Exp - Hard 2 & Easy 2	
38	left	0	0.775	B1,o1	Exp - Easy 1 & Hard 1	
39	left	0	0.607	B1,o1	Exp - Easy 1 & Hard 1	
40	left	0	0.656	b2,o2	Exp - Hard 2 & Hard 2	
41	left	0	0.693	o1,B1	Exp - Hard 1 & Easy 1	
42	left	0	1.054	B1,o1	Exp - Easy 1 & Hard 1	
43	left	0	2.224	b2,o2	Exp - Hard 2 & Hard 2	
44	right	1	1.755	B1,O1	Exp - Easy 1 & Easy 1	
45	left	0	0.735	o1,B1	Exp - Hard 1 & Easy 1	
46	right	1	0.754	B2,O2	Exp - Easy 2 & Easy 2	
47	right	1	2.375	B1,O1	Exp - Easy 1 & Easy 1	
48	right	1	2.221	B1,O1	Exp - Easy 1 & Easy 1	
49	left	0	1.056	o2,B2	Exp - Hard 2 & Easy 2	
50	left	0	1.485	B1,O1	Exp - Easy 1 & Easy 1	
51	left	0	2.840	B1,o1	Exp - Easy 1 & Hard 1	
52	left	0	0.972	B1,o1	Exp - Easy 1 & Hard 1	
53	left	0	2.654	o1,B1	Exp - Hard 1 & Easy 1	
54	left	0	1.177	b2,o2	Exp - Hard 2 & Hard 2	
55	left	0	3.252	b2,o2	Exp - Hard 2 & Hard 2	
56	left	0	0.610	o1,B1	Exp - Hard 1 & Easy 1	
57	right	1	1.390	B2,O2	Exp - Easy 2 & Easy 2	
58	left	0	1.071	B2,o2	Exp - Easy 2 & Hard 2	
59	right	1	1.703	o1,B1	Exp - Hard 1 & Easy 1	
60	left	0	1.104	B1,o1	Exp - Easy 1 & Hard 1	
61	left	0	0.654	o1,B1	Exp - Hard 1 & Easy 1	
62	left	0	1.609	B2,o2	Exp - Easy 2 & Hard 2	
63	left	0	0.657	B2,o2	Exp - Easy 2 & Hard 2	
64	left	0	0.655	b2,o2	Exp - Hard 2 & Hard 2	
65	right	1	0.974	B2,O2	Exp - Easy 2 & Easy 2	
66	left	0	2.489	o1,B1	Exp - Hard 1 & Easy 1	
67	left	0	0.551	o1,B1	Exp - Hard 1 & Easy 1	
68	right	1	0.905	B2,O2	Exp - Easy 2 & Easy 2	
69	right	1	0.806	B2,O2	Exp - Easy 2 & Easy 2	
70	left	0	1.756	b1,o1	Exp - Hard 1 & Hard 1	
71	left	0	2.555	o1,B1	Exp - Hard 1 & Easy 1	
72	right	1	0.739	B2,O2	Exp - Easy 2 & Easy 2	
73	left	0	0.778	o1,B1	Exp - Hard 1 & Easy 1	
74	left	0	0.672	o2,B2	Exp - Hard 2 & Easy 2	
75	left	0	0.755	b2,o2	Exp - Hard 2 & Hard 2	
76	left	0	0.621	o1,B1	Exp - Hard 1 & Easy 1	
77	left	0	0.593	o1,B1	Exp - Hard 1 & Easy 1	
78	left	0	0.528	b1,o1	Exp - Hard 1 & Hard 1	
79	left	0	0.473	o1,B1	Exp - Hard 1 & Easy 1	
80	left	0	1.254	o2,B2	Exp - Hard 2 & Easy 2	
81	left	0	1.355	b1,o1	Exp - Hard 1 & Hard 1	
82	left	0	0.540	o1,B1	Exp - Hard 1 & Easy 1	
83	left	0	0.473	o2,B2	Exp - Hard 2 & Easy 2	
84	left	0	0.777	b2,o2	Exp - Hard 2 & Hard 2	
85	left	0	0.724	B2,o2	Exp - Easy 2 & Hard 2	
86	right	1	2.641	B1,O1	Exp - Easy 1 & Easy 1	
87	left	0	0.874	B2,o2	Exp - Easy 2 & Hard 2	
88	right	1	0.862	B2,O2	Exp - Easy 2 & Easy 2	
89	left	0	0.707	B1,o1	Exp - Easy 1 & Hard 1	
90	left	0	0.572	B1,o1	Exp - Easy 1 & Hard 1	
91	right	1	0.871	B2,O2	Exp - Easy 2 & Easy 2	
92	left	0	0.921	o1,B1	Exp - Hard 1 & Easy 1	
93	left	0	0.784	B2,o2	Exp - Easy 2 & Hard 2	
94	left	0	0.437	b2,o2	Exp - Hard 2 & Hard 2	
95	left	0	0.507	b2,o2	Exp - Hard 2 & Hard 2	
96	left	0	0.468	o1,B1	Exp - Hard 1 & Easy 1	
97	right	1	0.929	B2,O2	Exp - Easy 2 & Easy 2	
98	left	0	1.023	B1,O1	Exp - Easy 1 & Easy 1	
99	left	0	0.739	b1,o1	Exp - Hard 1 & Hard 1	
100	left	0	0.722	o2,B2	Exp - Hard 2 & Easy 2	
101	left	0	0.775	b1,o1	Exp - Hard 1 & Hard 1	
102	left	0	0.541	o1,B1	Exp - Hard 1 & Easy 1	
103	left	0	0.698	o2,B2	Exp - Hard 2 & Easy 2	
104	left	0	1.158	b1,o1	Exp - Hard 1 & Hard 1	
105	left	0	0.488	b1,o1	Exp - Hard 1 & Hard 1	
106	left	0	1.307	B1,o1	Exp - Easy 1 & Hard 1	
107	left	0	0.930	B2,o2	Exp - Easy 2 & Hard 2	
108	right	1	1.345	B1,O1	Exp - Easy 1 & Easy 1	
109	left	0	0.822	B1,o1	Exp - Easy 1 & Hard 1	
110	right	1	1.073	B2,O2	Exp - Easy 2 & Easy 2	
111	left	0	0.739	B1,o1	Exp - Easy 1 & Hard 1	
112	right	1	0.677	B1,O1	Exp - Easy 1 & Easy 1	
113	left	0	4.286	B1,O1	Exp - Easy 1 & Easy 1	
114	left	0	1.223	o2,B2	Exp - Hard 2 & Easy 2	
115	right	1	0.819	B2,O2	Exp - Easy 2 & Easy 2	
116	left	0	0.445	B1,o1	Exp - Easy 1 & Hard 1	
117	left	0	0.754	b1,o1	Exp - Hard 1 & Hard 1	
118	left	0	0.594	o1,B1	Exp - Hard 1 & Easy 1	
119	left	0	0.472	b2,o2	Exp - Hard 2 & Hard 2	
120	right	1	1.240	B1,O1	Exp - Easy 1 & Easy 1	
121	left	0	0.705	B1,O1	Exp - Easy 1 & Easy 1	
122	left	0	0.657	B1,o1	Exp - Easy 1 & Hard 1	
123	left	0	0.490	B2,o2	Exp - Easy 2 & Hard 2	
124	left	0	0.608	B1,O1	Exp - Easy 1 & Easy 1	
125	right	1	0.841	B1,O1	Exp - Easy 1 & Easy 1	
126	left	0	0.456	b1,o1	Exp - Hard 1 & Hard 1	
127	left	0	0.556	B2,o2	Exp - Easy 2 & Hard 2	
128	left	0	0.756	B1,O1	Exp - Easy 1 & Easy 1	
129	left	0	0.442	b1,o1	Exp - Hard 1 & Hard 1	
130	left	0	0.542	B1,O1	Exp - Easy 1 & Easy 1	
131	left	0	0.990	o2,B2	Exp - Hard 2 & Easy 2	
132	left	0	0.862	B2,o2	Exp - Easy 2 & Hard 2	
133	left	0	0.787	b2,o2	Exp - Hard 2 & Hard 2	
134	left	0	0.921	B1,o1	Exp - Easy 1 & Hard 1	
135	left	0	2.172	b2,o2	Exp - Hard 2 & Hard 2	
136	right	1	1.027	B2,O2	Exp - Easy 2 & Easy 2	
137	left	0	0.738	B1,o1	Exp - Easy 1 & Hard 1	
138	left	0	0.444	o2,B2	Exp - Hard 2 & Easy 2	
139	left	0	0.778	o2,B2	Exp - Hard 2 & Easy 2	
140	left	0	0.724	B1,O1	Exp - Easy 1 & Easy 1	
141	left	0	0.505	B2,o2	Exp - Easy 2 & Hard 2	
142	left	0	1.307	B1,o1	Exp - Easy 1 & Hard 1	
143	right	1	1.029	B1,O1	Exp - Easy 1 & Easy 1	
144	left	0	0.426	B2,O2	Exp - Easy 2 & Easy 2	
145	left	0	0.703	o1,B1	Exp - Hard 1 & Easy 1	
