Trial Number, Response, Correct/Incorrect(1/0), RT, Condition, Difficulty, Colour Order (Single Grids Only)
147	left	0	1.793	B1,o1	Con - Easy 1 & Hard 1	
148	left	1	1.599	B1,b1	Con - Easy 1 & Hard 1	
149	left	1	2.413	b1,B1	Con - Hard 1 & Easy 1	
150	left	1	1.696	B1,b1	Con - Easy 1 & Hard 1	
151	left	1	1.645	b1,B1	Con - Hard 1 & Easy 1	
152	left	1	1.284	B1,B1	Exp - Easy 1 & Easy 1	
153	left	0	2.495	o1,b1	Exp - Hard 1 & Hard 1	
154	left	1	1.913	b1,B1	Con - Hard 1 & Easy 1	
155	right	1	2.103	B1,o1	Con - Easy 1 & Hard 1	
156	right	1	3.787	B1,o1	Con - Easy 1 & Hard 1	
157	left	0	2.378	o1,b1	Exp - Hard 1 & Hard 1	
158	right	0	1.945	b1,b1	Exp - Hard 1 & Hard 1	
159	right	1	1.524	o1,B1	Con - Hard 1 & Easy 1	
160	right	1	0.727	O1,B1	Exp - Easy 1 & Easy 1	
161	left	1	1.441	B1,b1	Con - Easy 1 & Hard 1	
162	right	1	2.828	B1,o1	Con - Easy 1 & Hard 1	
163	right	1	2.547	o1,b1	Exp - Hard 1 & Hard 1	
164	left	1	1.346	b1,b1	Exp - Hard 1 & Hard 1	
165	left	1	2.342	b1,b1	Exp - Hard 1 & Hard 1	
166	left	1	2.599	b1,B1	Con - Hard 1 & Easy 1	
167	right	1	1.126	o1,b1	Exp - Hard 1 & Hard 1	
168	right	1	1.924	o1,B1	Con - Hard 1 & Easy 1	
169	right	0	1.554	b1,b1	Exp - Hard 1 & Hard 1	
170	right	0	1.172	B1,b1	Con - Easy 1 & Hard 1	
171	right	1	2.047	O1,B1	Exp - Easy 1 & Easy 1	
172	left	1	0.957	B1,B1	Exp - Easy 1 & Easy 1	
173	right	1	2.173	O1,B1	Exp - Easy 1 & Easy 1	
174	left	1	1.190	B1,B1	Exp - Easy 1 & Easy 1	
175	right	1	1.422	o1,B1	Con - Hard 1 & Easy 1	
176	right	1	0.961	O1,B1	Exp - Easy 1 & Easy 1	
177	right	1	0.727	O1,B1	Exp - Easy 1 & Easy 1	
178	right	1	1.461	o1,B1	Con - Hard 1 & Easy 1	
179	right	1	0.915	B1,o1	Con - Easy 1 & Hard 1	
180	left	1	1.486	b1,B1	Con - Hard 1 & Easy 1	
181	right	0	1.719	B1,b1	Con - Easy 1 & Hard 1	
182	right	1	1.763	o1,B1	Con - Hard 1 & Easy 1	
183	left	1	4.423	b1,b1	Exp - Hard 1 & Hard 1	
184	left	1	1.355	B1,b1	Con - Easy 1 & Hard 1	
185	left	1	1.278	b1,B1	Con - Hard 1 & Easy 1	
186	right	0	1.468	B1,b1	Con - Easy 1 & Hard 1	
187	right	0	1.040	B1,b1	Con - Easy 1 & Hard 1	
188	right	0	2.416	b1,b1	Exp - Hard 1 & Hard 1	
189	right	1	2.009	o1,b1	Exp - Hard 1 & Hard 1	
190	right	1	1.414	o1,B1	Con - Hard 1 & Easy 1	
191	left	1	0.760	B1,B1	Exp - Easy 1 & Easy 1	
192	left	1	1.962	b1,B1	Con - Hard 1 & Easy 1	
193	right	1	1.298	o1,b1	Exp - Hard 1 & Hard 1	
194	left	1	1.654	b1,B1	Con - Hard 1 & Easy 1	
195	right	1	2.983	o1,b1	Exp - Hard 1 & Hard 1	
196	right	1	2.869	B1,o1	Con - Easy 1 & Hard 1	
197	left	1	1.592	B1,b1	Con - Easy 1 & Hard 1	
198	right	0	1.952	B1,b1	Con - Easy 1 & Hard 1	
199	right	1	1.369	o1,b1	Exp - Hard 1 & Hard 1	
200	left	1	0.895	B1,B1	Exp - Easy 1 & Easy 1	
