Trial Number, Response, Correct/Incorrect(1/0), RT, Condition, Difficulty, Colour Order (Single Grids Only)
63	left	1	0.980	o1,O1	Con - Hard 1 & Easy 1	
64	left	1	1.567	o1,O1	Con - Hard 1 & Easy 1	
65	right	0	2.207	o1,o1	Exp - Hard 1 & Hard 1	
66	right	0	3.861	o1,o1	Exp - Hard 1 & Hard 1	
67	right	1	1.772	b1,o1	Exp - Hard 1 & Hard 1	
68	right	0	1.684	o1,o1	Exp - Hard 1 & Hard 1	
69	left	1	1.264	o1,O1	Con - Hard 1 & Easy 1	
70	right	0	2.171	o1,o1	Exp - Hard 1 & Hard 1	
71	right	0	2.113	o1,o1	Exp - Hard 1 & Hard 1	
72	left	0	1.930	O1,b1	Con - Easy 1 & Hard 1	
73	left	0	1.312	B1,O1	Exp - Easy 1 & Easy 1	
74	left	0	1.516	B1,O1	Exp - Easy 1 & Easy 1	
75	left	1	1.005	O1,O1	Exp - Easy 1 & Easy 1	
76	right	1	1.862	b1,o1	Exp - Hard 1 & Hard 1	
77	left	0	3.254	B1,O1	Exp - Easy 1 & Easy 1	
78	left	1	1.089	o1,O1	Con - Hard 1 & Easy 1	
79	left	0	2.543	b1,O1	Con - Hard 1 & Easy 1	
80	right	1	3.032	b1,o1	Exp - Hard 1 & Hard 1	
81	right	0	4.131	o1,o1	Exp - Hard 1 & Hard 1	
82	right	0	2.088	O1,o1	Con - Easy 1 & Hard 1	
83	left	1	1.707	O1,o1	Con - Easy 1 & Hard 1	
84	right	0	2.892	o1,o1	Exp - Hard 1 & Hard 1	
85	left	0	3.289	b1,O1	Con - Hard 1 & Easy 1	
86	left	1	1.160	O1,o1	Con - Easy 1 & Hard 1	
87	left	1	1.441	o1,O1	Con - Hard 1 & Easy 1	
88	right	0	2.569	o1,o1	Exp - Hard 1 & Hard 1	
89	right	1	1.957	b1,O1	Con - Hard 1 & Easy 1	
90	right	1	2.616	b1,O1	Con - Hard 1 & Easy 1	
91	left	1	1.262	O1,O1	Exp - Easy 1 & Easy 1	
92	right	0	2.338	o1,o1	Exp - Hard 1 & Hard 1	
93	left	0	2.476	b1,o1	Exp - Hard 1 & Hard 1	
94	left	1	3.726	o1,O1	Con - Hard 1 & Easy 1	
95	left	1	6.294	O1,o1	Con - Easy 1 & Hard 1	
96	right	1	1.175	b1,o1	Exp - Hard 1 & Hard 1	
97	right	0	4.898	o1,O1	Con - Hard 1 & Easy 1	
98	right	0	5.340	o1,O1	Con - Hard 1 & Easy 1	
99	left	0	1.474	b1,O1	Con - Hard 1 & Easy 1	
100	right	1	1.576	B1,O1	Exp - Easy 1 & Easy 1	
101	right	1	1.959	B1,O1	Exp - Easy 1 & Easy 1	
102	left	1	1.877	O1,O1	Exp - Easy 1 & Easy 1	
103	right	1	4.220	b1,O1	Con - Hard 1 & Easy 1	
104	left	0	1.855	b1,O1	Con - Hard 1 & Easy 1	
105	left	1	1.065	o1,O1	Con - Hard 1 & Easy 1	
106	left	1	1.289	O1,O1	Exp - Easy 1 & Easy 1	
107	left	1	1.227	O1,O1	Exp - Easy 1 & Easy 1	
108	right	1	1.721	B1,O1	Exp - Easy 1 & Easy 1	
109	right	0	2.158	o1,o1	Exp - Hard 1 & Hard 1	
110	left	1	1.697	O1,O1	Exp - Easy 1 & Easy 1	
111	left	0	1.546	B1,O1	Exp - Easy 1 & Easy 1	
112	left	0	1.212	O1,b1	Con - Easy 1 & Hard 1	
113	left	1	1.113	O1,O1	Exp - Easy 1 & Easy 1	
114	left	1	1.251	O1,O1	Exp - Easy 1 & Easy 1	
115	left	1	1.920	O1,o1	Con - Easy 1 & Hard 1	
116	right	1	2.359	b1,O1	Con - Hard 1 & Easy 1	
117	left	0	5.402	O1,b1	Con - Easy 1 & Hard 1	
118	left	0	2.643	b1,O1	Con - Hard 1 & Easy 1	
119	left	0	1.568	O1,b1	Con - Easy 1 & Hard 1	
120	right	0	1.625	o1,o1	Exp - Hard 1 & Hard 1	
121	left	1	2.694	o1,o1	Exp - Hard 1 & Hard 1	
122	right	1	2.747	B1,O1	Exp - Easy 1 & Easy 1	
123	left	1	1.720	O1,O1	Exp - Easy 1 & Easy 1	
124	right	1	3.180	B1,O1	Exp - Easy 1 & Easy 1	
125	left	1	0.842	O1,O1	Exp - Easy 1 & Easy 1	
126	left	1	0.756	O1,O1	Exp - Easy 1 & Easy 1	
127	left	1	0.883	O1,O1	Exp - Easy 1 & Easy 1	
128	right	1	1.779	b1,o1	Exp - Hard 1 & Hard 1	
129	left	1	1.311	O1,o1	Con - Easy 1 & Hard 1	
130	right	1	2.032	b1,o1	Exp - Hard 1 & Hard 1	
131	left	0	3.177	B1,O1	Exp - Easy 1 & Easy 1	
132	right	1	4.122	b1,o1	Exp - Hard 1 & Hard 1	
133	left	0	2.835	O1,b1	Con - Easy 1 & Hard 1	
134	right	0	1.676	o1,O1	Con - Hard 1 & Easy 1	
135	left	1	3.431	O1,o1	Con - Easy 1 & Hard 1	
136	right	0	3.124	o1,o1	Exp - Hard 1 & Hard 1	
137	right	0	1.968	o1,O1	Con - Hard 1 & Easy 1	
138	left	1	2.228	o1,O1	Con - Hard 1 & Easy 1	
139	right	0	1.725	o1,O1	Con - Hard 1 & Easy 1	
140	left	0	2.856	O1,b1	Con - Easy 1 & Hard 1	
141	right	0	3.171	o1,o1	Exp - Hard 1 & Hard 1	
142	left	0	2.453	b1,o1	Exp - Hard 1 & Hard 1	
143	left	1	1.601	O1,o1	Con - Easy 1 & Hard 1	
144	right	1	4.481	O1,b1	Con - Easy 1 & Hard 1	
145	left	0	3.116	b1,O1	Con - Hard 1 & Easy 1	
146	left	1	1.310	O1,o1	Con - Easy 1 & Hard 1	
147	left	1	0.811	O1,O1	Exp - Easy 1 & Easy 1	
148	left	1	1.752	O1,o1	Con - Easy 1 & Hard 1	
149	right	0	8.272	O1,o1	Con - Easy 1 & Hard 1	
150	left	1	3.979	o1,O1	Con - Hard 1 & Easy 1	
151	right	1	2.727	B1,O1	Exp - Easy 1 & Easy 1	
152	right	1	2.544	b1,O1	Con - Hard 1 & Easy 1	
153	left	1	0.972	O1,O1	Exp - Easy 1 & Easy 1	
