Trial Number, Response, Correct/Incorrect(1/0), RT, Condition, Difficulty, Colour Order (Single Grids Only)
149	right	1	0.757	o1,b1	Exp - Hard 1 & Hard 1	
150	right	0	0.057	B1,b1	Con - Easy 1 & Hard 1	
151	right	1	0.740	B1,o1	Con - Easy 1 & Hard 1	
152	right	0	0.777	B1,B1	Exp - Easy 1 & Easy 1	
153	right	1	0.038	o1,b1	Exp - Hard 1 & Hard 1	
154	right	0	0.623	b1,b1	Exp - Hard 1 & Hard 1	
155	right	1	0.140	B1,o1	Con - Easy 1 & Hard 1	
156	right	1	0.752	o1,b1	Exp - Hard 1 & Hard 1	
157	right	0	1.638	b1,B1	Con - Hard 1 & Easy 1	
158	right	1	2.391	O1,B1	Exp - Easy 1 & Easy 1	
159	right	1	0.472	B1,o1	Con - Easy 1 & Hard 1	
160	right	0	0.439	b1,B1	Con - Hard 1 & Easy 1	
161	right	1	0.453	B1,o1	Con - Easy 1 & Hard 1	
162	right	0	0.765	b1,b1	Exp - Hard 1 & Hard 1	
163	right	1	0.077	o1,b1	Exp - Hard 1 & Hard 1	
164	right	1	0.053	o1,B1	Con - Hard 1 & Easy 1	
165	right	0	0.245	b1,B1	Con - Hard 1 & Easy 1	
166	right	1	0.219	o1,B1	Con - Hard 1 & Easy 1	
167	right	1	0.144	O1,B1	Exp - Easy 1 & Easy 1	
168	right	1	0.303	o1,B1	Con - Hard 1 & Easy 1	
169	right	0	0.328	b1,b1	Exp - Hard 1 & Hard 1	
170	right	0	0.800	B1,b1	Con - Easy 1 & Hard 1	
171	right	0	2.597	B1,b1	Con - Easy 1 & Hard 1	
172	right	1	5.291	B1,o1	Con - Easy 1 & Hard 1	
173	right	0	3.416	b1,b1	Exp - Hard 1 & Hard 1	
174	right	0	0.479	b1,B1	Con - Hard 1 & Easy 1	
175	right	0	1.437	b1,b1	Exp - Hard 1 & Hard 1	
176	right	0	0.780	B1,B1	Exp - Easy 1 & Easy 1	
177	right	0	0.414	b1,B1	Con - Hard 1 & Easy 1	
178	right	1	0.315	o1,B1	Con - Hard 1 & Easy 1	
179	right	1	0.351	o1,B1	Con - Hard 1 & Easy 1	
180	right	0	0.014	b1,B1	Con - Hard 1 & Easy 1	
181	right	1	0.914	B1,o1	Con - Easy 1 & Hard 1	
182	right	1	1.490	B1,o1	Con - Easy 1 & Hard 1	
183	right	0	0.473	B1,B1	Exp - Easy 1 & Easy 1	
184	right	1	0.593	O1,B1	Exp - Easy 1 & Easy 1	
185	right	1	0.706	o1,b1	Exp - Hard 1 & Hard 1	
186	right	1	0.248	O1,B1	Exp - Easy 1 & Easy 1	
187	right	0	0.032	B1,B1	Exp - Easy 1 & Easy 1	
188	right	1	0.389	o1,B1	Con - Hard 1 & Easy 1	
189	right	0	1.207	b1,B1	Con - Hard 1 & Easy 1	
190	right	0	0.625	B1,B1	Exp - Easy 1 & Easy 1	
191	right	1	0.594	o1,B1	Con - Hard 1 & Easy 1	
192	right	0	0.223	B1,b1	Con - Easy 1 & Hard 1	
193	right	1	0.290	o1,B1	Con - Hard 1 & Easy 1	
194	right	0	0.177	b1,b1	Exp - Hard 1 & Hard 1	
195	right	1	0.491	O1,B1	Exp - Easy 1 & Easy 1	
196	right	0	0.323	B1,B1	Exp - Easy 1 & Easy 1	
197	right	1	0.261	o1,B1	Con - Hard 1 & Easy 1	
198	right	1	0.177	o1,b1	Exp - Hard 1 & Hard 1	
199	right	0	0.261	B1,b1	Con - Easy 1 & Hard 1	
200	right	1	0.428	o1,B1	Con - Hard 1 & Easy 1	
