Trial Number, Response, Correct/Incorrect(1/0), RT, Condition, Difficulty, Colour Order (Single Grids Only)
63	right	0	0.322	o1,O1	Con - Hard 1 & Easy 1	
64	right	1	0.023	B1,O1	Exp - Easy 1 & Easy 1	
65	left	0	0.256	B1,O1	Exp - Easy 1 & Easy 1	
66	left	0	0.222	O1,b1	Con - Easy 1 & Hard 1	
67	left	0	1.102	b1,O1	Con - Hard 1 & Easy 1	
68	left	1	0.205	o1,o1	Exp - Hard 1 & Hard 1	
69	right	1	0.056	b1,O1	Con - Hard 1 & Easy 1	
70	right	1	0.262	O1,b1	Con - Easy 1 & Hard 1	
71	left	0	0.854	B1,O1	Exp - Easy 1 & Easy 1	
72	left	1	0.056	o1,o1	Exp - Hard 1 & Hard 1	
73	left	0	0.223	b1,O1	Con - Hard 1 & Easy 1	
74	right	0	0.105	o1,o1	Exp - Hard 1 & Hard 1	
75	right	0	0.305	o1,o1	Exp - Hard 1 & Hard 1	
76	right	1	0.223	B1,O1	Exp - Easy 1 & Easy 1	
77	right	1	0.186	b1,O1	Con - Hard 1 & Easy 1	
78	right	0	0.259	o1,O1	Con - Hard 1 & Easy 1	
79	right	0	0.239	o1,O1	Con - Hard 1 & Easy 1	
80	left	1	1.437	O1,o1	Con - Easy 1 & Hard 1	
81	left	0	0.208	b1,o1	Exp - Hard 1 & Hard 1	
82	left	1	0.259	o1,o1	Exp - Hard 1 & Hard 1	
83	left	0	0.368	B1,O1	Exp - Easy 1 & Easy 1	
84	right	0	0.342	o1,O1	Con - Hard 1 & Easy 1	
85	left	1	0.676	O1,O1	Exp - Easy 1 & Easy 1	
86	right	0	0.223	o1,o1	Exp - Hard 1 & Hard 1	
87	left	0	0.255	O1,b1	Con - Easy 1 & Hard 1	
88	left	0	0.221	b1,O1	Con - Hard 1 & Easy 1	
89	left	0	0.261	b1,o1	Exp - Hard 1 & Hard 1	
90	left	0	0.290	b1,o1	Exp - Hard 1 & Hard 1	
91	left	1	0.255	o1,O1	Con - Hard 1 & Easy 1	
92	left	1	0.240	O1,o1	Con - Easy 1 & Hard 1	
93	right	0	0.222	O1,o1	Con - Easy 1 & Hard 1	
94	left	0	0.360	O1,b1	Con - Easy 1 & Hard 1	
95	left	1	2.056	O1,o1	Con - Easy 1 & Hard 1	
96	right	0	0.756	o1,o1	Exp - Hard 1 & Hard 1	
97	right	0	1.889	O1,O1	Exp - Easy 1 & Easy 1	
98	right	1	0.340	O1,b1	Con - Easy 1 & Hard 1	
99	left	1	0.588	O1,O1	Exp - Easy 1 & Easy 1	
100	right	0	0.528	o1,o1	Exp - Hard 1 & Hard 1	
101	right	1	0.385	b1,O1	Con - Hard 1 & Easy 1	
102	right	1	0.739	O1,b1	Con - Easy 1 & Hard 1	
103	right	0	0.540	o1,o1	Exp - Hard 1 & Hard 1	
104	right	0	1.606	o1,O1	Con - Hard 1 & Easy 1	
105	left	0	1.406	O1,b1	Con - Easy 1 & Hard 1	
106	left	1	0.389	O1,o1	Con - Easy 1 & Hard 1	
107	left	0	1.606	b1,O1	Con - Hard 1 & Easy 1	
108	left	0	0.745	B1,O1	Exp - Easy 1 & Easy 1	
109	right	1	1.922	B1,O1	Exp - Easy 1 & Easy 1	
110	left	1	0.308	O1,O1	Exp - Easy 1 & Easy 1	
111	left	0	0.340	b1,o1	Exp - Hard 1 & Hard 1	
112	left	0	0.389	b1,o1	Exp - Hard 1 & Hard 1	
113	right	1	0.014	b1,O1	Con - Hard 1 & Easy 1	
114	right	0	0.275	O1,o1	Con - Easy 1 & Hard 1	
115	right	0	0.445	o1,O1	Con - Hard 1 & Easy 1	
